Novo Cinema
Cinema Novo (canção)
Movimento artístico
Cinema
Brasil
Neorrealismo italiano
Nouvelle Vague
Cinema da França
Glauber Rocha
Chanchada
Cacá Diegues
1952
"Rio, 40 Graus"
Nelson Pereira dos Santos
Alex Viany
Maracanã
Corcovado
Favela
Juscelino Kubitschek
João Goulart
Centro Popular de Cultura
União Nacional dos Estudantes
Cinco Vezes Favela
Joaquim Pedro de Andrade
Marxismo
Classe trabalhadora
Fatalismo
Estoicismo
Sertão
Proletariado
Rio de Janeiro (estado)
Bahia
São Paulo (estado)
Deus e o Diabo na Terra do Sol
Golpe de Estado no Brasil em 1964
Ditadura militar no Brasil (1964–1985)
Humberto de Alencar Castelo Branco
Democracia
Populismo
Desenvolvimentismo
Intelectual
Esquerda (política)
Garota de Ipanema (filme)
Leon Hirszman
Tropicália
Kitsch
Canibalismo
Como Era Gostoso o Meu Francês
Udigrudi
Macunaíma (filme)
Imperialismo
Embrafilme
Terceiro Cinema
Fernando Collor
Cinema do Reino Unido
Itamar Franco
Dias Melhores Virão
Consumismo
Pós-modernidade
Gillo Pontecorvo
A Batalha de Argel
Argélia
Cuba
Tomás Gutiérrez Alea
Stuart Hall
Caribe
Colonização
"Rio, Zona Norte"
Aruanda (filme)
A Grande Feira
Porto das Caixas
Barravento (filme)
Os Cafajestes
Ganga Zumba (filme)
Vidas Secas (filme)
Sol sobre a Lama
Os Fuzis
O Desafio
O Padre e a Moça
Todas as Mulheres do Mundo
A Falecida
Terra em Transe
O Bravo Guerreiro
Fome de Amor
A Vida Provisória
O Dragão da Maldade contra o Santo Guerreiro
O Bandido da Luz Vermelha
Macunaíma
Os Herdeiros (1970)
Os Deuses e os Mortos
Pindorama (filme)
São Bernardo
Os Inconfidentes
Quando o Carnaval Chegar
Eryk Rocha
Festival Internacional de Cinema de Cannes
Caetano Veloso
Gilberto Gil
Tropicália 2
Humberto Mauro
Mário Peixoto
Alberto Cavalcanti
Ruy Guerra
Paulo César Saraceni
David Neves
Walter Lima Jr.
Gustavo Dahl
Arnaldo Jabor
Luiz Sérgio Person
Roberto Santos
Geraldo Sarno
Domingos de Oliveira
Orlando Senna
Maurice Capovilla
Roberto Farias
Olney São Paulo
Mário Carneiro (cineasta)
Luiz Carlos Barreto
Dib Lutfi
Zelito Viana
Fernando Coni Campos
Walter Hugo Khouri
Flávio Rangel
Roberto Pires
Vladimir Carvalho
Linduarte Noronha
Helena Solberg
Maurício Gomes Leite
Cinema do Brasil
Cinema marginal
Ir para cima
