Fortaleza
Rio de Janeiro
São Paulo
Rodovia longitudinal
Rodovia Presidente Dutra
Rodovia Régis Bittencourt
Quilômetro
Ceará
Jaguarão
Rio Grande do Sul
BR-304
Palhano
BR-230
Ipaumirim
BR-232
Salgueiro (Pernambuco)
Pernambuco
BR-316
BR-428
Cabrobó
BA-210
Abaré
BR-324
Feira de Santana
Bahia
BR-242
Rafael Jambeiro
BR-420
Jaguaquara
BR-330
Jequié
BR 030
Boa Nova
BR-407
Vitória da Conquista
BR-415
BR-259
Governador Valadares
Minas Gerais
BR-381
BR-482
Fervedouro
BR-262
Manhuaçu
BR-356
BR-265
Muriaé
BR-120
BR-267
Leopoldina (Minas Gerais)
BR-393
Jamapará
Rio de Janeiro (estado)
RJ-134
Teresópolis
BR-495
RJ-130
BR-493
Magé
BR-040
Duque de Caxias
Rio de Janeiro (cidade)
Linha Vermelha (Rio de Janeiro)
São João de Meriti
BR-101
Avenida Brasil (Rio de Janeiro)
RJ-105
Nova Iguaçu
BR-465
Seropédica
RJ-139
Piraí
RJ-155
Barra Mansa
BR-485
Itatiaia
BR-354
Engenheiro Passos
BR-459
Lorena (São Paulo)
São Paulo (estado)
SP-70
Taubaté
SP-65
Jacareí
SP-88
Arujá
Guarulhos
SP-015
São Paulo (cidade)
SP-021
Embu
BR-277
BR-376
BR-476
Curitiba
Paraná
BR-280
Mafra (Santa Catarina)
Santa Catarina
BR-470
São Cristóvão do Sul
BR-282
Lages
BR-285
Vacaria
BR-290
Porto Alegre
RS-118
BR-448
Sapucaia do Sul
BR-386
Canoas
Pelotas
Ecosul
Autopista Régis Bittencourt
CCR RioSP
Via Bahia
Lista de rodovias do Brasil
Brasil
Unidades federativas do Brasil
Uruguai
Asfalto
Serra do Cafezal
Santos-Dumont 14-bis
Luiz Inácio Lula da Silva
1963
RJ
MG
BA
João Goulart
Sapucaia (Rio de Janeiro)
Concessionária Rio-Teresópolis
Duque de Caxias (Rio de Janeiro)
Guapimirim
Concessões
OHL
BR-153
Acciona
Estado (subdivisão)
Eusébio
Aquiraz
Itaitinga
Horizonte (Ceará)
Pacajus
Chorozinho
Morada Nova
Russas
Limoeiro do Norte
Tabuleiro do Norte
São João do Jaguaribe
Alto Santo
Iracema
Jaguaribara
Jaguaribe
Icó
Baixio
Lavras da Mangabeira
Cachoeira dos Índios
Bom Jesus (Paraíba)
Barro (Ceará)
Milagres (Ceará)
Abaiara
Brejo Santo
Porteiras
Jati
Penaforte
Belém de São Francisco
Chorrochó
Macururé
Canudos
Euclides da Cunha (Bahia)
Tucano (Bahia)
Araci
Teofilândia
Serrinha (Bahia)
Lamarão
Santa Bárbara
