Padrão
Moeda
Português brasileiro
Organização Internacional de Normalização
Português europeu
Dirham dos Emirados
Emirados Árabes Unidos
Afegane
Afeganistão
Lek
Albânia
Dram
Arménia
Florim das Antilhas Neerlandesas
Curaçau
São Martinho (Países Baixos)
Kwanza
Angola
Peso Argentino
Argentina
Dólar australiano
Austrália
Ilha Christmas
Ilhas Cocos (Keeling)
Ilha Heard e Ilhas McDonald
Quiribáti
Nauru
Ilha Norfolque
Tuvalu
Florim de Aruba
Aruba
Manat do Azerbaijão
Azerbaijão
Marco convertível
Bósnia e Herzegovina
Dólar de Barbados
Barbados
Taka
Bangladesh
Lev búlgaro
Bulgária
Dinar do Bahrein
Bahrein
Franco do Burundi
Burundi
Dólar bermudense
Bermudas
Dólar do Brunei
Brunei
Boliviano (moeda)
Bolívia
Real (moeda)
Brasil
Dólar das Bahamas
Bahamas
Ngultrum
Butão
Pula (moeda)
Botswana
Rublo bielorrusso
Bielorrússia
Dólar do Belize
Belize
Dólar canadense
Canadá
Franco congolês
República Democrática do Congo
Suíça
Franco suíço
Chile
Peso chileno
Renminbi
China
Peso colombiano
Colômbia
Colón costa-riquenho
Costa Rica
Peso cubano
Cuba
Escudo cabo-verdiano
Cabo Verde
Coroa checa
Chéquia
Franco do Djibuti
Djibuti
Coroa dinamarquesa
Dinamarca
Ilhas Feroe
Gronelândia
Peso dominicano
República Dominicana
Dinar argelino
Argélia
Sucre
Equador
Libra egípcia
Egito
Nakfa
Eritreia
Birr etíope
Etiópia
Euro
Croácia
Itália
Áustria
Bélgica
Chipre
Espanha
Estónia
Finlândia
Alemanha
Grécia
Irlanda
Andorra
Luxemburgo
Letónia
Lituânia
Malta
Montenegro
Mónaco
Países Baixos
Portugal
Eslovénia
Eslováquia
San Marino
França
Guadalupe
Martinica
Maiote
Reunião (departamento)
São Pedro e Miquelão
São Bartolomeu (coletividade)
Dólar das Fiji
Fiji
Libra das Malvinas
Ilhas Malvinas
Libra Esterlina
Reino Unido
Ilha de Man
Guernesey
Jersey
Lari (moeda)
Geórgia
Cedi
Gana
Libra de Gibraltar
Gibraltar
Dalasi
Gâmbia
Franco da Guiné
Guiné
Quetzal guatemalteco
Guatemala
Dólar da Guiana
Guiana
Dólar de Hong Kong
