Produto interno bruto
Paridade de poder de compra
Per capita
Fundo Monetário Internacional
Banco Mundial
PIB
Custo de vida
União Europeia
The CIA World Factbook
Central Intelligence Agency
Dólar Geary-Khamis
Agência Central de Inteligência
Luxemburgo
Irlanda
Singapura
Macau
Catar
Emirados Árabes Unidos
Suíça
San Marino
Estados Unidos
Noruega
Guiana
Dinamarca
Brunei
Taiwan
Hong Kong
Países Baixos
Islândia
Arábia Saudita
Áustria
Suécia
Andorra
Bélgica
Malta
Alemanha
Austrália
Bahrein
Finlândia
Canadá
França
Coreia do Sul
Reino Unido
Chipre
Itália
Israel
Aruba
Japão
Nova Zelândia
Eslovénia
Kuwait
Espanha
Lituânia
Chéquia
Polónia
Portugal
Bahamas
Croácia
Hungria
Estónia
Panamá
Eslováquia
Turquia
Porto Rico
Romênia
Seicheles
Letónia
Grécia
Omã
Malásia
São Cristóvão e Neves
Rússia
Maldivas
Bulgária
Cazaquistão
Trindade e Tobago
Maurícia
Chile
Uruguai
Montenegro
Costa Rica
Sérvia
Antígua e Barbuda
República Dominicana
Líbia
Argentina
México
Bielorrússia
Geórgia
China
Tailândia
Macedónia do Norte
Granada (país)
Arménia
Brasil
Albânia
Bósnia e Herzegovina
Barbados
Botswana
Colômbia
Turquemenistão
Santa Lúcia
Gabão
Azerbaijão
São Vicente e Granadinas
Suriname
Guiné Equatorial
Moldávia
Egito
Fiji
Palau
Indonésia
Kosovo
Peru
Mongólia
Argélia
África do Sul
Paraguai
Butão
Vietname
Ucrânia
Dominica
Equador
Sri Lanka
Tunísia
Jamaica
Essuatíni
El Salvador
Jordânia
Filipinas
Namíbia
Iraque
Líbano
Belize
Guatemala
Marrocos
Uzbequistão
Nauru
Bolívia
Cabo Verde
Laos
Índia
Bangladesh
Venezuela
Camboja
Nicarágua
Djibuti
Mauritânia
Honduras
Tonga
Gana
Angola
Quénia
Paquistão
Costa do Marfim
Quirguistão
Samoa
Nigéria
Ilhas Marshall
Estado da Palestina
Tuvalu
Tajiquistão
Myanmar
Nepal
Camarões
República do Congo
Estados Federados da Micronésia
Senegal
Benim
Zâmbia
São Tomé e Príncipe
Etiópia
Timor-Leste
Tanzânia
Kiribati
Papua-Nova Guiné
Comores
Sudão
Ruanda
Guiné
Uganda
Guiné-Bissau
Lesoto
Haiti
Gâmbia
Zimbabwe
Vanuatu
Togo
Burquina Fasso
Mali
Ilhas Salomão
Chade
Serra Leoa
Afeganistão
Irã
Irão
Somália
Iémen
Madagáscar
Libéria
Malawi
Níger
Moçambique
República Centro-Africana
Burundi
Sudão do Sul
São Martinho (Países Baixos)
Curaçau
Eritreia
República Democrática do Congo
Liechtenstein
Mónaco
República da Irlanda
Ilha de Man
Bermudas
Ilhas Cayman
Gibraltar
Jersey
Guernsey
Gronelândia
Ilhas Faroe
Nova Caledônia
Guam
Ilhas Virgens Britânicas
Montserrat
Roménia
São Cristóvão e Nevis
Marianas Setentrionais
Ilhas Turks e Caicos
Polinésia Francesa
Ilhas Cook
Cuba
Domínica
Samoa Americana
Niue
Tokelau
Djibouti
Congo
Síria
Coreia do Norte
Madagascar
Lista de países por PIB (Paridade do Poder de Compra)
Lista de países por PIB (PPC) passado e futuro
Lista de países por PIB (PPC) per capita passado e futuro
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
