Porta-aviões
Helicóptero
Navio de assalto anfíbio
Marinha do Brasil
Austrália
Marinha Real Australiana
Brasil
China
Marinha do Exército Popular de Libertação
Coreia do Sul
Marinha da Coreia do Sul
Egito
Forças Navais do Egito
Espanha
Armada Espanhola
Estados Unidos
Marinha dos Estados Unidos
França
Marinha Nacional Francesa
Itália
Marinha Militar Italiana
Índia
Marinha Indiana
Japão
Força Marítima de Autodefesa do Japão
Portugal
Marinha Portuguesa
Rússia
Marinha da Rússia
Tailândia
Marinha Real Tailandesa
Turquia
Forças Navais Turcas
NAM Atlântico (A-140)
Type 075 (navio de assalto anfíbio)
Classe Dokdo
Classe Mistral
Juan Carlos I (L-61)
Classe Hyūga
Classe Izumo
Príncipe de Asturias (R-11)
TCG Anadolu
Aviação naval
Helicóptero anfíbio
Heliponto
Submarino porta-aviões
VTOL
Ir para cima
Marinha
Militar
