Falkland
Organização internacional
23 de fevereiro
2010
Língua espanhola
Língua francesa
Língua inglesa
Língua Neerlandesa
Língua portuguesa
São Vicente e Granadinas
Ralph Gonsalves
Língua castelhana
Organismo internacional
América Latina e Caraíbas
Playa del Carmen
Quintana Roo
México
Grupo do Rio
Caracas
Panamá
Lima
Peru
Rio de Janeiro
Brasil
Costa do Sauipe
Venezuela
Grupo de Contadora
Sistema Econômico Latino-Americano e do Caribe
Estados Unidos
Canadá
Cristina Fernández de Kirchner
Dilma Rousseff
América do Sul
La Jornada
Ernesto Araújo
Presidente do Brasil
Jair Bolsonaro
Governo Lula (2023–presente)
Mauro Vieira
Ministro das Relações Exteriores
Buenos Aires
Territórios dependentes
Associação Latino-Americana de Integração
Associação dos Estados do Caribe
Aliança Bolivariana para os Povos da Nossa América
Aliança do Pacífico
Comunidade Andina
Comunidade do Caribe
Mercado Comum do Sul
Organização dos Estados Americanos
Organização dos Estados do Caribe Oriental
Organização do Tratado de Cooperação Amazônica
Parlamento Centro-Americano
Petrocaribe
Sistema da Integração Centro-Americana
Tratado Interamericano de Assistência Recíproca
Tratado Norte-Americano de Livre Comércio
União de Nações Sul-Americanas
Antígua e Barbuda
Argentina
Bahamas
Barbados
Belize
Bolívia
Chile
Colômbia
Costa Rica
Cuba
Dominica
Equador
El Salvador
Granada (país)
Guatemala
Guiana
Haiti
Honduras
Jamaica
Nicarágua
Paraguai
República Dominicana
Santa Lúcia
São Cristóvão e Neves
Suriname
Trindade e Tobago
Uruguai
Sauipe
Mata de São João
Santiago de Chile
Havana
San José (Costa Rica)
Quito
Punta Cana
Cidade do México
Integração latino-americana
Cúpulas CELAC-UE
Fundação Internacional UE-ALC
International Standard Serial Number
Digital object identifier
Indymedia
Agencia EFE
Cooperação Sul-Sul
Terceiro-mundismo
Sul global
País em desenvolvimento
País subdesenvolvido
Países pobres altamente endividados
Pequenos Estados insulares em desenvolvimento
Mercados emergentes
Países recentemente industrializados
Economia de transição
Teoria dos Mundos
Primeiro Mundo
Segundo Mundo
Terceiro Mundo
Quarto Mundo
Descolonização
Guerra Fria
Neocolonialismo
Multipolaridade
Conferência Mundial contra o Racismo
Globalização
BRICS
BASIC (grupo de países)
BRIC
Fórum de Diálogo Índia-Brasil-África do Sul
Próximos Onze
"Organização dos Estados de África, Caraíbas e Pacífico"
Banco Asiático de Investimento em Infraestrutura
Banco Asiático de Desenvolvimento
Fundo Monetário Árabe
Banco do Sul
Modelo dos gansos voadores
Sistema Global de Preferências Comerciais entre Países em Desenvolvimento
Nova Ordem Econômica Internacional
Nova Ordem Mundial da Informação e Comunicação
Conferência das Nações Unidas sobre Comércio e Desenvolvimento
Programa das Nações Unidas para o Desenvolvimento
Organização das Nações Unidas para o Desenvolvimento Industrial
Medicamento genérico
Biossimilar
Organização Mundial da Saúde
Grupo dos 77
Grupo dos 15
G20 (países em desenvolvimento)
Grupo dos 24
Grupo dos Onze
Movimento dos Países Não Alinhados
União Africana
Associação de Nações do Sudeste Asiático
Plano Colombo
Conferência de Bandungue
Zona de Paz e Cooperação do Atlântico Sul
Associação Sul-Asiática para a Cooperação Regional
Aliança dos Pequenos Estados Insulares
Divisão norte-sul
Relatório Brandt
Sistema financeiro mundial
Comércio justo
Base Virtual Internacional de Autoridade
Biblioteca Nacional da Espanha
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
Sistema Universitário de Documentação
