Admar Gonzaga
Alô Alô Carnaval
Carmen Miranda
Aurora Miranda
26 de agosto
1901
Rio de Janeiro (cidade)
Distrito Federal do Brasil (1891–1960)
29 de janeiro
1978
Rio de Janeiro
Rio de Janeiro (estado)
Brasileiros
Didi Viana
Magnum opus
Barro Humano
Cineasta
Jornalista
Brasil
Otávio de Faria
Cinearte
Cinema brasileiro
Hollywood
Cinédia
Humberto Mauro
Gilda de Abreu
Luís de Barros
Chanchada
Década de 1950
Nordisk Film
O Tico Tico
O Malho
Escola Politécnica do Rio de Janeiro
Sangue Mineiro
Lábios Sem Beijos
Mulher (filme)
Ganga Bruta
A Voz do Carnaval
O Ébrio
Cemitério de São João Batista
Estudantes
"Alô, Alô, Brasil!"
O Jovem Tataravô
Bonequinha de Seda
O Samba da Vida
Tererê Não Resolve
Maridinho de Luxo
Onde Estás Felicidade?
Pureza (1940)
24 Horas de Sonho
Samba em Berlim
O Cortiço
Caídos do Céu
Mãe
"Obrigado, Doutor (filme)"
Poeira de Estrelas
O Homem Que Passa
Pinguinho de Gente
Anjo do Lodo
Carnaval em Lá Maior
Salário Mínimo (filme)
Cinemateca Brasileira
IMDb
Biografia
