Tatu
Pré-Cambriano
Câmbrico
Ordovícico
Silúrico
Devónico
Carbónico
Pérmico
Triássico
Jurássico
Cretácico
Paleogénico
Neogénico
Tatu-galinha
Classificação científica
Reino (biologia)
Animalia
Filo
Chordata
Classe (biologia)
Mammalia
Eutheria
Ordem (biologia)
Xenartros
Cingulata
Família (biologia)
John Edward Gray
Género (biologia)
Dásipo
Mamífero
Armadura
Savana
Cerrado
Medicina
Homem
Lepra
Língua tupi
Língua grega antiga
Inseto
Formiga
Cupim
Universidade da Região da Campanha
Rio Grande do Sul
Tatu-mulita
Caça
Dasipodíneos
Dasypus septemcinctus
Dasypus sabanicola
Tatu-de-quinze-quilos
Dasypus pilosus
Dasypus yepesi
Dasypus bellus
Clamiforídeos
Basal (filogenética)
Dasypus kappleri
Tatu-mirim
Eufractíneos
Gliptodontíneos
Clamiforíneos
Tolipeutíneos
América do Sul
Carapaça
Rabo
Osso
Cinta Larga
Mato Grosso
Rondônia
Fumaça
Toca
Beiju
Massa
Mandioca
Nambiquara
Pará
Flauta
Aldeia
Instrumento
Cesto
Kaxinawá
Acre
Peru
Europeu
Linha
Envira
Anzol
Cúbito
Rádio (comunicação)
Amazonas
Peixe
Rito
Flagelação
International Standard Serial Number
Digital object identifier
PubMed Identifier
PubMed Central
Animal
Calyptophractus retusus
Chaetophractus
Chaetophractus nationi
Chaetophractus vellerosus
Chaetophractus villosus
Chlamyphorus truncatus
Tatupeba
Zaedyus pichiy
Cabassous
Cabassous centralis
Cabassous chacoensis
Tatu-de-rabo-mole-grande
Tatu-de-rabo-mole-pequeno
Tatu-canastra
Tatu-bola
Mataco
Tatu-bola-do-nordeste
Tesauro de Arte e Arquitetura
Encyclopædia Britannica
JSTOR
Biblioteca Nacional da Dieta
Taxonomia
Animal Diversity Web
Enciclopédia da Vida
Organização Europeia e Mediterrânica para a Proteção das Plantas
Fossilworks Paleobiology Database
Global Biodiversity Information Facility
INaturalist
ITIS
Mammal Species of the World
National Center for Biotechnology Information
Medical Subject Headings
Sistema Unificado de Linguagem Médica
