Federação desportiva
Federação Internacional de Tênis de Mesa
Inglaterra
Milímetros
Gramas
Jogos Olímpicos
Tênis de mesa nos Jogos Olímpicos de Verão de 1988
Jogos Paralímpicos
Jogos Paralímpicos de Verão de 1960
Português brasileiro
Desporto
Reino Unido
Século XIX
China
Taiwan
Japão
Coreia
Parker Brothers
Ténis
Celuloide
Borracha
Mao Tsé-Tung
Raquete de tênis de mesa
Borracha sanduíche
ITTF
Lista de campeões mundiais do tênis de mesa
Lista de campeões mundiais por equipes do tênis de mesa
Medalhistas olímpicos do tênis de mesa
Campeonato Mundial de Tênis de Mesa
Segunda Guerra Mundial
Hungria
Hegemonia
Jan-Ove Waldner
Desporto olímpico
Wayback Machine
International Table Tennis Federation
CBTM
Jogos Olímpicos de Verão
Atletismo nos Jogos Olímpicos
Badminton nos Jogos Olímpicos
Basquetebol nos Jogos Olímpicos
Boxe nos Jogos Olímpicos
Breaking nos Jogos Olímpicos
Canoagem nos Jogos Olímpicos
Ciclismo nos Jogos Olímpicos
Escalada esportiva nos Jogos Olímpicos
Esgrima nos Jogos Olímpicos
Futebol nos Jogos Olímpicos
Ginástica nos Jogos Olímpicos
Golfe nos Jogos Olímpicos
Halterofilismo nos Jogos Olímpicos
Handebol nos Jogos Olímpicos
Hipismo nos Jogos Olímpicos
Hóquei sobre a grama nos Jogos Olímpicos
Judô nos Jogos Olímpicos
Lutas nos Jogos Olímpicos
Natação nos Jogos Olímpicos
Natação artística nos Jogos Olímpicos
Pentatlo moderno nos Jogos Olímpicos
Polo aquático nos Jogos Olímpicos
Remo nos Jogos Olímpicos
Rugby sevens nos Jogos Olímpicos
Saltos ornamentais nos Jogos Olímpicos
Skate nos Jogos Olímpicos
Surfe nos Jogos Olímpicos
Taekwondo nos Jogos Olímpicos
Tênis nos Jogos Olímpicos
Tênis de mesa nos Jogos Olímpicos
Tiro nos Jogos Olímpicos
Tiro com arco nos Jogos Olímpicos
Triatlo nos Jogos Olímpicos
Vela nos Jogos Olímpicos
Voleibol nos Jogos Olímpicos
Voleibol de praia nos Jogos Olímpicos
Jogos Olímpicos de Inverno
Biatlo nos Jogos Olímpicos
Bobsleigh nos Jogos Olímpicos
Combinado nórdico nos Jogos Olímpicos
Curling nos Jogos Olímpicos
Esqui alpinismo
Esqui alpino nos Jogos Olímpicos
Esqui cross-country nos Jogos Olímpicos
Esqui estilo livre nos Jogos Olímpicos
Hóquei no gelo nos Jogos Olímpicos
Luge nos Jogos Olímpicos
Patinação artística nos Jogos Olímpicos
Patinação de velocidade nos Jogos Olímpicos
Patinação de velocidade em pista curta nos Jogos Olímpicos
Salto de esqui nos Jogos Olímpicos
Skeleton nos Jogos Olímpicos
Snowboard nos Jogos Olímpicos
Beisebol nos Jogos Olímpicos
Cabo de guerra nos Jogos Olímpicos
Caratê nos Jogos Olímpicos
Críquete nos Jogos Olímpicos de Verão de 1900
Croquet nos Jogos Olímpicos de Verão de 1900
Jeu de paume nos Jogos Olímpicos de Verão de 1908
Lacrosse nos Jogos Olímpicos
Motonáutica nos Jogos Olímpicos de Verão de 1908
Pelota basca nos Jogos Olímpicos de Verão de 1900
Polo nos Jogos Olímpicos
Raquetes nos Jogos Olímpicos de Verão de 1908
Roque nos Jogos Olímpicos de Verão de 1904
Rugby nos Jogos Olímpicos
Softbol nos Jogos Olímpicos
Esportes de demonstração
Bandy
Boliche
Budô
Corfebol
Corrida em cadeira de rodas nos Jogos Olímpicos
Esqui aquático
Esqui de velocidade
Futebol americano nos Jogos Olímpicos
Futebol australiano
Glíma
Hóquei em patins nos Jogos Olímpicos de Verão de 1992
Ice stock sport
Planadorismo nos Jogos Olímpicos de Verão de 1936
Pesäpallo
Savate
Skijöring
Voo à vela
Balonismo nos Jogos Olímpicos de Verão de 1900
Boules
Columbofilia nos Jogos Olímpicos de Verão de 1900
Competições artísticas nos Jogos Olímpicos
Desportos a motor nos Jogos Olímpicos de Verão de 1900
Futebol gaélico
Hurling
Motociclismo
Pesca
Salvamento
Torneio de wushu nos Jogos Olímpicos de Verão de 2008
