Presidente Sarney (Maranhão)
Sua Excelência
Lista de presidentes do Brasil
Presidente do Brasil
João Figueiredo
Fernando Collor
Lista de vice-presidentes do Brasil
Vice-presidente do Brasil
Tancredo Neves
Aureliano Chaves
Itamar Franco
Lista de presidentes do Senado Federal do Brasil
Presidente do Senado Federal do Brasil
2 de fevereiro
1995
4 de fevereiro
1997
1 de fevereiro
2003
14 de fevereiro
2005
2009
2013
Humberto Lucena
Ramez Tebet
Garibaldi Alves Filho
Antônio Carlos Magalhães
Renan Calheiros
Senado Federal do Brasil
Amapá
Maranhão
Lista de governadores do Maranhão
Governador do Maranhão
Antônio Jorge Dino
Newton de Barros Belo
24 de abril
1930
Pinheiro (Maranhão)
Brasileiros
Alma mater
Universidade Federal do Maranhão
Marly Sarney
Roseana Sarney
Fernando Sarney
Sarney Filho
Adriano Sarney
Jorge Murad
Partido Social Democrático (1945)
União Democrática Nacional
Aliança Renovadora Nacional
Partido Democrático Social
Movimento Democrático Brasileiro (1980)
Igreja Católica
Advogado
Jornalista
Escritor
Político
Ordem Militar de Cristo
Ordem Militar de Sant'Iago da Espada
Ordem do Infante D. Henrique
20 de abril
Brasileiro
Direito
Deputado Federal
Ditadura militar brasileira
Frente Liberal
Eleição presidencial no Brasil em 1985
Paulo Maluf
Morte de Tancredo Neves
Inflação
Ministério da Fazenda (Brasil)
Dilson Funaro
Plano Cruzado
Plano Cruzado II
Plano Bresser
Plano Verão
Declaração do Iguaçu
Mercado Comum do Sul
Relações entre Brasil e Cuba
Assembleia Nacional Constituinte de 1987
Constituição brasileira de 1988
Constituição brasileira de 1967
Hiperinflação no Brasil
Luiz Inácio Lula da Silva
Posse de Luiz Inácio Lula da Silva em 2023
Tribunal de Justiça do Maranhão
Promotor público
Desembargador
São Bento (Maranhão)
Balsas
Liceu Maranhense
São Luís (Maranhão)
Estado Novo (Brasil)
Paulo Martins de Sousa Ramos
Lago Burnett
Ferreira Gullar
Partido Social Democrático (1945-2003)
Câmara dos Deputados do Brasil
Eleições gerais no Brasil em 1954
Eleições gerais no Brasil em 1958
Eleições gerais no Brasil em 1962
Ato Institucional Número Dois
Eleições gerais no Brasil em 1970
Eleições gerais no Brasil em 1978
Década de 1970
Partido do Movimento Democrático Brasileiro
Eleições diretas
Corrupção
Superfaturamento
Concorrência pública
Concessão pública
Hiperinflação
Recessão
China
União Soviética
Cuba
Argentina
Uruguai
Mercosul
Academia Brasileira de Letras
Academia das Ciências de Lisboa
Zequinha Sarney
Paulistana (Piauí)
Piauí
Genealogia
Paço de Sousa
Distrito do Porto
Portugal
Descendência
Política do Brasil
O Imparcial
Diários Associados
Diário de Pernambuco
União Nacional dos Estudantes
São Paulo (cidade)
Célio Borja
Paulo Egydio Martins
Academia Maranhense de Letras
Antônio Paulino Limpo de Abreu
Ruy Barbosa
Constituição de 1946
Constituição de 1988
Morte de Getúlio Vargas
Vitorino de Brito Freire
Banda de música da UDN
Carlos Lacerda
Afonso Arinos de Melo Franco
Adauto Lúcio Cardoso
Olavo Bilac Pinto
José Bonifácio Lafayette de Andrada
Aliomar Baleeiro
Bossa Nova da União Democrática Nacional
Governo Jânio Quadros
Eleições estaduais no Maranhão em 1965
Renato Archer
Partido Trabalhista Brasileiro
Partido Democrata Cristão (1945)
Glauber Rocha
Terra em Transe
José Lewgoy
Porto do Itaqui
Universidade Estadual do Maranhão
Juscelino Kubitschek
Presidente Costa e Silva
Ato Institucional nº 5
UDN
Bipartidarismo
Movimento Democrático Brasileiro
Daniel Krieger
Rio Grande do Sul
Ato Institucional Número Cinco
Ernesto Geisel
Golbery do Couto e Silva
Proposta de Emenda Constitucional Dante de Oliveira
Diretas Já
Câmara dos Deputados
Mário Andreazza
Ulysses Guimarães
Marco Maciel
Flávio Portela Marcílio
Governo Sarney
14 de março
Forças Armadas
Partidos políticos
Imprensa
Sindicato
América Latina
Banco do Brasil
Produto interno bruto
João Sayad
Pérsio Arida
28 de fevereiro
Fiscal do Sarney
Bresser Pereira
Maílson da Nóbrega
Governo Lula
Desemprego
Redemocratização
Palácio do Planalto
João Amazonas
Giocondo Dias
Congresso Nacional do Brasil
Afonso Arinos de Melo Franco (sobrinho)
