22 de setembro
1767
Rio de Janeiro (cidade)
18 de abril
1830
Gênero musical
Música sacra
Católico
Maestro
Compositor
Brasil
Colonização do Brasil
Império do Brasil
Barroco
Neoclassicismo
Antiguidade
Razão
Mestre de capela
João VI de Portugal
Capela Real do Rio de Janeiro
Cavaleiro
Ordem de Cristo
Marcos Portugal
Independência do Brasil
Requiem
Missa
Nossa Senhora do Carmo
Santa Cecília
Música brasileira
Matinas
Vésperas
Moteto
Antífona
Modinha
Ilha do Governador
Minas Gerais
Igreja de Santa Rita de Cássia (Rio de Janeiro)
Música
Manuel de Araújo Porto-Alegre
Francisco João Roscio
Salvador (Bahia)
Marquês do Lavradio
Aulas Régias
Academia Científica do Rio de Janeiro
Ópera
Paisiello
Niccolò Jommelli
Cimarosa
Cravo (instrumento musical)
Pianoforte
Viola de arame
Órgão (instrumento musical)
Coimbra
Comendador
Te Deum
Subdiácono
Padre
Palácio da Conceição
Vasco Mariz
José Caetano da Silva Coutinho
Sarau
Marquês de Maricá
José Antônio Caldas
Francisco Manuel da Silva
Cândido Inácio da Silva
Cônego
Igreja de Nossa Senhora do Rosário e São Benedito (Rio de Janeiro)
Organista
Salmo
Gradual
Magnificat
Miserere
Semana Santa
Côngrua
São Sebastião
Corpus Christi
São Francisco de Borja
Visitação
Família real portuguesa
Lista de governadores-gerais do Brasil
Retórica
Manuel Inácio da Silva Alvarenga
Sociedade Literária do Rio de Janeiro
Iluminismo
Inconfidência Mineira
Transferência da corte portuguesa para o Brasil (1808-1821)
Igreja de Nossa Senhora do Monte do Carmo
Biblioteca Nacional
Imprensa Régia
Jardim Botânico do Rio de Janeiro
Academia Imperial de Belas Artes
Museu Nacional da Universidade Federal do Rio de Janeiro
Sé Patriarcal de Lisboa
Mozart
Haydn
Orquestração
Real Fazenda de Santa Cruz
Jesuítas
Infanta
"Maria Teresa de Bragança, infanta de Portugal"
Tença
Francisco José Rufino de Sousa Lobato
Pio VII
Roma
Savona
Napoleão
"Reino Unido de Portugal, Brasil e Algarves"
Igreja de São Francisco de Paula (Rio de Janeiro)
D. Maria I
Barão de Taunay
Áustria
Sigismund Neukomm
Requiem (Mozart)
A Criação
Novena
Palácio da Quinta da Boa Vista
Pedro I do Brasil
Celibato
Ostracismo
Claustro
Diário Fluminense
Igreja do Santíssimo Sacramento da Antiga Sé
Instituto Histórico e Geográfico Brasileiro
Recife
São Paulo (cidade)
Barroca
Rococó
Missão Francesa
Casa de Bragança
Citação
Paráfrase
Harry Crowl
Maneirista
Polifonia
Homofonia
