Mandato
Assembleia
Eleição
Direito português
Império do Brasil
Ditadura militar brasileira
Sessão Legislativa (Portugal)
Assembleia da República (Portugal)
Terceira República Portuguesa
I Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 1976
25 de abril
1976
Eleições legislativas portuguesas de 1979
2 de dezembro
1979
II Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 1980
5 de outubro
1980
III Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 1983
1983
IV Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 1985
6 de outubro
1985
V Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 1987
19 de julho
1987
VI Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 1991
1991
VII Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 1995
1 de outubro
1995
VIII Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 1999
10 de outubro
1999
IX Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 2002
17 de março
2002
X Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 2005
20 de fevereiro
2005
XI Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 2009
27 de setembro
2009
XII Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 2011
5 de junho
2011
XIII Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 2015
4 de outubro
2015
XIV Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 2019
2019
XV Legislatura da Terceira República Portuguesa
Eleições legislativas portuguesas de 2022
30 de Janeiro
2022
Wikcionário
Parlamento
Processo legislativo
Poder Legislativo
Comissão parlamentar
Decoro parlamentar
Encyclopædia Britannica
Gemeinsame Normdatei
