Classificação científica
Reino (biologia)
Plantae
Divisão (biologia)
Magnoliophyta
Classe (biologia)
Magnoliopsida
Ordem (biologia)
Fabales
Família (biologia)
Fabaceae
Faboideae
Género (biologia)
Glycine
Espécie
Nomenclatura binomial
Lineu
Elmer Drew Merrill
Sinonímia (taxonomia)
Friedrich Anton Wilhelm Miquel
Conrad Moench
Carl Maximowicz
Gaetano Savi
Carl Linnaeus
Charles Vancouver Piper
Gustav Karl Wilhelm Hermann Karsten
Onça (massa)
Energia alimentar
Joule
Calorias
Carboidrato
Açúcar
Fibra dietética
Gordura
Gordura saturada
Gordura monoinsaturada
Gordura poli-insaturada
Proteína
Triptófano
Treonina
Isoleucina
Leucina
Lisina
Metionina
Cistina
Fenilalanina
Tirosina
Valina
Arginina
Histidina
Alanina
Ácido aspártico
Ácido glutâmico
Glicina
Prolina
Serina
Água
Vitamina
Vitamina A
Tiamina
Riboflavina
Niacina
Ácido pantotênico
Vitamina B6
Ácido fólico
Vitamina B12
Colina (nutriente)
Ácido ascórbico
Tocoferol
Vitamina K
Minerais
Cálcio
Ferro
Magnésio
Manganês
Fósforo
Potássio
Sal de cozinha
Zinco
Ingestão diária recomendada
Planta
Feijão
Lentilha
Ervilha
Óleo de soja
Tofu
Molho de soja
Leite de soja
Proteína de soja
Ração animal
Língua japonesa
Shoyu
China
Japão
Sais minerais
Cobre
Complexo B
Vitamina D
Nutriente
Isoflavona
Fitoestrógeno
Doença crônica
Doença degenerativa
Câncer de mama
Câncer cervical
Câncer de próstata
Estrutura química
Estrógeno
Hormônio
Menopausa
Tensão pré-menstrual
Osteoporose
Insulina
Índice glicêmico
Diabete
Obesidade
Ácido fítico
Antioxidante
Envelhecimento celular
Trigo
Arroz
Ultrapasteurização
Consumo
Bebida
Óleo
Kinako
Sabão
Cosmético
Resina
Tinta
Solvente
Biodiesel
Fibra proteica de soja
Aminoácidos
Corpo humano
Africanos
Fome
Criança
Crise humanitária
Biafra
Década de 1970
Etiópia
Década de 1980
Somália
Década de 1990
Experiência científica
Hidrossolúvel
Produto (indústria)
Mineral
Sal
Coagulação
Leguminosa
Emulsão
Marca
Micela
Microscopia
Reologia
Colesterol
Sintoma
Peso corporal
Alimento de origem animal
Variedade (biologia)
Ásia
Epicarpo
Antocianina
Fotoquímica
Língua grega
Vinho
Suco de uva
Carcinógeno
Cozedura
Sopa
Salada
Iogurte
Batido
Pães
Engenharia genética
Transgênicos
Brasil
Estados Unidos
Monsanto (empresa)
Farelo
Ração
Refino
Óleo de cozinha
Lipídio
Ácidos graxos
Composição química
Valor energético
Aminoácido
Rato
Macho
Desmame
Índice
Caseína
Grupo de controle
ISO 3166-1
Argentina
República Popular da China
Índia
Paraguai
Canadá
Rússia
Ucrânia
Bolívia
Século XIX
Bahia
Imigração japonesa no Brasil
EMBRAPA
EPAMIG
Região Centro-Oeste
Produção
Região sul do Brasil
Tonelada
Região Centro-oeste do Brasil
Região Sul do Brasil
Região Sudeste do Brasil
Região Nordeste do Brasil
Região Norte do Brasil
Safra
Mato Grosso
Paraná
Rio Grande do Sul
Goiás
Mato Grosso do Sul
Minas Gerais
Toneladas
Unidades federativas do Brasil
Município (Brasil)
Sorriso (Mato Grosso)
Commodities
Cadeia logística da soja no Brasil
Barreira alfandegária
Vagem (botânica)
Farinha
Culinária japonesa
Nódulos radiculares
Simbiose
Bactéria
Plantas superiores
Compostos orgânicos
Nitrogênio
Dinitrogênio
Amônia
Macronutriente
Seres vivos
Fixação biológica de nitrogênio
Processo biológico
Dólar dos Estados Unidos
Fertilizante
Rizóbio
Nódulo
Parede celular
Córtex (botânica)
Divisão celular
Meristemática
Invaginação
Membrana plasmática
Bacteroides
Tumor
Fertilizantes
Alimentação
Extrato
Leite de vaca
Polpa
Hortaliça
Vegetarianismo
Celulose
Peristaltismo
Intestino
Metabolismo
Doenças degenerativas
Paciente
Gestante
Hospital Universitário Gaffrée e Guinle
Universidade Federal do Estado do Rio de Janeiro
Idoso
Sobrepeso
Obeso
Abóbora
Gengibre
Trabalho acadêmico
Lecitina de soja
Lipídeo
Veganismo
AdeS
Predador
Lecitina
Ingestão
Biodisponibilidade
Fitoestrógenos
Estrogênio
Testosterona
Estudo clínico randomizado controlado
Metodologia
Evidência científica
Desmatamento da Floresta Amazônica
Grileiro
Okara
Missoshiro
Nattō
Edamame
Wayback Machine
27 de Junho
2009
International Standard Serial Number
PubMed Identifier
Digital object identifier
PubMed Central
Commodity
Algodão
Aveia
Azeite
Azeite de dendê
Batata
Borracha natural
Café
Centeio
Cevada
Chá
Colza
Grão de cacau
Linhaça
Milho
Óleo de algodão
Óleo de amendoim
Suco de laranja
Almíscar
Âmbar cinza
Banha
Cabra
Casimira
Cavalo
Bos taurus
Lã
Leite
Manteiga
Marfim
Osso
Ovelha
Pena
Pele
Porifera
Sebo (culinária)
Seda
Carvão
Petróleo
Etanol
Gás natural
Propano
Tório
Urânio
Aço
Alumínio
Liga de alumínio
Cobalto
Chumbo
Estanho
Molibdênio
Níquel
Ouro
Paládio
Platina
Prata
Contrato de futuros
Mercados futuros
Comoditização
Mercantilização do útero
Valor (economia)
Valor de troca
Preço
Valor de uso
Utilidade (economia)
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Encyclopædia Britannica
Gran Enciclopedia Aragonesa
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Taxonomia
Australian Plant Name Index
Ecocrop
Enciclopédia da Vida
Organização Europeia e Mediterrânica para a Proteção das Plantas
EUNIS
Flora of North America
Flora of China
Global Biodiversity Information Facility
INaturalist
International Plant Names Index
ITIS
National Biodiversity Network
National Center for Biotechnology Information
The Plant List
Tela Botanica
Tropicos
Departamento de Agricultura dos Estados Unidos
Medical Subject Headings
Sistema Unificado de Linguagem Médica
UNII
