Eslovénia
Bandeira da Eslováquia
Brasão de armas da Eslováquia
Hino nacional da Eslováquia
União Europeia
Bratislava
Língua eslovaca
Gentílico
Eslovacos
República
Parlamentarismo
Estado unitário
Lista de presidentes da Eslováquia
Peter Pellegrini
Primeiro-ministro da Eslováquia
Robert Fico
Conselho Nacional Eslovaco
Independência
Checoslováquia
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Chéquia
Polónia
Ucrânia
Hungria
Áustria
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhão
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Euro
ISO 4217
Fuso horário
Horário da Europa Central
Tempo Universal Coordenado
Horário de verão
CEST
ISO 3166-1
Lista de TLDs
.sk
Lista de códigos telefónicos
País
Europa Central
Polônia
Línguas eslavas
Eslavos
Samo
Reino da Hungria
Império Habsburgo
Império Austro-Húngaro
Primeira Guerra Mundial
Checos
Segunda Guerra Mundial
Estado fantoche
Alemanha nazista
Socialismo
União Soviética
País desenvolvido
OCDE
Zona Euro
Espaço Schengen
OTAN
Organização das Nações Unidas
Organização Mundial do Comércio
História da Eslováquia
Grande Morávia
Celtas
Havránok
Império Romano
Vindobona
Carnunto
Trenčín
Limes
Tropas auxiliares romanas
Quados
Guerras marcomanas
Suevos
Pribina
"São Cirilo, o Filósofo"
Metódio
Rastislau da Morávia
Zuentibaldo I
Svatopluk I
Magiares
Etnia
Alemães
Cárpatos
Judeus
Invasão mongol da Europa
Matias Corvino
Hussitas
Guerras Hussitas
Império Otomano
Buda (Hungria)
Budapeste
Revoluções de 1848
Império Austríaco
Boémia
Morávia
Tratado de Saint Germain
Tratado de Trianon
República Soviética da Hungria
Jozef Tiso
Adolf Hitler
Período entre-guerras
Alemanha
Acordo de Munique
Alemanha Nazi
Movimento de resistência
Guerrilha
Holocausto
Nazismo
Húngaros
Aliados
Conferência de Potsdam
União das Repúblicas Socialistas Soviéticas
Pacto de Varsóvia
Primavera de Praga
Alexander Dubček
Federação
Revolução de Veludo
Vladimír Mečiar
Václav Klaus
Dissolução da Tchecoslováquia
Grupo de Visegrád
Geografia da Eslováquia
Mapa topográfico
Gerlachovský štít
Montanhas Tatra
Esqui
Metro
Danúbio
Váh
Hron
Europa
Montes Tatra
Primavera
Outono
Grau Celsius
Atlântico
Milímetro
Demografia da Eslováquia
Rom (povo)
Rutênia
Ucranianos
Polacos
Liberdade religiosa
Igreja Católica de Rito Latino
Ateísmo
Protestantismo
Igreja Católica Bizantina Eslovaca
Rito oriental
Igreja Ortodoxa
Judaísmo
Língua húngara
Košice
Bratislava (região)
Prievidza
Trenčín (região)
Košice (região)
Zvolen
Banská Bystrica (região)
Prešov
Prešov (região)
Považská Bystrica
Nitra
Nitra (região)
Nové Zámky
Žilina
Žilina (região)
Michalovce
Banská Bystrica
Spišská Nová Ves
Trnava
Trnava (região)
Komárno
Martin (Eslováquia)
Levice (Eslováquia)
Humenné
Poprad
Bardejov
Religião na Eslováquia
Catolicismo na Eslováquia
Cristianismo
Católicos
Protestantes
Ortodoxos
Política da Eslováquia
Parlamento da Eslováquia
Democracia
Sistema parlamentarista
Multipartidarismo
Chefe de Estado
Presidente
Zuzana Čaputová
Votação
Mandato
Poder Executivo
Chefe de Governo
Primeiro-ministro
Conselho de ministros
Poder Legislativo
Representação proporcional
Poder Judiciário
Constituição
Missões diplomáticas da Eslováquia
Estados-membros da União Europeia
Estados Unidos
Kosovo
Nações Unidas
Organização para a Segurança e Cooperação na Europa
União aduaneira
Caça (avião)
MiG-29
Força Aérea da Eslováquia
Forças Armadas da Eslováquia
Organização do Tratado do Atlântico Norte
Serviço militar obrigatório
Forças Terrestres da Eslováquia
Infantaria
Regiões da Eslováquia
Distritos na Eslováquia
Economia da Eslováquia
Exportação
Economia
Economia planificada
Economia de mercado
Privatização
Crescimento econômico
PIB
Desemprego
Emigração
Inflação
Imposto
Mão de obra
Investimento estrangeiro direto
Dólares
Setor de serviços
Indústria
Engenharia mecânica
Engenharia química
Tecnologia da informação
Agricultura
Trigo
Centeio
Batata
Beterraba
Girassol
Rússia
Alargamento da área do euro
Patrimônio Mundial
UNESCO
Caverna
Castelo
Spa
Resort
Cerâmica
Fujara
Autoestrada
Via expressa
Aeroporto internacional
Aeronave
Mar do Norte
Mar Negro
Canal Meno-Danúbio
Devin (Bulgária)
Cultura da Eslováquia
Chucrute
Cerveja preta
1 de Janeiro
6 de Janeiro
Epifania
Sexta-Feira Santa
Páscoa
1 de Maio
Dia do Trabalhador
8 de Maio
Dia da Vitória na Europa
5 de Julho
29 de Agosto
1 de Setembro
15 de Setembro
Nossa Senhora das Dores
1 de Novembro
Dia de Todos-os-Santos
17 de Novembro
24 de Dezembro
Véspera de Natal
25 de Dezembro
Natal
26 de Dezembro
Santo Estevão
Lista de países
International Monetary Fund
Coroa eslovaca
International Standard Book Number
Esporte da Eslováquia
Subdivisões da Eslováquia
Bélgica
Bulgária
Chipre
Croácia
Dinamarca
Espanha
Estónia
Finlândia
França
Grécia
República da Irlanda
Itália
Letónia
Lituânia
Luxemburgo
Malta
Países Baixos
Portugal
Romênia
Suécia
Alargamento da União Europeia
Adesão da Albânia à União Europeia
Adesão da Bósnia e Herzegovina à União Europeia
Adesão do Cossovo à União Europeia
Adesão da Islândia à União Europeia
Adesão da Macedónia do Norte à União Europeia
Adesão de Moldávia à União Europeia
Adesão de Montenegro à União Europeia
Adesão da Sérvia à União Europeia
Adesão da Turquia à União Europeia
Adesão da Ucrânia à União Europeia
Gronelândia
Reino Unido
Saída do Reino Unido da União Europeia
História da União Europeia
Comunidade Europeia do Carvão e do Aço
Comunidade Económica Europeia
Comunidade Europeia da Energia Atómica
Instituições da União Europeia
Parlamento Europeu
Comissão Europeia
Conselho Europeu
Conselho da União Europeia
Conselho dos Negócios Estrangeiros
Tribunal de Justiça da União Europeia
Tribunal Geral da União Europeia
Banco Central Europeu
Tribunal de Contas Europeu
Agências da União Europeia
Eurojust
Europol
Frontex
Agência Europeia do Ambiente
Agência Espacial Europeia
Agência Europeia de Reconstrução
Centro Europeu de Prevenção e Controlo das Doenças
Serviço Europeu de Ação Externa
Política da União Europeia
Eleições na União Europeia
Partido político europeu
Integração europeia
Euroceticismo
Relações internacionais da União Europeia
Eurodeputado
Direito da União Europeia
Acervo comunitário
Jornal Oficial da União Europeia
Lei da concorrência da União Europeia
Diretiva (União Europeia)
Lei dos Direitos de Autor da União Europeia
Mercado comum da União Europeia
Procedimento legislativo da União Europeia
Regulamento (União Europeia)
Tratados da União Europeia
Derrogações na União Europeia
Acordo de Schengen
Geografia da União Europeia
Fronteiras da União Europeia
Pontos extremos da União Europeia
Lista de cidades da União Europeia por população
Lista das áreas urbanas da União Europeia
Regiões ultraperiféricas da União Europeia
Economia da União Europeia
Política Agrícola Comum da União Europeia
Orçamento da União Europeia
Banco Europeu de Investimento
Fundo Europeu de Investimento
Política de desenvolvimento regional da União Europeia
Galileo
Cultura da União Europeia
Cidadania da União Europeia
Passaporte da União Europeia
Demografia da União Europeia
Carta de condução europeia
Instituto Europeu da Inovação e da Tecnologia
Línguas da União Europeia
The European Library
Símbolos da União Europeia
Estatísticas da União Europeia
Lista de Conselhos Europeus
Presidência do Conselho da União Europeia
Nomenclatura das Unidades Territoriais para Fins Estatísticos
Placas de identificação de veículos na Europa
Forças armadas da União Europeia
Supranacionalismo
Euroesfera
Albânia
Andorra
Arménia
Azerbaijão
Bielorrússia
Bósnia e Herzegovina
Cazaquistão
Geórgia
Islândia
Liechtenstein
Macedónia do Norte
Moldávia
Mónaco
Montenegro
Noruega
Roménia
San Marino
Sérvia
Suíça
Turquia
Vaticano
Acrotíri e Deceleia
Gibraltar
Guernsey
Jersey
Ilha de Man
Ilhas Faroé
Åland
Abecásia
Ossétia do Sul
República Turca de Chipre do Norte
Transnístria
Reacção internacional à declaração de independência do Kosovo de 2008
Reconhecimento internacional da independência da Abecásia e Ossétia do Sul
Austrália
Canadá
China
Região administrativa especial
Hong Kong
Macau
Coreia do Sul
Irlanda
Israel
Japão
Nova Zelândia
Singapura
Taiwan
Europa eslava
Países eslavos ocidentais
Países eslavos meridionais
Países eslavos orientais
Ciclo econômico
Capitalismo
História da economia
Mercantilismo
Capitalismo industrial
Capitalismo financeiro
Capitalismo informacional
Capitalismo monopolista
Globalização
Crise econômica
Longa Depressão
Grande Depressão
Crise do petróleo
Grande Recessão
Milagre econômico
Era vitoriana
Gilded Age
Expansão econômica do pós-Segunda Guerra Mundial
Milagre econômico grego
Milagre do Reno
Trente Glorieuses
Milagre econômico japonês
Milagre econômico italiano
Milagre mexicano
Milagre econômico brasileiro
Boom econômico dos Estados Unidos na década de 1990
Milagre do rio Han
Economia tigre
Tigres asiáticos
Novos tigres asiáticos
Tigres da Anatólia
Tigres bálticos
Tigre celta
Mercados emergentes
BRIC
Próximos Onze
Comitê de Ajuda ao Desenvolvimento
Base Virtual Internacional de Autoridade
Tesauro de Arte e Arquitetura
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Pontifícia Universidade São Tomás de Aquino
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Taxonomia
Medical Subject Headings
Sistema Unificado de Linguagem Médica
