Estado de conservação
Extinção
Espécie extinta na natureza
Espécie em perigo crítico
Espécie em perigo
Espécie vulnerável
Espécie dependente de conservação
Espécie quase ameaçada
Espécie deficiente de dados
Espécie não avaliada
Lista Vermelha da União Internacional para a Conservação da Natureza e dos Recursos Naturais
União Internacional para a Conservação da Natureza e dos Recursos Naturais
Hábitat
União Internacional para Conservação da Natureza
Espécie criticamente em perigo
Quase ameaçada
Pouco preocupante
Dependente de conservação
Tigre
Antílope-tibetano
Baleia-azul
Chimpanzé
Elefante-africano
Gorila-do-ocidente
Gorila-do-oriente
Guigó-de-coimbra-filho
Guigó-da-caatinga
Leopardo
Leão
Lobo-Guará
Macaco-prego-galego
Mico-leão-dourado
Muriqui-do-sul
Onça-pintada
Orangotango
Panda-gigante
Peixe-boi
Rinoceronte-de-sumatra
Urso-polar
Aves
Arara-azul-de-lear
Arara-azul-grande
Arara-azul-pequena
Ararinha-azul
Araracanga
Diamante-de-gould
Arara-vermelha
Bacurau-de-rabo-branco
Guaruba
Papagaio-de-cara-roxa
Papagaio-da-serra
Papagaio-de-peito-roxo
Cigarra-verdadeira
Calafate (ave)
Tiê-bicudo
Azulão
Réptil
Cheloniidae
Tartaruga-de-couro
Dragão-de-komodo
Jacaré-de-papo-amarelo
Varano do deserto
Peixe
Tubarão-baleia
Tubarão-branco
Tubarão-sem-dentes
Artrópode
Borboleta-da-restinga
Caranguejo-amarelo
Planta
Andiroba
Araucária
Cedro
Jacarandá
Pau-brasil
Pau-de-cabinda
Pau-Rosa
Mogno
Lista de espécies em perigo de extinção
Biodiversidade
Aves extintas
Lista de animais extintos
Lista de mamíferos ameaçados do Brasil
Ambientalismo
Declínio contemporâneo da biodiversidade mundial
Primatas brasileiros ameaçados de extinção
Os 25 primatas mais ameaçados do mundo
