Cuéllar
Madrid
Alma mater
Universidade de Salamanca
Historiador
Escritor
Segóvia
1549
28 de Março
1626
Século XIX
1559
Sevilha
Duque de Mântua
Navarra
Valência
Filipe II de Espanha
Filipe III de Espanha
Filipe IV de Espanha
1601
1615
1492
1554
Carlos I de Espanha
Bartolomeu de Las Casas
Pedro Cieza de León
Ameríndio
Manuel José Quintana
Inca
Cuzco
1730
Londres
William Hickling Prescott
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Biblioteca Virtual Miguel de Cervantes
Catálogo de autoridades de nomes e títulos da Catalunha
Consortium of European Research Libraries
Academia Real de História da Espanha
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Austrália
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
Enciclopédia Açoriana
Universidade Federal de Santa Catarina
Biblioteca Nacional de Portugal
Open Library
