Bandeira de Andorra
Brasão de armas de Andorra
Língua portuguesa
Hino nacional de Andorra
Andorra-a-Velha
Língua catalã
Língua espanhola
Língua francesa
Gentílico
Diarquia
Parlamentarismo
Monarquia eletiva
Estado unitário
Lista de copríncipes de Andorra
Emmanuel Macron
Joan Enric Vives i Sicília
Patrick Strzoda
Josep Maria Mauri
Lista de chefes de governo de Andorra
Xavier Espot Zamora
Conselho Geral de Andorra
Independência
Reino de Aragão
História de Andorra
Primeiro Império Francês
Quilómetro quadrado
Lista de países e territórios por área
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Escalas curta e longa
USD
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Euro
ISO 4217
Fuso horário
Central European Time
Tempo Universal Coordenado
Horário de verão
Central European Summer Time
Lista de TLDs
.ad
Lista de códigos telefónicos
Microestado
Europa
Península Ibérica
Pirenéus
França
Espanha
Carlos Magno
Conde de Urgel
Diocese de Urgel
Principado
Copríncipe
Bispo de Urgel
Presidente da França
Grupo étnico
Turismo
União Europeia
Organização das Nações Unidas
Políbio
Guerras Púnicas
Caçador-coletor
Período neolítico
Patrimônio da humanidade
UNESCO
Idade do Bronze
La Seu d'Urgell
Queda do Império Romano do Ocidente
Visigodos
Reino de Toledo
Cristianismo
Império Islâmico
Marca Hispânica
"Luís I, o Piedoso"
Borel II de Barcelona
Cerdanha
Igreja de Santa Coloma
Nossa Senhora de Meritxell
Século XI
Idade Média
Huguenote
Tribunal do Santo Ofício
Reforma Protestante
Contrarreforma
Henrique IV de França
Casa do Vale
Guerra dos Segadores
Guerra da Sucessão Espanhola
Revolução Francesa
Napoleão Bonaparte
Guerra Peninsular
Questão Oriental
Renaixença
Jacint Verdaguer
Jacques Fromental Halévy
Império Alemão
Primeira Guerra Mundial
Tratado de Versalhes (1919)
