Luís Roberto Barroso
Supremo Tribunal Federal
Constituição brasileira de 1891
José Albano Fragoso
Freitas Henriques
Real (moeda brasileira)
Poder Judiciário do Brasil
Brasil
Conselho Nacional de Justiça
Pleno do tribunal
Regimento Interno do Supremo Tribunal Federal
Processo cautelar
Lista de ministros do Supremo Tribunal Federal
Sistema eleitoral a duas voltas
Império do Brasil
Lista de monarcas do Brasil
Constituição brasileira de 1937
Presidente do Brasil
Linha de sucessão presidencial do Brasil
Presidente do Senado Federal do Brasil
Hermínio Francisco do Espírito Santo
Carolino de Leoni Ramos
Getúlio Vargas
Luiz Inácio Lula da Silva
Pedro I do Brasil
Casa da Suplicação
Lucas Antônio Monteiro de Barros
Período regencial (Brasil)
Senado Federal do Brasil
Província de São Paulo
José Bernardo de Figueiredo (juiz)
Pedro II do Brasil
Desembargador
Francisco de Paula Pereira Duarte
Lista de vice-governadores do Maranhão
Maranhão
Manuel Pinto Ribeiro Pereira de Sampaio
Tribunal da relação
Joaquim José Pinheiro de Vasconcelos
Joaquim Marcelino de Brito
Câmara dos Deputados do Brasil
Província da Bahia
João Antônio de Vasconcelos
Albino José Barbosa de Oliveira
Manuel de Jesus Valdetaro
João Evangelista de Negreiros Saião Lobato
Deodoro da Fonseca
Olegário Herculano de Aquino e Castro
Luís Antônio Pereira Franco
Joaquim de Toledo Piza e Almeida
Pindaíba de Matos
Juiz de direito
Floriano Peixoto
Tribunal de Justiça do Estado do Rio de Janeiro
Antônio Augusto Ribeiro de Almeida
Juiz federal
Rio Grande do Sul
Manuel José Murtinho
André Cavalcanti d'Albuquerque
Prudente de Morais
Godofredo Xavier da Cunha
Distrito Federal do Brasil (1891–1960)
Nilo Peçanha
Edmundo Pereira Lins
Lista de prefeitos de Niterói
Niterói
Venceslau Brás
Hermenegildo Rodrigues de Barros
Tribunal de Justiça do Estado de Minas Gerais
Antônio Bento de Faria
Artur Bernardes
Eduardo Espínola
José Linhares
Tribunal Permanente de Justiça Internacional
José de Castro Nunes
Laudo de Camargo
Frederico de Barros Barreto
Lista de governadores de São Paulo
São Paulo
Orozimbo Nonato
Lista de consultores-gerais da República
Lafayette de Andrada
Álvaro Moutinho Ribeiro da Costa
Luís Gallotti
Delegado Geral da Polícia Civil
Cândido Mota Filho
Eurico Gaspar Dutra
Antônio Gonçalves de Oliveira
Procurador-Geral da República (Brasil)
Juscelino Kubitschek
Victor Nunes Leal
Osvaldo Trigueiro
Humberto Castelo Branco
Aliomar Baleeiro
Elói Rocha
Deputado federal
Guanabara
Djaci Falcão
Tribunal de Justiça do Estado do Rio Grande do Sul
Carlos Thompson Flores (neto)
Tribunal de Justiça de Pernambuco
Costa e Silva
Olavo Bilac Pinto
Antônio Neder
Emílio Garrastazu Médici
Francisco Xavier de Albuquerque
Tribunal Federal de Recursos
João Leitão de Abreu
João Baptista Cordeiro Guerra
Ernesto Geisel
Moreira Alves
Ministério Público Federal
Décio Miranda
Luís Rafael Mayer
Néri da Silveira
João Figueiredo
Aldir Passarinho
Sydney Sanches
Octavio Gallotti
Tribunal de Justiça do Estado de São Paulo
Paulo Brossard
Tribunal de Contas da União
Sepúlveda Pertence
José Sarney
Celso de Mello
Lista de procuradores-gerais da República (Brasil)
Carlos Velloso
Consultoria-Geral da União
Fernando Collor
Marco Aurélio Mello
Lista de ministros do Superior Tribunal de Justiça
Superior Tribunal de Justiça
Ilmar Galvão
Lista de ministros do Tribunal Superior do Trabalho
Tribunal Superior do Trabalho
Maurício Corrêa
Itamar Franco
Nelson Jobim
Lista de ministros da Justiça do Brasil
Fernando Henrique Cardoso
Ellen Gracie Northfleet
Gilmar Mendes
Tribunal Regional Federal da 4.ª Região
Cezar Peluso
Advocacia-Geral da União
Ayres Britto
Joaquim Barbosa
Tribunal de Contas do Estado de Sergipe
Ricardo Lewandowski
Cármen Lúcia
Dias Toffoli
Minas Gerais
Luiz Fux
Dilma Rousseff
Rosa Weber
Ministro
Edson Fachin
História da Constituição do Brasil
