Turismo
Lista de segmentos do mercado turístico
Turismo arqueológico
Turismo astronômico
Turismo de aventura
Turismo balnear
Turismo de Bem-Estar
Turismo cemiterial
Cicloturismo
Turismo científico
Turismo de compras
Turismo comunitário
Turismo cultural
Ecoturismo
Enoturismo
Espeleoturismo
Etnoturismo
Excursão
Turismo de Experiência
Turismo espacial
Turismo de eventos
Turismo em favela
Turismo gastronômico
Turismo de habitação
Turismo histórico
Turismo de incentivo
Turismo inclusivo
Turismo de intercâmbio
Turismo LGBT
Turismo de massa
Bebé âncora
Mototurismo
Turismo de parto
Turismo náutico
Turismo de pesca
Turismo religioso
Turismo rural
Safari
Trekking
Turismo de saúde
Turismo sexual
Turismo sustentável
Agente de viagens
Armadilha pra turista
Atração turística
Atração de beira de estrada
Audioguia
Autocaravanismo
Capacidade de carga turística
Check-in
Plano de Cobertura ao Viajante
Consolidadora turística
Dia Mundial do Turismo
Época balnear
Estância termal
Guia de turismo
Geografia turística
Hospitalidade
House sitting
Jornalismo de turismo
Miradouro
Mochileiro
Nômade digital
Operadora turística
Passaporte
Planejamento do turismo
Sazonalidade turística
Souvenir
Trade turístico
TripAdvisor
Turismo 2.0
Turismo em excesso
Turismologia
Turismólogo
Viagem
Troca de casa
Visto
Wikitravel
