9 de outubro
1900
Belém do Pará
6 de abril
1934
Rio de Janeiro
Brasileiros
Pintor
Cenógrafo
Movimento artístico
Surrealismo
Belém (Pará)
Brasil
Surrealista
"Autorretrato, 1927"
Museu Solomon R. Guggenheim
1909
1917
Escola Nacional de Belas Artes
Europa
1920
Academia Julian
Paris
Poeta
Murilo Mendes
1922
Adalgisa Nery
Expressionismo
1926
Catolicismo
Neotomismo
Essencialismo
1927
Marc Chagall
André Breton
Metafísica
Giorgio de Chirico
Cubismo
Picasso
Retrato
Auto-retrato
Nu artístico
Ilustrações
Cenografia
1929
Argentina
Uruguai
Tuberculose
1933
Franciscano
Frade
Fé
1965
Bienal Internacional de Arte de São Paulo
Arte Fantástica
1966
1984
Museu de Arte Contemporânea da Universidade de São Paulo
Museu de Arte Contemporânea da USP
1923
1924
