Forças Armadas da Indonésia
Juan Carlos I (L-61)
Armada Espanhola
Classe (navio)
Navio
Navio de guerra
Marinha dos Estados Unidos
Hovercrafts
Porta-aviões
Helicóptero
V/STOL
AV-8B Harrier II
F-35
Classe Tarawa
Década de 1970
1989
Classe Albion
Classe America
Classe Hyuga
Classe Mistral
Classe Rotterdam
Classe San Antonio
Classe San Giorgio
Helicóptero anfíbio
Navio de desembarque de doca
Porta-helicóptero
Náutica
Birreme
Brulote
Chata (embarcação)
Drómon
Galé
Galeaça
Liburna
Man-of-war
Navios Tartaruga
Penteconter
Quelândio
Trirreme
Xaveco (náutica)
Canhoneira
Contratorpedeiro
Corveta
Couraçado
Cruzador
Cruzador blindado
Cruzador de batalha
Cruzador pesado
Cruzador protegido
Cruzador rápido
Cruzador torpedeiro
Dreadnought
Fragata
Lancha de ação rápida
Lancha de desembarque
Lancha de fiscalização
Lanchas de desembarque médias
Lanchas de desembarque pequenas
Monitor encouraçado
Nave-mãe
Navio-almirante
Navio de escolta
Navio de defesa de costa
Navio de guerra de minas
Navio-patrulha
Submarino
Submarino porta-aviões
Superporta-aviões
Barco torpedeiro
