Patrocínio na Roma Antiga
Jerago con Orago
Nossa Senhora de Guadalupe (México)
Aparições marianas
México
Américas
Filipinas
Província de Cebu
Nascituro
Santo
Localidade
Profissão
Associação
Animal
Templo
Capela
Igreja
Costume
Igreja Católica
Freguesia
Portugal
Paróquia
Latim
Oráculo
Tutoria
Academia Brasileira de Letras
Advogado
Senhoria
Roma Antiga
International Standard Book Number
Cristianismo
