Berlim
Alemanha
Conselho Internacional de Ciência
Ingrid Daubechies
IMU
Organização não governamental
Matemática
Congresso Internacional de Matemáticos
Brasil
Canadá
China
Estados Unidos
França
Israel
Itália
Japão
Reino Unido
Rússia
Austrália
Coreia do Sul
Espanha
Índia
Irã
Países Baixos
Polónia
Polônia
Suécia
Suíça
Argentina
Bélgica
Finlândia
Hungria
México
Noruega
Portugal
República Checa
República Tcheca
África do Sul
Áustria
Chile
Dinamarca
Egito
Eslováquia
República da Irlanda
Irlanda
Turquia
Ucrânia
Arábia Saudita
Argélia
Arménia
Armênia
Bósnia e Herzegovina
Bulgária
Camboja
Camarões
Cazaquistão
Colômbia
Costa do Marfim
Croácia
Cuba
Equador
Eslovénia
Eslovênia
Estónia
Estônia
Filipinas
Geórgia
Grécia
Hong Kong
Indonésia
Islândia
Quénia
Quênia
Letónia
Letônia
Lituânia
Luxemburgo
Malásia
Mónaco
Montenegro
Níger
Nigéria
Nova Zelândia
Paquistão
Peru
Romênia
Sérvia
Singapura
Tunísia
Uruguai
Venezuela
Vietname
Vietnã
G1 (website)
IMPA
UOL
Fapesp
Educação
Academia de Ciências da Albânia
Deutsche Forschungsgemeinschaft
Academia de Ciências da Austrália
Academia Austríaca de Ciências
Academia Nacional de Ciências do Azerbaijão
Academia Nacional de Ciências da Bielorrússia
Academia Brasileira de Ciências
Academia de Ciências da Bulgária
Academia Chilena de Ciências
Associação Chinesa de Ciência e Tecnologia
Academia de Ciências e Artes da Croácia
Academia Nacional de Ciências dos Estados Unidos
Academia Nacional de Ciências da Geórgia
Academia de Atenas (moderna)
Academia de Ciências da Hungria
Universidade de Teerã
Academia de Ciências e Humanidades de Israel
Conselho Nacional das Pesquisas
Academia Norueguesa de Literatura e Ciências
Universidade do Pacífico Sul
Academia Real das Artes e Ciências dos Países Baixos
Universidade do Panamá
Academia de Ciências da Polônia
Academia das Ciências de Lisboa
Royal Society
Academia Romena
Academia de Ciências da Rússia
Academia Real das Ciências da Suécia
Academia Sinica
Conselho de Pesquisa Científica e Tecnológica da Turquia
Academia Nacional de Ciências da Ucrânia
Pontifícia Academia das Ciências
Associação Internacional de Sociologia
União Astronómica Internacional
União Internacional de Ciências Biológicas
União Internacional de Ciências Geológicas
União Internacional de Farmacologia Básica e Clínica
União Internacional de Física Pura e Aplicada
União Internacional de Geodésia e Geofísica
União Internacional de Química Pura e Aplicada
Academia de Ciências da América Latina
International Federation of Library Associations and Institutions
Instituto Internacional de Análise de Sistemas Aplicados
Academia de Ciências dos Países em Desenvolvimento
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da França
Grande Enciclopédia Soviética
CiNii
Comité des travaux historiques et scientifiques
Encyclopædia Britannica
Gemeinsame Normdatei
Global Research Identifier Database
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Sistema Universitário de Documentação
