Amor
Amor romântico
Caspar David Friedrich
Caminhante sobre o mar de névoa
Movimento artístico
Europa
Individualismo
Natureza
Medieval
Classicismo
Revolução Industrial
Iluminismo
Historiografia
Escola romântica
Ciências sociais
Ciências naturais
Conservadorismo
Liberalismo
Radicalismo
Nacionalismo
Beleza
Sublime (estética)
Racionalismo
Medievalismo
Urbanização
Sturm und Drang
Intuição
Sentimentalismo
Revolução Francesa
P. B. Shelley
Realismo
Romance
Novela
Línguas românicas
Latim
Romance de cavalaria
Sentimental
Pintura de paisagem
Crítica literária
Antiguidade
Gênero literário
Novalis
Friedrich Schlegel
Lyrical Ballads
Wordsworth
Samuel Taylor Coleridge
Classicismo de Weimar
Wieland
Johann Gottfried von Herder
Goethe
Schiller
Cristianismo
História da literatura
Johann Gottfried Eichhorn
Friedrich Bouterwek
Idade Média
Renascença
Devir
Desencantamento do mundo
Racionalidade
Magia
Ironia
Cervantes
August Schlegel
Mitologia clássica
Dante
Petrarca
Shakespeare
John Milton
Rousseau
Anne-Louis Girodet
Ossian
Castelo de Malmaison
Exótico
Historicismo
Folclore
Baladas (poemas)
Trovadorismo
Canção dos Nibelungos
Edda
Os Sofrimentos do Jovem Werther
James Macpherson
Homero
Oriente
Sânscrito
Madame de Staël
Stendhal
Jean Paul Richter
Johann Heinrich Voss
Jens Baggesen
Clemens Brentano
Achim von Arnim
Ludwig Tieck
William Blake
Crítico de arte
Reacionário
Heinrich Heine
Academia Francesa
Romantismo inglês
Victor Hugo
Museus Reais de Belas-Artes da Bélgica
Cavaleiro
Verso
Narrativa
Isabella di Morra
Francesco Petrarca
Literatura classicista
Grã-Bretanha
Despotismo
Liberalismo político
Francisco Goya
Manuel Maria Barbosa du Bocage
Alemanha
Inglaterra
Círculo de Jena
Arte
Literatura
Música
Independência do Brasil
Primeiro reinado
Guerra do Paraguai
Abolicionismo
Jacques Barzun
Subjetivismo
Sonho
Pessimismo
Morte
Eça de Queirós
Ego
Arcadismo
A Bela e a Fera
Jean-Jacques Rousseau
Lord Byron
Pintura do romantismo
Eugène Delacroix
Museu do Louvre
Giulio Carlo Argan
Pintura
Saturno devorando um filho
A Liberdade Guiando o Povo
Revoluções de 1830
França
William Turner
Städel
Mecenas
Pré-Romantismo
Simbolismo
Edward Young
Ultrarromantismo
James Thomson (poeta)
William Cowper
Robert Burns
William Wordsworth
Percy Bysshe Shelley
John Keats
Empfindsamkeit
Jena
Alfred de Musset
Giacomo Leopardi
Alessandro Manzoni
Almeida Garrett
Alexandre Herculano
José de Espronceda
José Zorilla
Retórica
Walter Scott
Vitor Hugo
José de Alencar
Balzac
Mal do século
Álvares de Azevedo
Música do romantismo
Ludwig van Beethoven
Chopin
Piotr Ilitch Tchaikovski
Felix Mendelssohn
Liszt
Grieg
Brahms
Ópera
Verdi
Wagner
Nabucco
Les vêpres siciliennes
I Lombardi nella Prima Crociata
La Traviata
Anel do Nibelungo
Tristão e Isolda
O Holandês Voador
Tannhäuser und der Sängerkrieg aus Wartburg
Lohengrin (ópera)
Parsifal
Itália
Puccini
Naturphilosophie
Johann Gottlieb Fichte
Friedrich Wilhelm Joseph von Schelling
Georg Wilhelm Friedrich Hegel
Empirismo
Humphry Davy
Thomas Carlyle
Oliver Cromwell
Frederico II da Prússia
Napoleão Bonaparte
Nacionalismo romântico
Cientificismo
Reducionismo
Cristianismo liberal
Friedrich Schleiermacher
Romantismo em Portugal
Questão Coimbrã
Antônio Feliciano de Castilho
Camilo Castelo Branco
Soares de Passos
Júlio Dinis
João de Deus de Nogueira Ramos
Romantismo no Brasil
Gonçalves de Magalhães
Gonçalves Dias
Araújo Porto Alegre
Suspiros Poéticos e Saudades
Canção do exílio
I-Juca-Pirama
Casimiro de Abreu
Fagundes Varela
Junqueira Freire
Pedro de Calasans
Condoreirismo
Condor
Castro Alves
Sousândrade
Tobias Barreto
Memórias Póstumas de Brás Cubas
Machado de Assis
Canção do Exílio
Lira dos Vinte Anos
Noite na Taverna
Macário (livro)
O Navio Negreiro
Joaquim Manuel de Macedo
A Moreninha
O Moço Loiro
Lucíola
A Viuvinha
Cinco Minutos
Senhora (livro)
O Gaúcho
O Sertanejo
O Tronco do Ipê
As Minas de Prata
O Guarani
Iracema
Ubirajara (livro)
Manuel Antônio de Almeida
Memórias de um Sargento de Milícias
Bernardo Guimarães
A Escrava Isaura
O Seminarista
Franklin Távora
O Cabeleira
Visconde de Taunay
Inocência (livro)
A Mão e a Luva
Helena (livro)
Academicismo
Neoclassicismo
Império do Brasil
Escola de Belas Artes da Universidade Federal do Rio de Janeiro
Rio de Janeiro (estado)
Missão francesa
João VI de Portugal
Lista de artistas do Romantismo
Romantismo sombrio
Templo de Valhala
Fritz Stern
Culto de qing
Orientação romântica
Poesia épica
John Locke
Descartes
Johann Heinrich Pestalozzi
Cambridge University Press
International Standard Book Number
Digital object identifier
International Standard Serial Number
OCLC
Porto Alegre
Romantismo na Alemanha
Romantismo na Escócia
Boémia (estilo de vida)
Herói byroniano
Contrailuminismo
Escola do Rio Hudson
Gesamtkunstwerk
Indianismo
Literatura gótica
Nazarenos (arte)
Neogótico
Transcendentalismo
Khachatur Abovian
Vittorio Alfieri
Hans Christian Andersen
Bettina von Arnim
Jane Austen
Nicolau Baratashvili
Ievgueni Baratynski
Anna Laetitia Barbauld
Charles Baudelaire
Hristo Botev
William Cullen Bryant
António Feliciano de Castilho
Jacques Cazotte
François-René de Chateaubriand
John Clare
James Fenimore Cooper
Thomas de Quincey
Alexandre Dumas
Joseph Freiherr von Eichendorff
Ralph Waldo Emerson
Mihai Eminescu
Ugo Foscolo
Théophile Gautier
Johann Wolfgang von Goethe
Nathaniel Hawthorne
E. T. A. Hoffmann
Friedrich Hölderlin
Washington Irving
Jean Paul
Heinrich von Kleist
Alphonse de Lamartine
Mariano José de Larra
Mikhail Lérmontov
James Russell Lowell
Alexandru Macedonski
Antoni Malczewski
Prosper Mérimée
Adam Mickiewicz
Mikael Nalbandian
Gérard de Nerval
Charles Nodier
Cyprian Norwid
Adam Gottlob Oehlenschläger
Edgar Allan Poe
John William Polidori
Jan Potocki
France Prešeren
Alexandre Pushkin
Friedrich Schiller
Gustav Schwab
Mary Shelley
Taras Shevchenko
Juliusz Słowacki
Germaine de Staël
Ludwig Uhland
Mihály Vörösmarty
Vasily Zhukovsky
José Zorrilla y Moral
Ludwig Feuerbach
Aleksei Khomiakov
August Wilhelm Schlegel
Adolphe Charles Adam
Charles-Valentin Alkan
Daniel François Esprit Auber
Vincenzo Bellini
William Sterndale Bennett
Hector Berlioz
Louise Bertin
Franz Berwald
Johannes Brahms
Anton Bruckner
Luigi Cherubini
Frédéric Chopin
Gaetano Donizetti
Gabriel Fauré
John Field
César Franck
Mikhail Glinka
Jacques Fromental Halévy
Friedrich Kalkbrenner
Franz Liszt
Carl Loewe
Heinrich Marschner
Étienne Méhul
Fanny Mendelssohn
Felix Mendelssohn Bartholdy
Giacomo Meyerbeer
Stanisław Moniuszko
Ignaz Moscheles
Modest Mussorgsky
Niccolò Paganini
Anton Reicha
Nikolai Rimsky-Korsakov
Gioachino Rossini
Anton Rubinstein
Franz Schubert
Clara Schumann
Robert Schumann
Bedřich Smetana
Fernando Sor
Louis Spohr
Gaspare Spontini
Sigismond Thalberg
Giuseppe Verdi
Richard Wagner
Carl Maria von Weber
Ivan Konstantinovich Aivazóvski
Albert Bierstadt
Richard Parkes Bonington
Théodore Chassériau
