17 de junho
1906
São Paulo (cidade)
16 de janeiro
1974
Brasileiros
Italianos
Pintor
Pintura
Figurinista
Brasil
Grupo Santa Helena
Anos 1930
Década de 1940
Arte moderna
Paulista
Abstracionismo
Poesia
Moda
Teatro
1923
1928
Pedro Alexandrino Borges
Antonio Rocco
1929
Itália
1930
1931
Felice Carena
Novecento
Família Artística Paulista
1939
1941
1949
Bassano Vaccarini
Década de 1950
Vestido de Noiva
Nelson Rodrigues
Ariano Suassuna
Nydia Licia
Sérgio Cardoso
Walter Hugo Khoury
Modernismo no Brasil
