Palácio da Alvorada
Razão social
Tipos de empresas
Empresa de capital aberto
B3 (bolsa de valores)
Automotiva
6 de agosto
1949
Paulo Bellini
Caxias do Sul
Rio Grande do Sul
Brasil
Mundo
CEO
Presidente do Conselho de Administração
Divisão (negócios)
Subsidiária
Neobus
Volare
Volgren
Valor de mercado
R$
2022
Ativo
Lucro
Lucro antes de juros e imposto de renda
Empresa transnacional
Carroçaria
Ônibus
Encarroçadora
América Latina
América
África
Ásia
Alumínio
1952
Chassis
1957
Capital de giro
Década de 1960
Mercedes Benz
Porto Alegre
1971
1992
Década de 1970
Crise do petróleo
Chassi
1978
20 de fevereiro
1981
Distritos e regiões administrativas de Caxias do Sul
Março
1983
Marcopolo Torino
Marcopolo Paradiso
Nielson
Maio
1988
1994
1995
Double decker
Julho
Ciferal
Rio de Janeiro (estado)
México
2001
1996
1997
1998
Novembro
2015
Transporte hectométrico
Trem ligeiro
Teleférico
Fundação Dom Cabral
Fábrica
América do Sul
América do Norte
São Mateus (Espírito Santo)
Espírito Santo (estado)
Cota (Cundinamarca)
Cundinamarca
Monterrey
Johannesburgo
Agrale
Micro-ônibus
2021
2018
Ônibus de trânsito rápido
Ônibus elétrico-híbrido
Biodiesel
Eletricidade
Marcopolo Viale BRT
Trólebus
São Paulo (cidade)
Marcopolo Veneza
Marcopolo Gran Viale
Marcopolo Allegro
Marcopolo III
Sociedade Esportiva e Recreativa Caxias do Sul
Esporte Clube Juventude
Viação Águia Branca
Raul Tessari
Globo News
Rede Globo
Marcopolo Andare Class
Marcopolo San Remo
Ciferal GLS Bus
BioEtanol para o Transporte Sustentável
Lista de companhias citadas no Ibovespa
Ibovespa
ALLOS
Banco do Brasil
BB Seguridade
Bradesco
Bradespar
BTG Pactual
Caixa Seguridade
Iguatemi S/A
IRB Brasil RE
Itaúsa
Itaú Unibanco
Banco Santander (Brasil)
Multiplan
Brava Energia
Cosan
Petrobras
PRIO
PetroRecôncavo
Raízen
Grupo Ultra
Vibra Energia
Auren Energia
Companhia Energética de Minas Gerais
Companhia Paranaense de Energia
Companhia de Saneamento de Minas Gerais
CPFL Energia
Grupo Energisa
Engie Brasil
Eletrobras
Eneva
Equatorial Energia
ISA CTEEP
Sabesp
Taesa S.A.
Azul Linhas Aéreas Brasileiras
Grupo CCR
CVC Brasil
Embraer
Rumo Logística
Santos Brasil
WEG S.A.
Ambev
Assaí Atacadista
BRF
Grupo Carrefour Brasil
GPA
Grupo São Martinho
JBS
Marfrig
Minerva Foods
Natura &Co
SLC Agrícola
Alpargatas S/A
Azzas 2154
Eztec
Cyrela
Lojas Renner
Magazine Luiza
MRV Engenharia
Petz (empresa)
Vivara
Braskem
Companhia Siderúrgica Nacional
CSN Mineração
Gerdau
Metalúrgica Gerdau
Klabin
Suzano Papel e Celulose
Usiminas
Vale S.A.
LocaWeb
Telefônica Brasil
TIM Brasil
Totvs
Grupo Fleury
Hapvida NotreDame Intermédica
Hypera Pharma
RaiaDrogasil
Rede D'Or São Luiz
Cogna Educação
Localiza
Simpar
YDUQS
CAIO Induscar
Carbuss
Comil Carrocerias e Ônibus
Mascarello
Maxibus
Busscar
Companhia Brasileira de Materiais Ferroviários
Grassi (empresa)
Ibrava
Incasel
Mafersa
Fábrica de Carrocerias Metropolitana
Companhia Industrial Santa Matilde
Thamco
