G20 (países em desenvolvimento)
16.ª reunião de cúpula do G20
Roma
Itália
Mapa-múndi
União Africana
União Europeia
Organização internacional
26 de setembro
1999
2008
Chefe de Estado
Chefe de governo
País desenvolvido
País em desenvolvimento
Economia do mundo
África do Sul
Alemanha
Arábia Saudita
Argentina
Austrália
Brasil
Canadá
China
Coreia do Sul
Estados Unidos
França
Índia
Indonésia
Japão
México
Reino Unido
Rússia
Turquia
Angola
Egito
Emirados Árabes Unidos
Espanha
Nigéria
Noruega
Portugal
Singapura
Luiz Inácio Lula da Silva
Banco central
Lista de países por PIB (Paridade do Poder de Compra)
Crise financeira
Década de 1990
Internacionalismo
PIB
Comércio mundial
UE
População mundial
Sistema financeiro
Economia global
Países emergentes
Organização
1ª reunião de cúpula do G20
Crise econômica de 2008-2009
G8
18.ª reunião de cúpula do G20
Nova Deli
G33
G-22
G7
Colônia (Alemanha)
15 de dezembro
16 de dezembro
Berlim
Banco Central Europeu
Chefes de Estado
2004
Neoliberalismo
"Washington, D.C."
5 de novembro
Internacionalização
Desregulamentação
Mercado de trabalho
Privatização
Propriedade intelectual
Direito de propriedade
OMC
2006
Energia
Commodities
Banco Mundial
Fundo Monetário Internacional
2007
Bretton Woods
Política fiscal
Crescimento económico
Desenvolvimento econômico
Estabilidade econômica
Instituições financeiras
Lista de países-membros do G20
Cúpula
Ministro de finanças
Bancos centrais
África
Presidente da África do Sul
Cyril Ramaphosa
América do Sul
Presidente da Argentina
Javier Milei
Luis Caputo
Presidente do Brasil
Ministério da Fazenda (Brasil)
Fernando Haddad
Roberto Campos Neto
América do Norte
Primeiro-ministro do Canadá
Justin Trudeau
Presidente dos Estados Unidos
Joe Biden
Secretário do Tesouro dos Estados Unidos
Janet Yellen
Jerome Powell
Presidente do México
Claudia Sheinbaum
Marcelo Ebrard
Ásia Oriental
Presidente da República Popular da China
Xi Jinping
Yi Gang
Primeiro-ministro do Japão
Shigeru Ishiba
Presidente da Coreia do Sul
Yoon Suk-yeol
Ministério de Estratégia e Finanças
Ásia Meridional
Primeiro-ministro da Índia
Narendra Modi
Nirmala Sitharaman
Sudeste asiático
Presidente da Indonésia
Joko Widodo
Sri Mulyani Indrawati
Sudoeste Asiático
Rei da Arábia Saudita
Salman da Arábia Saudita
Lista de presidentes da Turquia
Recep Tayyip Erdoğan
Europa
Presidência do Conselho Europeu
Presidente da Comissão Europeia
Charles Michel
Ursula von der Leyen
Paolo Gentiloni
Christine Lagarde
Chanceler da Alemanha
Olaf Scholz
Joachim Nagel
Presidente da França
Emmanuel Macron
Primeiro-ministro da Itália
Giorgia Meloni
Presidente da Rússia
Vladimir Putin
Elvira Nabiullina
Primeiro-ministro do Reino Unido
Keir Starmer
Chanceler do Tesouro
Rachel Reeves
Oceania
Primeiro-ministro da Austrália
Anthony Albanese
7ª reunião de cúpula do G20
10.ª reunião de cúpula do G20
11.ª reunião de cúpula do G20
13.ª reunião de cúpula do G20
14.ª reunião de cúpula do G20
19.ª reunião de cúpula do G20
2011
Paris
2009
Horsham
São Paulo (cidade)
Melbourne
2005
Hebei
2003
Morelia
2002
Deli
2001
Ottawa
2000
Montreal
2ª reunião de cúpula do G20
Londres
Pittsburgh
4ª reunião de cúpula do G20
Toronto
5ª reunião de cúpula do G20
Seul
Cannes
Los Cabos
8.ª reunião de cúpula do G20
São Petersburgo
9.ª reunião de cúpula do G20
Brisbane
Antalya
Hangzhou
12.ª reunião de cúpula do G20
Hamburgo
Buenos Aires
Osaka
15.ª reunião de cúpula do G20
Riade
17.ª reunião de cúpula do G20
Bali
Nova Déli
Rio de Janeiro
Joanesburgo
Cúpula do G20 em Seul (2010)
11 de novembro
12 de novembro
Guerra cambial
Comércio internacional
USD
Competitividade
Museu de Arte Moderna do Rio de Janeiro
Desenvolvimento sustentável
Aliança Global contra a Fome e a Pobreza
Mudança do clima
Nações G4
Organização das Nações Unidas
BRICS
Wayback Machine
The New York Times
BOL
University of Toronto
Korea Times
Veja
Língua inglesa
Reuniões de cúpula do G20
5.ª reunião de cúpula do G20
Lista de líderes do G20
Poder nas relações internacionais
Poder alimentar
Soft power
Hard power
Superpotência energética
Smart power
Potência militar
Poder nacional
Poder político
Política do poder
Noopolitik
Ostpolitik
Realpolitik
Weltpolitik
Média potência
Potência regional
Grande potência
Superpotência
Superpotência emergente
Hiperpotência
Potência emergente
Estado associado
Estado cliente
Estado falido
Estado fantoche
Estado pária
Estado satélite
Estado suserano
Estado-tampão
Estado tributário
Estado vassalo
Estado vilão
Evolução da Suécia para potência
Menor das grandes potências
Quinto Império
Século Americano
Excepcionalismo americano
Declínio dos Estados Unidos
Século Africano
Século Asiático
Século Britânico
Século de Ouro dos Países Baixos
Século de Ouro Espanhol
Século do Pacífico
Equilíbrio de poder
Equilíbrio europeu de poder
Colapso de uma superpotência
Superpower disengagement
Esfera de influência
Poder
Império global
Polaridade nas relações internacionais
Projeção de poder
Segunda superpotência
Teoria da transição de poder
Índice Composto de Capacidade Nacional
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Sistema Universitário de Documentação
Enciclopédia Treccani
