7 de fevereiro
1968
Caracas
Venezuela
Língua castelhana
Organização internacional
Multilateralismo
Banco de desenvolvimento
América Latina
Desenvolvimento sustentável
Instituição financeira
Assunção
Bogotá
Brasília
Buenos Aires
La Paz
Lima
Cidade do México
Madri
Montevidéu
Panamá
Porto de Espanha
Quito
Banco Interamericano de Desenvolvimento
Banco Mundial
Política econômica
1970
Bolívia
Colômbia
Chile
Equador
Peru
1990
Infraestrutura
Transporte
Agricultura
Indústria
Zulia
Meio ambiente
Setor público
México
1992
Cone Sul
América Central
Caribe
Europa
Nova York
Londres
Tóquio
1993
Folha de S.Paulo
Base Virtual Internacional de Autoridade
Catálogo de autoridades de nomes e títulos da Catalunha
Global Research Identifier Database
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
