Bandeira de Barbados
Brasão de armas de Barbados
Hino nacional de Barbados
Bridgetown
Língua inglesa
Gentílico
República
Constituição
Parlamentarismo
Estado unitário
Lista de chefes de Estado de Barbados
Sandra Mason
Primeiro-ministro de Barbados
Mia Mottley
Independência
Reino Unido
30 de novembro
1966
2021
Quilómetro quadrado
Lista de países e territórios por área
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Dólar de Barbados
ISO 4217
Fuso horário
Tempo Universal Coordenado
Lista de TLDs
.bb
Lista de códigos telefónicos
País insular
Pequenas Antilhas
Índias Ocidentais
Caribe
Atlântico Norte
Mar do Caribe
Placa do Caribe
Paralelo 13 N
Linha do equador
Santa Lúcia
São Vicente e Granadinas
Martinica
Trindade e Tobago
Caraíbas (etnia)
Povos ameríndios
Coroa de Castela
Império Português
Reino da Inglaterra
Jaime VI da Escócia e I de Inglaterra
Colonização britânica da América
Comércio de escravos no Atlântico
Ato contra o Comércio de Escravos de 1807
Reinos da Comunidade de Nações
Isabel II do Reino Unido
Eleições presidenciais em Barbados em 2021
Presidente de Barbados
Chefe de Estado
Língua portuguesa
Língua espanhola
Figueira
Barbuda
Portugueses
Brasil
Era pré-colombiana
Línguas aruaques
História de Barbados
Século XV
Monarquia de Espanha
Colonização de povoamento
Inglaterra
Geografia de Barbados
Tenerife
Espanha
Oceano Atlântico
Ilhas de Barlavento (Caribe)
Trinidad e Tobago
Demografia de Barbados
América
Estados Unidos
Canadá
Protestante
Anglicanismo
Igreja Católica
Diocese de Bridgetown
Pentecostalismo
Testemunhas de Jeová
Igreja Adventista do Sétimo Dia
Batista espiritual
Igreja Anglicana
Judaísmo
Islão
Hinduísmo
Saint Michael
Saint Peter
Oistins
Christ Church (Barbados)
Bathsheba
Saint Joseph
Holetown
Saint James
Saint Philip
Saint Lucy
Greenland (Barbados)
Saint Andrew
República parlamentarista
Chefe de governo
Primeiro-ministro
Monarquia constitucional
Governador-geral de Barbados
Subdivisões de Barbados
Economia de Barbados
Turismo
Paraíso fiscal
Açúcar
Rum
Cana-de-açúcar
Petróleo
Gás natural
Medicamento
Cerâmica
Vidro
Melaço
Cigarro
Papel
Jamaica
Venezuela
Dólar barbadiano
Cultura de Barbados
Rihanna
Cultura do Reino Unido
Cricket
Calipso (gênero musical)
Soca
Grammys
David Thompson
Shontelle
Leigh-Anne Pinnock
The X Factor (Reino Unido)
Little Mix
Boxing Day
Lista de países
Lista de Estados soberanos e territórios dependentes da América
Missões diplomáticas de Barbados
Programa de Desenvolvimento das Nações Unidas
Educação em Barbados
América Central
Soberania
Belize
Costa Rica
El Salvador
Guatemala
Honduras
Nicarágua
Panamá
América Central Insular
Arquipélago das Lucaias
Bahamas
Grandes Antilhas
Cuba
Haiti
República Dominicana
Antígua e Barbuda
Dominica
Granada (país)
São Cristóvão e Neves
Estados
Colômbia
"Santo André, Providência e Santa Catarina"
França
Guadalupe
Países Baixos
Bonaire
Saba
Santo Eustáquio (Países Baixos)
Nova Esparta
Dependências Federais da Venezuela
Território
Ilhas Virgens Americanas
Ilha de Navassa
Porto Rico
São Bartolomeu (coletividade)
São Martinho (França)
Aruba
Curaçau
São Martinho (Países Baixos)
Anguila
Monserrate (ilha)
Ilhas Cayman
Ilhas Turcas e Caicos
Ilhas Virgens Britânicas
País desenvolvido
Alemanha
Andorra
Austrália
Áustria
Bélgica
China
Região administrativa especial
Hong Kong
Macau
Coreia do Sul
Dinamarca
Finlândia
Grécia
Irlanda
Islândia
Israel
Itália
Japão
Liechtenstein
Luxemburgo
Mónaco
Noruega
Nova Zelândia
Portugal
San Marino
Singapura
Suécia
Suíça
Taiwan
Vaticano
Organização dos Estados Americanos
Argentina
Bolívia
Chile
Equador
Guiana
México
Paraguai
Peru
Suriname
Uruguai
Bandeira da Organização dos Estados Americanos
