Aeronave de transporte militar
Reabastecimento aéreo
Luta aérea contra os incêndios
Brasil
Embraer
Dólar dos Estados Unidos
3 de fevereiro
2015
Tripulação
Metro
Pé (unidade)
Envergadura
Embraer Defesa e Segurança
Força Aérea Brasileira
C-130 Hercules
Força aérea
Rio de Janeiro (cidade)
Vista em corte
IAE V2500
Turbina eólica de emergência
Safran
Turbofan
Pratt & Whitney
Libra-força
Newton (unidade)
Fly-by-wire
Aviônica
Congresso Nacional do Brasil
Poder Executivo
Gavião Peixoto
Mock-up
Programa de Aceleração do Crescimento
Argentina
Portugal
Chéquia
Fuselagem
Cabine de pilotagem
Estabilizador (aviação)
Trem de pouso
Eleb
FAdeA
Flaps
OGMA – Indústria Aeronáutica de Portugal
Leme de profundidade
Show Aéreo Internacional de Farnborough
Protótipo
São Paulo (estado)
Contramedida
Agência Nacional de Aviação Civil
Canoas
Rio Grande do Sul
Infravermelho
Fairbanks
Alasca
Moses Lake
Washington
Radar
Sistema de controles de voo
Aviónica
Reabastecimento em voo
Departamento de Ciência e Tecnologia Aeroespacial
Quilograma
Libra (massa)
MTOW
Litro
Galão
Número de Mach
Quilômetro por hora
Nó (unidade)
Milha náutica
Quilômetro
G (física)
Psi (medida de pressão)
Pascal (unidade)
Hungria
Países Baixos
Lockheed C-130 Hercules
Áustria
Coreia do Sul
2023
Força Aérea da Coreia do Sul
Colômbia
Chile
Suécia
Projeto FX-2
Bolívia
Emirados Árabes Unidos
Itália
Polónia
Ucrânia
África do Sul
Egito
Índia
Ruanda
Alemanha
Nova Zelândia
Base Aérea de Anápolis
Goiás
Lista de unidades aéreas da Força Aérea Brasileira
Base Aérea do Galeão
Rio de Janeiro
€
US$
Força Aérea Portuguesa
Base Aérea de Beja
Beja
Força Aérea da Hungria
Pandemia de COVID-19 no Brasil
Guerra Russo-Ucraniana
Embraer ERJ
Estação Antártica Comandante Ferraz
Jauja
Peru
Estol
Centro de gravidade
A400M
Antonov An-178
Kawasaki C-2
Ir para cima
International Standard Serial Number
Valor Econômico
Embraer EMB-200
Embraer E-Jets
Embraer E-Jets E2
Embraer Phenom
Embraer Legacy
Embraer Praetor
Embraer Lineage 1000
Embraer EMB-111
Embraer EMB-145 AEW&C
Embraer EMB-312
Embraer EMB-314
Embraer EMB-400
Embraer EMB-110
Embraer EMB 120
Embraer EMB-121
Embraer CBA-123
AMX A-1
Aermacchi MB-326
Embraer EMB-710
Embraer EMB-711
Embraer EMB-712
Embraer EMB-720
Embraer EMB-721
Embraer EMB-810
Embraer EMB-820
Embraer EMB-821
