Torre Móvel de Integração
Centro de Lançamento de Alcântara
Instituto de Aeronáutica e Espaço
Comando-Geral de Tecnologia Aeroespacial
Brasil
Quilograma
Carga útil (aérea e espacial)
Órbita terrestre baixa
Acidente de Alcântara
2 de dezembro
1997
VLS-1 V01
VLS-1 V02
Newton
Foguete de combustível sólido
Foguete espacial
Satélite artificial
Órbita
Terra
Foguete Sonda
1985
1999
1966
Tecnologia espacial
Estágio (astronáutica)
Tubeira
Fibra de carbono
Velocidade
Transponder
Telemetria
Agência Espacial Brasileira
Satélite de Coleta de Dados 2A
INPE
SACI-2
22 de Agosto
2003
Plataforma de lançamento
SATEC
Instituto Nacional de Pesquisas Espaciais
UNOSAT (satélite)
Universidade Norte do Paraná
2 de Dezembro
11 de Dezembro
Polar Satellite Launch Vehicle
Centro Técnico Aeroespacial
São José dos Campos
São Paulo (estado)
Container (transporte)
Casamata
Propelente
Composite
Perclorato de amônio
Alumínio
Polibutadieno
Kg
Metro
Diâmetro
Tonelada
Veículo Lançador de Microssatélite
Programa Cruzeiro do Sul
Crux
VLS Alfa
VLS Beta
VLS Gama
VLS Delta
VLS Epsilon
Alcantara Cyclone Space
Centro de Lançamento da Barreira do Inferno
Exploração espacial
Foguete brasileiro
Ir para cima
Programa espacial brasileiro
Ciência e tecnologia no Brasil
Departamento de Ciência e Tecnologia Aeroespacial
Comissão Nacional de Atividades Espaciais
Associação Aeroespacial Brasileira
Grupo Executivo e de Trabalho e Estudos de Projetos Espaciais
Instituto de Estudos Avançados
Satélite de Coleta de Dados 1
Satélite de Coleta de Dados 2
CBERS-1
CBERS-2
CBERS-2B
CBERS-3
CBERS-4
Satélite de Reentrada Atmosférica
Amazonia 1
AESP-14
GOLDS-UFSC
SGDC
Galileo Solar Space Telescope
VSB-30
VS-30
VS-40
VS-50
Fernando de Mendonça
Marcos Pontes
Missão Espacial Completa Brasileira
Missão Centenário
Soyuz TMA-8
Soyuz TMA-7
Garatéa-L
Alcântara Cyclone Space
Satélite Sino-Brasileiro de Recursos Terrestres
Flora Hiperspectral
