Língua francesa
Departamentos da França
França Metropolitana
Coletividade de ultramar
França
União Europeia
Assembleia Nacional Francesa
Senado da França
Parlamento Europeu
Euro
Moeda
Região ultramarina
Guadalupe
Mar do Caribe
Martinica
Guiana Francesa
América do Sul
Reunião (departamento)
Oceano Índico
Maiote
Regiões administrativas francesas
São Pedro e Miquelão
São Martinho (França)
Polinésia Francesa
Wallis e Futuna
São Bartolomeu (coletividade)
Nova Caledônia
Terras Austrais e Antárticas Francesas
Ilha Clipperton
Les Anses-d'Arlet
Foguete Ariane
Centre spatial guyanais
Kourou
Departamentos e territórios ultramarinos da França
Regiões ultraperiféricas da União Europeia
Território de ultramar (França)
Divisões administrativas da França
Regiões da França
Altos da França
Auvérnia-Ródano-Alpes
Borgonha-Franco-Condado
Bretanha
Centro-Vale do Loire
Córsega
Grande Leste
Ilha de França
Normandia (região administrativa)
Nova Aquitânia
Occitânia (região francesa)
País do Loire
Provença-Alpes-Costa Azul
Alsácia
Alta Normandia
Aquitânia
Auvérnia
Baixa Normandia
Borgonha
Champanha-Ardenas
Franco-Condado
Languedoque-Rossilhão
Limusino
Lorena
Nord-Pas-de-Calais
Picardia
Poitou-Charentes
Ródano-Alpes
Sul-Pirenéus
Departamentos de ultramar
Mayotte
Coletividades de ultramar
Ilha de Clipperton
Nova Caledónia
