4 de maio
2010
Néstor Kirchner
União de Nações Sul-Americanas
Tratado Constitutivo da Unasul
2008
4 de Maio
Chefe de Estado
Chefe de governo
Argentina
María Emma Mejía Vélez
Colômbia
Alí Rodríguez Araque
Venezuela
Ernesto Samper
Estados-membros da União de Nações Sul-Americanas
Bolívia
Brasil
Chile
Equador
Guiana
Paraguai
Peru
Suriname
Uruguai
México
Panamá
Bandeira da União de Nações Sul-Americanas
Banco do Sul
Conselho de Defesa Sul-Americano
Conselho Energético Sul-Americano
Conselho de Saúde Sul-Americano
Instituto Sul-Americano de Governo em Saúde
Parlamento Sul-Americano
Presidente da União de Nações Sul-Americanas
Declaração de Cusco
Cúpula Sul-Americana
4.ª Cúpula da Unasul
Cúpula América do Sul - África
Cúpula América do Sul - Países Árabes
II Cúpula América do Sul - Países Árabes
Integração sul-americana
Iniciativa para a Integração da Infraestrutura Regional Sul-Americana
Corredor bioceânico
Estrada do Pacífico
Ferrovia Transoceânica
Rodovia Pan-Americana
Anel Energético Sul-Americano
Gás de Camisea
Gasoduto Transcaribenho
Grande Gasoduto do Sul
