Senado Federal (Brasil)
São Paulo (estado)
Incumbente
1 de fevereiro
2023
José Serra
"Ministério da Ciência, Tecnologia e Inovações"
Brasil
1 de janeiro
2019
30 de março
2022
Jair Bolsonaro
Gilberto Kassab
Paulo César Rezende de Carvalho Alvim
11 de março
1963
Bauru
Brasileiros
Alma mater
Academia da Força Aérea (Brasil)
Instituto Tecnológico de Aeronáutica
Escola de Pós-Graduação Naval
Ordem de Rio Branco
Ordem do Mérito Militar
Ordem do Mérito Aeronáutico
Medalha do Pacificador
Democratas (Brasil)
Partido Socialista Brasileiro (1985)
Partido Social Liberal
União Brasil
Partido Liberal (2006)
Piloto (aviação)
Engenheiro
Astronauta
Político
Força Aérea Brasileira
Tenente-coronel
Grupo 17 de Astronautas da NASA
Agência Espacial Brasileira
Soyuz TMA-8
Missão Centenário
Soyuz TMA-7
Embaixador da Boa Vontade
UNIDO
Governo Jair Bolsonaro
Senado Federal do Brasil
América do Sul
Lusofonia
Santos Dumont
14-bis
Estação Espacial Internacional
Rússia
Microgravidade
América Latina
Organização das Nações Unidas para o Desenvolvimento Industrial
Major Olímpio
Unidades federativas do Brasil
Bacharel
Pirassununga
Engenharia aeronáutica
São José dos Campos
Engenharia
Mestrado
Engenharia de sistemas
Monterrei
Califórnia
F-15
F-16
F-18
MiG 29
NASA
Estados Unidos
Centro Espacial Lyndon B. Johnson
Houston
Ônibus espacial
Acidente do ônibus espacial Columbia
Jeffrey Williams
Engenheiro de voo
Cosmonauta
Pavel Vinogradov
Agência Espacial Federal Russa
Soyuz
Cosmódromo de Baikonur
Cazaquistão
Luiz Inácio Lula da Silva
Brasília
Ordem Nacional do Mérito (Brasil)
Esquadrilha da Fumaça
Bombeiro
Congresso Nacional do Brasil
Palácio do Planalto
Diário Oficial da União
Poliuretano
Sistema Brasileiro de Televisão
BBC
Londres
RMS Titanic
Titan
Acidente do submersível Titan em 2023
Eleições estaduais em São Paulo em 2014
Deputado federal
Eleições estaduais em São Paulo em 2018
Amazônia
Instituto Nacional de Pesquisas Espaciais
Ricardo Galvão
Veja
Mobile World Congress
Passatempo
Musculação
Futebol
Guitarra clássica
Piano
Desenho
Pintura
Aquarela
Radioamadorismo
International Standard Book Number
Missão Cumprida
Mauricio de Sousa
E-mail
Astronauta (Mauricio de Sousa)
Heavy metal
Angra (banda)
Aurora Consurgens
Rafael Bittencourt
Aeronáutica
Governo Lula
Ayrton Senna
Walter Pinheiro
Partido dos Trabalhadores
Alberto Goldman
Partido da Social Democracia Brasileira
São Paulo
Orlando Fantazzini
Partido Socialismo e Liberdade
Sergio Gaudenzi
Ministério Público Militar
Código Penal Militar
The Intercept
Rosa Weber
Ordem Nacional do Mérito
Exército Brasileiro
Medalha do Mérito Santos-Dumont
Herói da Federação Russa
Medalha de Ouro Yuri Gagarin
Federação Aeronáutica Internacional
Ordem do Rio Branco
Eleições estaduais em São Paulo em 2022
Lista de astronautas
Lista de astronautas da Ibero-América
Programa espacial brasileiro
Folha de S.Paulo
Flogão
Whiplash.net
Agência Pública
O Estado de S. Paulo
Wikiquote
Facebook
Instagram
Twitter
TikTok
Internet Archive
Ciência e tecnologia no Brasil
Departamento de Ciência e Tecnologia Aeroespacial
Comissão Nacional de Atividades Espaciais
Associação Aeroespacial Brasileira
Grupo Executivo e de Trabalho e Estudos de Projetos Espaciais
Instituto de Aeronáutica e Espaço
Instituto de Estudos Avançados
Centro de Lançamento de Alcântara
Centro de Lançamento da Barreira do Inferno
Satélite de Coleta de Dados 1
Satélite de Coleta de Dados 2
CBERS-1
CBERS-2
CBERS-2B
