Humano
Animal
Líquido
Lazer
Balneário
Pesca
Exercício físico
Desporto
Pinturas rupestres
Deserto do Saara
Epopeia de Gilgamesh
Ilíada
Odisseia
Bíblia
Beowulf
Alemães
Natação pura
Europa
Bruços (natação)
Crawl
Povos ameríndios
Jogos Olímpicos de Verão de 1896
Atenas
Federação Internacional de Natação
Mariposa (natação)
Instinto
Mamíferos
Piscina
Mar
Lago
Rio
Polo aquático
Saltos para a água
Natação de águas abertas
Natação sincronizada
Mergulho
Masters (natação)
Músculo
Articulações
Natação nos Jogos Olímpicos
Natação desportiva
International Standard Book Number
Wikimedia
