Praça Benedito Calixto
14 de outubro
1853
Itanhaém
Província de São Paulo
31 de maio
1927
São Paulo
Brasileiros
São Paulo (estado)
Pintor
Desenhista
Fotógrafo
Professor
Historiador
Decorador
Cartografia
Astrônomo
Brasileiro
1881
Santos
Paris
Inundação da Várzea do Carmo
1892
Museu do Ipiranga
Afonso d'Escragnolle Taunay
Velatura
Litoral paulista
Capitania de Itanhaém
Capitania de São Vicente
Academia Imperial de Belas Artes
Rio de Janeiro
Brotas (São Paulo)
França
Academia Julian
Gustave Boulanger
Pintura histórica
Costa
Litoral de São Paulo
Fotografia
1895
Instituto Histórico e Geográfico de São Paulo
Instituto Histórico e Geográfico de Santos
Teatro Coliseu (Santos)
Pinacoteca Benedito Calixto
Litoral sul paulista
Pesca
Marceneiro
Ferreiro
Maestro
Música
Pintura
Escola de Belas Artes de São Paulo
Benedito Calixto Neto
Retrato
Correio Paulistano
Loteria
Farmácia
Paisagem
Porto de Santos
Poeta nacional
Vicente de Carvalho
Companhia Docas do Estado de São Paulo
São Paulo Railway Company
Martim Afonso de Sousa
Garcia Redondo
Teatro Guarani
Artesão
Artista
Visconde de Vergueiro
Artistas
Asnières
Impressionismo
Tony Robert-Fleury
William Bouguereau
Câmera
São Paulo (cidade)
Casa Levy de Pianos
Militão de Azevedo
Exposições
1894
São Vicente (São Paulo)
Atelier
Escola de Belas Artes da Universidade Federal do Rio de Janeiro
Salão Nacional de Belas Artes
Rio de Janeiro (cidade)
História do Brasil
Museu Paulista
Jesuíno do Monte Carmelo
Estados Unidos
Belém (Pará)
Largo de Santa Cecília
Óleo sobre tela
Arte sacra
Duarte Leopoldo e Silva
Arquidiocese de São Paulo
Santa Cecília
Bandeirantes
Liceu de Artes e Ofícios de São Paulo
Paróquia Matriz Nossa Senhora da Conceição (Santa Ifigênia)
Palácio São Joaquim
Aparecida (São Paulo)
Igreja
Estado
Espírito Santo (estado)
Século XX
Catedral Metropolitana de Ribeirão Preto
São Sebastião
Amparo (São Paulo)
Paróquia Nossa Senhora da Consolação (São Paulo)
Santa Teresa d'Ávila
Papa Pio XI
Convento da Penha
Vila Velha
Teatro Coliseu Santista
Catedral de Santos
Perdizes (bairro de São Paulo)
Ordem dos Frades Menores Capuchinhos
Brasil
Século XIX
Militão Augusto de Azevedo
Baixada Santista
Catolicismo
Presépio
Semana Santa
José de Anchieta
Década de 1900
Igreja católica
São Carlos (São Paulo)
Bocaina (São Paulo)
Catanduva
Ribeirão Preto
Jaú
Diocese de São Carlos
Afrescos
Estação de São Carlos
Fundação Pinacoteca Benedito Calixto
Pinacoteca do Estado de São Paulo
Bartolomeu Lourenço de Gusmão
Domingos Jorge Velho
Ilha de Urubuqueçaba
José Menino
Cubatão
José Bonifácio
Lista de pinturas de Benedito Calixto
International Standard Serial Number
International Standard Book Number
Digital object identifier
Base Virtual Internacional de Autoridade
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Sistema Universitário de Documentação
Itaú Cultural
Universidade Federal de Santa Catarina
Union List of Artist Names
Open Library
Palazzo Castellani (Florença)
