Raposa vermelha
Vulpes rueppellii
Raposa-das-estepes
Raposa-de-bengala
Raposa-do-ártico
Vulpes cana
Raposa-do-cabo
Feneco
Classificação científica
Domínio (biologia)
Eukaryota
Reino (biologia)
Animalia
Filo
Chordata
Classe (biologia)
Mammalia
Ordem (biologia)
Carnivora
Caniformia
Família (biologia)
Canidae
Cerdocyon
Cerdocyon thous
Lycalopex
Lycalopex culpaeus
Lycalopex fulvipes
Lycalopex griseus
Lycalopex gymnocercus
Lycalopex sechurae
Lycalopex vetulus
Vulpes
Vulpes lagopus
Vulpes vulpes
Vulpes velox
Vulpes macrotis
Vulpes corsac
Vulpes chama
Vulpes pallida
Vulpes bengalensis
Vulpes ferrilata
Vulpes zerda
Urocyon
Urocyon cinereoargenteus
Urocyon littoralis
Raposa-de-cozumel
Otocyon
Otocyon megalotis
Mamíferos
Onívoros
Gêneros
Focinho
Cauda
Espécies
Monofilia
Extinção
Parafilético
Raposa-cinzenta
Raposa-das-ilhas
Caça à raposa
Latim
DNA
Filogenética
Raposa-veloz
Cão
Lobo-cinzento
Lobo-vermelho
Lobo-oriental
Coiote
Chacal-dourado
Lobo-etíope
Chacal-de-dorso-negro
Canis adustus
Cão-selvagem-asiático
Mabeco
Cachorro-do-mato
Raposa-do-campo
Lobo-guará
Táxon monotípico
Cão-guaxinim
Chacal
Raposa-vermelha
Rostro (anatomia)
Digitígrado
Bigodes
Vibrissas
Ruivo
Dentição
Carniceiro (dente)
Carnívoro
Invertebrados
Vertebrados
Camuflar
Escroto
Testículos
Báculo (biologia)
Espermatogênese
Óvulos
Estro
Gestação
Canis
Dusicyon
Lobo-das-malvinas
John Gerrard Keulemans
Raposa-cinzenta-argentina
Graxaim-do-campo
Raposa-orelhas-de-morcego
Quênia
Ilhas do Canal da Califórnia
Espécie quase ameaçada
Espécies ameaçadas
Cerrado
Desmatamento no Brasil
Raposa-de-darwin
IUCN
Criticamente ameaçada de extinção
Chile
Ilha de Chiloé
Equação de Lotka-Volterra
Raposa-vermelha-doméstica
Dinastia Qing
Folclore
Mitologia
Kitsune
Vulpecula
Cruzeiro Esporte Clube
Fernando Pieruccetti
International Standard Book Number
PubMed Identifier
Digital object identifier
JSTOR
publicação de acesso livre - leitura gratuita
Bibcode
Lista Vermelha da IUCN
UFG
International Standard Serial Number
