Canal de televisão
Estação de televisão
Rede de telecomunicações
Programa de televisão
Década de 1980
BBC
NBC
TV Globo
CBC Television
Rede de rádio
TV a Cabo
Warner Bros. Television Group
Universal Television
British Broadcasting Corporation
Coroa britânica
Reino Unido
UKTV
BBC Television
Assis Chateaubriand
TV Tupi
International Standard Serial Number
Digital object identifier
