Dezembro
Janeiro
Fevereiro
Domingo
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
31 de dezembro
2 de janeiro
3 de janeiro
4 de janeiro
5 de janeiro
6 de janeiro
7 de janeiro
8 de janeiro
9 de janeiro
10 de janeiro
11 de janeiro
12 de janeiro
13 de janeiro
14 de janeiro
15 de janeiro
16 de janeiro
17 de janeiro
18 de janeiro
19 de janeiro
20 de janeiro
21 de janeiro
22 de janeiro
23 de janeiro
24 de janeiro
25 de janeiro
26 de janeiro
27 de janeiro
28 de janeiro
29 de janeiro
30 de janeiro
31 de janeiro
1 de fevereiro
2 de fevereiro
3 de fevereiro
Ano
2024
Década
Década de 2020
Século
Século XXI
Milênio
Terceiro milénio d.C.
Calendário gregoriano
Ano bissexto
Dia Mundial da Paz
Dia da Fraternidade Universal
Feriado
Presidente
Presidente do Brasil
Conselho Federal suíço
Governador
153 a.C.
Cônsul (Roma Antiga)
45 a.C.
Calendário juliano
República Romana
42 a.C.
Senado romano
Apoteose
Ditador
Júlio César
193
Pertinax
Cómodo
Imperador romano
404
São Telêmaco
Gladiador
Anfiteatro
Honório
417
Gala Placídia
Constâncio III
Mestre dos soldados
1001
Estêvão I da Hungria
Lista de soberanos da Hungria
Papa Silvestre II
1068
Romano IV Diógenes
Eudócia Macrembolitissa
Lista de imperadores bizantinos
Império Bizantino
1259
Miguel VIII Paleólogo
Império de Niceia
1438
Alberto II da Germânia
1502
Navegação à vela
Portugueses
Baía da Guanabara
Rio de Janeiro
Lista de municípios do Brasil por PIB
Brasil
1515
Francisco I de França
Lista de monarcas da França
Luís XII de França
1527
Fernando I do Sacro Império Romano-Germânico
Lista de soberanos da Croácia
1600
Escócia
1651
Lista de monarcas da Escócia
Carlos II de Inglaterra
1700
Terremoto de 1837 na Galileia
Safed
Anno Domini
Anno Mundi
1707
Príncipe do Brasil
Casa de Bragança
Lista de reis de Portugal
João V de Portugal
1739
Ilha Bouvet
Jean-Baptiste Charles Bouvet de Lozier
1763
Estado do Brasil
Vice-rei
1788
The Times
Ceres (planeta anão)
Vitória do Reino Unido
Imperador da Índia
Canal do Panamá
Ferdinand de Lesseps
1801
Reino da Grã-Bretanha
Reino da Irlanda
Reino Unido da Grã-Bretanha e Irlanda
Cintura de asteroides
Giuseppe Piazzi
1804
Haiti
América do Norte
Estados Unidos
1806
Calendário revolucionário francês
1834
Zollverein
1861
Benito Juárez
Cidade do México
1863
Guerra Civil dos Estados Unidos
Proclamação de Emancipação
Estados Confederados da América
1877
1880
1885
Sandford Fleming
Hora legal
Fuso horário
1890
Eritreia
Itália
1892
Ilha Ellis
Imigração nos Estados Unidos
1899
Cuba
República da China (1912–1949)
Declaração das Nações Unidas
Força Expedicionária Brasileira
1901
Nigéria
Protetorado
Reino Unido
Nova Gales do Sul
Queenslândia
Victoria (Austrália)
Austrália Meridional
Tasmânia
Austrália Ocidental
Federação da Austrália
Edmund Barton
1912
1917
Código Civil brasileiro de 1916
1927
Guerra Cristera
1934
Ilha de Alcatraz
Baía de São Francisco
Alemanha Nazi
Eugenia nazista
1939
Alemanha Nazista
Judeus
Alemães
30 de abril
1938
Regulamento
Pequenas empresas
Contabilidade
Espanha
Serviço de trabalho obrigatório
Concerto de Ano Novo de Viena
União Soviética
Empresa
Tecnologia
Hewlett-Packard
Garagem
"Palo Alto, Califórnia"
William Hewlett
David Packard
Silicon Valley
Sydney
Austrália
Philipp Etter
Finlândia
Congregação
Suécia
Alemanha
Refugiados
Paróquia
Nórdicos
País
1942
1945
Segunda Guerra Mundial
Massacre de Malmedy
Vaux-sur-Sûre
Luftwaffe
Operação Bodenplatte
Aliados da Segunda Guerra Mundial
1946
1949
Cessar-fogo
Organização das Nações Unidas
Caxemira
Guerra Indo-Paquistanesa de 1947
Internet
1956
Sudão
Egito
1958
Comunidade Económica Europeia
1959
Fulgencio Batista
Fidel Castro
Revolução Cubana
1960
Camarões
França
Folha de S.Paulo
Folha da Manhã (São Paulo)
1962
Samoa
Nova Zelândia
1964
Federação da Rodésia e Niassalândia
Zâmbia
Malawi
Rodésia
1965
Partido Democrático do Povo do Afeganistão
Cabul
Afeganistão
1970
Era Unix
1973
Dinamarca
República da Irlanda
1978
Voo Air India 855
Boeing 747
Mar Arábico
Bombaim
Índia
1979
Mato Grosso do Sul
Unidades federativas do Brasil
Relações diplomáticas
China
1980
Sismo dos Açores de 1980
1981
Grécia
1982
Javier Pérez de Cuéllar
Latino-americanos
Secretário-geral das Nações Unidas
1983
ARPANET
Protocolo de Internet
1984
Brunei
1986
Portugal
1989
Protocolo de Montreal
Depleção do ozônio
1993
Dissolução da Tchecoslováquia
Checoslováquia
República Checa
Eslováquia
1994
Exército Zapatista de Libertação Nacional
Chiapas
Tratado Norte-Americano de Livre Comércio
1995
Áustria
União Europeia
Organização Mundial do Comércio
Onda Draupner
Mar do Norte
Noruega
Vagalhão
Fernando Henrique Cardoso
1998
Reforma monetária
Rússia
Rublo russo
Inflação
1999
Euro
Estados-membros da União Europeia
(486958) 2014 MU69
New Horizons
2003
Luiz Inácio Lula da Silva
2007
Romênia
Bulgária
Voo Adam Air 574
Indonésia
2009
Incêndio do Santika Club
Banguecoque
Tailândia
2010
Tratado de Livre Comércio entre Associação de Nações do Sudeste Asiático e China
Área de livre-comércio
2011
Atentado de 1 de janeiro de 2011 em Alexandria
Coptas
Alexandria
Liturgia
Ano-novo
Estônia
Zona Euro
Dilma Rousseff
2015
União Econômica Eurasiática
Bielorrússia
Armênia
Cazaquistão
Quirguistão
2016
Acordo Ortográfico de 1990
2017
Atentado em Istambul em janeiro de 2017
Istambul
Turquia
António Guterres
2019
NASA
Objeto transnetuniano
486958 Arrokoth
Jair Bolsonaro
2020
Inundações em Jacarta em 2020
Jacarta
2021
Zona de Comércio Livre Continental Africana
2022
Parceria Regional Econômica Abrangente
Livre comércio
Mundo
Camboja
Japão
Laos
Singapura
Vietnã
2023
Croácia
Acordo de Schengen
Sismo na Península de Noto de 2024
Prefeituras do Japão
Ishikawa
Mar do Japão
Papa Alexandre VI
Pierre de Coubertin
Roberto Rivellino
Naughty Boy
Karol Conká
870
Zuentiboldo
900
1431
1503
1449
Lourenço de Médici
1492
1467
Sigismundo I da Polônia
1548
1484
Ulrico Zuínglio
1531
1507
"Ana de Brandemburgo, Duquesa de Meclemburgo"
1567
1511
"Henrique, Duque da Cornualha (1511)"
1516
Margarida Leijonhufvud
1551
1557
Estêvão Bocskai
1606
1638
Go-Sai
1685
1655
Christian Thomasius
1728
1735
Paul Revere
1818
1747
Manuel de Almeida de Carvalho
1752
Betsy Ross
1836
1766
Antoine-Vincent Arnault
1768
Maria Edgeworth
1849
1769
Marie Louise Lachapelle
1821
1774
André Marie Constant Duméril
1860
James Fannin
Lionel Kieseritzky
1853
1813
George Bliss
1868
1814
Hong Xiuquan
1864
1819
Arthur Hugh Clough
1823
Sándor Petőfi
1830
Leonard Woolsey Bacon
1907
1839
Ouida
1908
1846
Léon Denis
1852
Eugène-Anatole Demarçay
1904
1854
James Frazer
1941
1859
Henrique Pousão
1884
Michael Joseph Owens
1923
Thibaw Min
1916
Michele Lega
1935
1937
Alfred Stieglitz
Qi Baishi
1957
1867
Jeanne Lanvin
1873
Mariano Azuela
1952
1874
Gustave Whitehead
1878
Agner Krarup Erlang
1929
1879
E. M. Forster
William Fox
Petar Živković
1947
Ludwig Opel
1881
Vajiravudh
1925
1887
Wilhelm Canaris
1888
John Garand
1974
Ludwig Rex
1891
Charles Bickford
1967
Manuel Roxas
1948
1894
Satyendra Nath Bose
1895
J. Edgar Hoover
1972
1900
Xavier Cugat
1990
Hub van Doorne
Chiune Sugihara
1905
Stanisław Mazur
1906
Petre Steinbach
1996
1909
Dana Andrews
1992
Arthur Machado
1997
Stepan Bandera
1910
José Augusto Brandão
1911
Basil Dearden
1971
Hank Greenberg
Boris Gnedenko
Kim Philby
1988
João Amazonas
2002
1914
Noor Inayat Khan
1944
David Nasser
1919
Rocky Graziano
Carole Landis
J. D. Salinger
1920
Osvaldo Cavandoli
Alfredo dos Santos
1921
César Baldaccini
António Sousa Freitas
2004
Valentina Cortese
Ousmane Sembène
Milt Jackson
1924
Francisco Macías Nguema
Arthur Danto
2013
1926
Kazys Petkevičius
2008
Maria Della Costa
Maurice Béjart
Vernon Smith
Antônio Carlos Pires
2005
1928
Ernest Tidyman
Gerhard Weinberg
Haruo Nakajima
1930
Yaffar al Numeiry
Frederick Wiseman
1931
Gianuário Carta
Lakhdar Brahimi
Chico Feitosa
1936
Álvaro Barreto
Emiliano Queiroz
Carlo Franchi
Frank Langella
Phil Read
Ali Mahdi Muhammad
1940
Earl Sinks
Ronald Barnes
Country Joe McDonald
Alassane Ouattara
Gennadi Sarafanov
1943
Don Novello
Tony Knowles (político)
Omar al-Bashir
Zafarullah Khan Jamali
Jacky Ickx
Moncho Monsalve
Milena Canonero
Tatyana Zhuk
Takão
Jon Corzine
F. R. David
Miriam Batucada
Kakhi Asatiani
Devlet Bahçeli
Dick Quax
2018
Augustinho Záccaro
Pavel Grachev
2012
David Christie
1950
Zsigmond Villányi
1951
Hans-Joachim Stuck
Bernardo Jablonski
Jean-Paul Akono
Hamad bin Khalifa
1953
Gary E. Johnson
Afonso Dhlakama
1954
Robert Menendez
Djimrangar Dadnadji
Sergei Avdeyev
Christine Lagarde
Karen Pence
Evangelos Venizelos
Ramaz Shengelia
Gary Barber
Grandmaster Flash
Vadim Yevtushenko
Eduardo Dussek
Nardela
Mohamed Magassouba
Abdul Ahad Mohmand
Azali Assoumani
Panagiotis Giannakis
Michael Seibert
Luis Gabelo Conejo
Masaaki Yanagishita
1961
Viktor Pasulko
Rita Camata
Vyacheslav Sukristov
Ricky Harris
1963
Jean-Marc Gounon
Lina Kačiušytė
Alberigo Evani
Dražen Ladić
Dedee Pfeiffer
1966
Tihomir Orešković
Chidi Nwanu
Spencer Tunick
Marcelo Barticciotto
Ihor Pavlyuk
1968
Davor Šuker
1969
Viola (futebolista)
Verne Troyer
Mr. Lawrence
Sergey Kiryakov
João Miguel
Anselmo Robbiati
Sandro Alfaro
Marcela Walerstein
Juan Carlos Plata
Gabriela Alves
Walter Boyd
Lilian Thuram
Micaela Nevárez
Shelda Bedê
Jimi Mistry
Mehdi Ben Slimane
Madeleine Peyroux
1975
Chris Anstey
Joe Cannon
Eiichiro Oda
Bengt Sæternes
1976
Marko Topić
Mustafa Doğan
1977
Hasan Salihamidžić
Yann Gonzalez
Leoš Friedl
Xavier Samin
Vidya Balan
Juan de Dios Pérez
Richie Faulkner
Jonas Armstrong
Zsolt Baumgartner
Mladen Petrić
Oscar Miñambres
Yacine Abdessadki
David Nalbandian
João Carlos Pinto Chaves
Benoît Angbwa
Egidio Arévalo
Melaine Walker
Park Sung-Hyun
Ángel Dealbert
Daniel Jarque
Paolo Guerrero
Rubens Sambueza
Mahamat Déby Itno
1985
Steven Davis
Tiago Splitter
Davies Nkausu
Marat Bikmaev
Colin Morgan
Pablo Cuevas
1987
Meryl Davis
Ben Alnwick
Nana Dzagnidze
Assimiou Touré
Fernando Uribe
Aliya Garayeva
Kendall Waston
Jason Pierre-Paul
Zouhair Feddal
Andrew Simpson
Stefan Reinartz
Julia Glushko
Juan Sánchez Miño
Zita Hanrot
1991
Abdoulaye Ba
Peter Burling
He Kexin
Shane Duffy
Graciele Herrmann
René Binder
Jack Wilshere
Sifan Hassan
Hérica Tibúrcio
Sheyla Gutiérrez
Sardar Azmoun
Andreas Pereira
Yaya Banhoro
Joseph Areruya
Chidozie Awaziem
Abdalelah Haroun
Gonzalo Montiel
Giulia Gayoso
Gianluca Scamacca
2000
Ice Spice
2001
Angourie Rice
Tusse
Giovani Henrique Amorim da Silva
Alzain Tareq
Luís XII
Grace Hopper
138
Lúcio Élio
101
837
Pedro de Atroa
773
898
Eudo de França
852
951
Ramiro II de Leão
962
Balduíno III da Flandres
940
1031
Guilherme de Volpiano
1204
Haakon III da Noruega
1170
1387
Carlos II de Navarra
1332
1496
Carlos de Orleães-Angolema
1459
1462
1559
Cristiano III da Dinamarca
1560
Joachim du Bellay
1522
1617
Hendrik Goltzius
1558
1682
Jacob Kettler
1610
1688
Salvador Correia de Sá e Benevides (militar)
1602
1697
Filippo Baldinucci
1625
1702
Yair Bacharach
1639
1748
Johann Bernoulli
1667
1780
Johann Ludwig Krebs
1713
1782
Johann Christian Bach
1787
José Anastácio da Cunha
1744
1793
Francesco Guardi
1712
1817
Martin Heinrich Klaproth
1743
1862
Mikhail Ostrogradski
Louis Auguste Blanqui
1805
Roswell B. Mason
Heinrich Hertz
1857
1896
Alfred Ely Beach
1826
1897
Adolfo Caminha
Theobald von Bethmann-Hollweg
1856
Martinus Beijerinck
1851
Bhaktisiddhanta Sarasvati
Arthur Ruppin
1876
Edwin Lutyens
1869
Ugo Ojetti
1871
Hank Williams
Duff Cooper
Leonard Bacon (poeta)
Margaret Sullavan
Ludwig Wrede
Vincent Auriol
Maurice Chevalier
Pietro Sandro Nenni
Victor Buono
Alice B. Russell
1889
Cesar Romero
Eugene Wigner
1902
Arleigh Burke
Arthur Rudolph
Helen Wills Moody
Ray Walston
Joe Foss
1915
Shirley Chisholm
Eugene J. Martin
2006
Mapita Cortés
Roland Levinsky
Albert Isaac Bezzerides
Del Reeves
1932
Eleonore Schoenfeld
José Sousa Ramos
Tillie Olsen
Lucas Sang
Peter Caffrey
Helen Suzman
Nizar Rayan
Freya von Moltke
John Freeman (desenhista)
Lhasa de Sela
Tetsuo Narikawa
Flemming Jørgensen
Louise Reiss
Paulo Lowndes Marques
Carlos Soria
Carlos Valadares
Nina Miranda
Patti Page
2014
Higashifushimi Kunihide
Juanita Moore
Josep Seguer
Mario Cuomo
Boris Morukov
Ulrich Beck
Fazu Aliyeva
Vilmos Zsigmond
Derek Parfit
David Stern
Elmira Minita Gordon
Don Larsen
Carlos do Carmo
Dan Reeves
Domínio público
Convenção da União de Berna
Circuncisão de Jesus
Poder Executivo do Brasil
Prefeito
Ministérios do Brasil
Secretário (cargo)
Distrito Federal (Brasil)
Municípios do Brasil
Adelardo de Corbie
Basílio de Cesareia
Fulgêncio de Ruspe
José Maria Tomasi
Mãe de Deus
Telêmaco de Roma
Zygmunt Gorazdowski
Calendário romano
Calendas
1 de março
Calendário litúrgico
Letra dominical
Semana
Epacta
International Standard Book Number
South China Morning Post
Mês
Dia
19 de dezembro
4 de fevereiro
5 de fevereiro
6 de fevereiro
7 de fevereiro
8 de fevereiro
9 de fevereiro
10 de fevereiro
11 de fevereiro
12 de fevereiro
13 de fevereiro
14 de fevereiro
15 de fevereiro
16 de fevereiro
17 de fevereiro
18 de fevereiro
19 de fevereiro
20 de fevereiro
21 de fevereiro
22 de fevereiro
23 de fevereiro
24 de fevereiro
25 de fevereiro
26 de fevereiro
27 de fevereiro
28 de fevereiro
29 de fevereiro
Março
2 de março
3 de março
4 de março
5 de março
6 de março
7 de março
8 de março
9 de março
10 de março
11 de março
12 de março
13 de março
14 de março
15 de março
16 de março
17 de março
18 de março
19 de março
20 de março
21 de março
22 de março
23 de março
24 de março
25 de março
26 de março
27 de março
28 de março
29 de março
30 de março
31 de março
Abril
1 de abril
2 de abril
3 de abril
4 de abril
5 de abril
6 de abril
7 de abril
8 de abril
9 de abril
10 de abril
11 de abril
12 de abril
13 de abril
14 de abril
15 de abril
16 de abril
17 de abril
18 de abril
19 de abril
20 de abril
21 de abril
22 de abril
23 de abril
24 de abril
25 de abril
26 de abril
27 de abril
28 de abril
29 de abril
Maio
1 de maio
2 de maio
3 de maio
4 de maio
5 de maio
6 de maio
7 de maio
8 de maio
9 de maio
10 de maio
11 de maio
12 de maio
13 de maio
14 de maio
15 de maio
16 de maio
17 de maio
18 de maio
19 de maio
20 de maio
21 de maio
22 de maio
23 de maio
24 de maio
25 de maio
26 de maio
27 de maio
28 de maio
29 de maio
30 de maio
31 de maio
Junho
1 de junho
2 de junho
3 de junho
4 de junho
5 de junho
6 de junho
7 de junho
8 de junho
9 de junho
10 de junho
11 de junho
12 de junho
13 de junho
14 de junho
15 de junho
16 de junho
17 de junho
18 de junho
19 de junho
20 de junho
21 de junho
22 de junho
23 de junho
24 de junho
25 de junho
26 de junho
27 de junho
28 de junho
29 de junho
30 de junho
Julho
1 de julho
2 de julho
3 de julho
4 de julho
5 de julho
6 de julho
7 de julho
8 de julho
9 de julho
10 de julho
11 de julho
12 de julho
13 de julho
14 de julho
15 de julho
16 de julho
17 de julho
18 de julho
19 de julho
20 de julho
21 de julho
22 de julho
23 de julho
24 de julho
25 de julho
26 de julho
27 de julho
28 de julho
29 de julho
30 de julho
31 de julho
Agosto
1 de agosto
2 de agosto
3 de agosto
4 de agosto
5 de agosto
6 de agosto
7 de agosto
8 de agosto
9 de agosto
10 de agosto
11 de agosto
12 de agosto
13 de agosto
14 de agosto
15 de agosto
16 de agosto
17 de agosto
18 de agosto
19 de agosto
20 de agosto
21 de agosto
22 de agosto
23 de agosto
24 de agosto
25 de agosto
26 de agosto
27 de agosto
28 de agosto
29 de agosto
30 de agosto
31 de agosto
Setembro
1 de setembro
2 de setembro
3 de setembro
4 de setembro
5 de setembro
6 de setembro
7 de setembro
8 de setembro
9 de setembro
10 de setembro
11 de setembro
12 de setembro
13 de setembro
14 de setembro
15 de setembro
16 de setembro
17 de setembro
18 de setembro
19 de setembro
20 de setembro
21 de setembro
22 de setembro
23 de setembro
24 de setembro
25 de setembro
26 de setembro
27 de setembro
28 de setembro
29 de setembro
30 de setembro
Outubro
1 de outubro
2 de outubro
3 de outubro
4 de outubro
5 de outubro
6 de outubro
7 de outubro
8 de outubro
9 de outubro
10 de outubro
11 de outubro
12 de outubro
13 de outubro
14 de outubro
15 de outubro
16 de outubro
17 de outubro
18 de outubro
19 de outubro
20 de outubro
21 de outubro
22 de outubro
23 de outubro
24 de outubro
25 de outubro
26 de outubro
27 de outubro
28 de outubro
29 de outubro
30 de outubro
31 de outubro
Novembro
1 de novembro
2 de novembro
3 de novembro
4 de novembro
5 de novembro
6 de novembro
7 de novembro
8 de novembro
9 de novembro
10 de novembro
11 de novembro
12 de novembro
13 de novembro
14 de novembro
15 de novembro
16 de novembro
17 de novembro
18 de novembro
19 de novembro
20 de novembro
21 de novembro
22 de novembro
23 de novembro
24 de novembro
25 de novembro
26 de novembro
27 de novembro
28 de novembro
29 de novembro
30 de novembro
1 de dezembro
2 de dezembro
3 de dezembro
4 de dezembro
5 de dezembro
6 de dezembro
7 de dezembro
8 de dezembro
9 de dezembro
10 de dezembro
11 de dezembro
12 de dezembro
13 de dezembro
14 de dezembro
15 de dezembro
16 de dezembro
17 de dezembro
18 de dezembro
20 de dezembro
21 de dezembro
22 de dezembro
23 de dezembro
24 de dezembro
25 de dezembro
26 de dezembro
27 de dezembro
28 de dezembro
29 de dezembro
30 de dezembro
0 de janeiro
30 de fevereiro
31 de fevereiro
0 de março
