Cabo-verdiano
Crioulo cabo-verdiano
Bandeira de Cabo Verde
Brasão de armas de Cabo Verde
Hino nacional de Cabo Verde
Praia (Cabo Verde)
Língua portuguesa
Gentílico
República
Semipresidencialismo
Estado unitário
Lista de presidentes de Cabo Verde
José Maria Neves
Lista de primeiros-ministros de Cabo Verde
Ulisses Correia e Silva
História de Cabo Verde
Descobrimentos
1460
Descolonização portuguesa da África
Portugal
5 de Julho
1975
Quilómetro quadrado
Lista de países e territórios por área
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Mil milhões
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Escudo cabo-verdiano
Euro
ISO 4217
Fuso horário
Tempo Universal Coordenado
Horário de verão
ISO 3166-1
Lista de TLDs
.cv
Lista de códigos telefónicos
País insular
Arquipélago
Oceano Atlântico
Ilha elevada (geologia)
Senegal
Cabo Verde (cabo)
África
Macaronésia
Açores
Canárias
Madeira (região autónoma)
Ilhas Selvagens
Império Português
Colónia
Comércio de escravos no Atlântico
Corsário
Pirata
Democracia representativa
Turismo
Europa
Igreja Católica
Estados Unidos
União Africana
Organização das Nações Unidas
Comunidade dos Países de Língua Portuguesa
Colonialismo
Cidade Velha
Ilha de Santiago
Guiné (região)
Feitoria
Escravidão africana
Guiné-Bissau
Ilha
Brasil
Século XX
Elite (sociologia)
Crioulos
Partido Africano para a Independência da Guiné e Cabo Verde
Amílcar Cabral
Aristides Maria Pereira
Luís Cabral
Polícia Internacional e de Defesa do Estado
Cuba
Estado Novo (Portugal)
Revolução de 25 de Abril de 1974
Campo de Concentração do Tarrafal
Acordo de Argel (1974)
António de Spínola
Mário Soares
Guerra Fria
União Soviética
Polícia de Segurança Pública
Vicente Manuel de Moura Coutinho de Almeida d'Eça
Partido Africano da Independência de Cabo Verde
Unipartidarismo
Movimento para a Democracia
Economia de mercado
Privatização
Geografia de Cabo Verde
Mapa topográfico
Imagem de satélite
África Ocidental
Vulcão
Ilha do Fogo
Ilhas de Barlavento
Ilha de Santo Antão
Ilha de São Vicente (Cabo Verde)
Ilha de Santa Luzia
Ilha de São Nicolau
Ilha do Sal
Ilha da Boa Vista
Branco (Cabo Verde)
Raso
Ilhéu dos Pássaros
Mindelo (Cabo Verde)
Ilhas de Sotavento (Cabo Verde)
Ilha do Maio
Ilha Brava
Rochas ígneas
Piroclástico
Rochas vulcânicas
Rocha plutônica
Petrografia
Pico do Fogo
Ponto quente
Geoide
Erupção vulcânica
Nível do mar
Magma
Salina
Sal (Cabo Verde)
Maio (Cabo Verde)
Santiago (Cabo Verde)
Santo Antão (Cabo Verde)
São Nicolau (Cabo Verde)
Cana-de-açúcar
Banana
Nauru
Mudanças climáticas
Aquecimento global
Sahel
Clima árido
Corrente das Canárias
Harmattan
Saara
São Vicente (Cabo Verde)
Boa Vista (Cabo Verde)
Demografia de Cabo Verde
Pirâmide etária
Santo Antão
França
Nossa Senhora de Fátima
Assomada
Religião em Cabo Verde
Cristianismo
Igreja do Nazareno
Igreja Adventista do Sétimo Dia
Igreja de Jesus Cristo dos Santos dos Últimos Dias
Assembleia de Deus
Testemunhas de Jeová
Pentecostais
Adventismo
Islão
Judaísmo
Fé Bahá'í
Línguas de Cabo Verde
Língua francesa
Língua inglesa
Ensino secundário
Organização Internacional da Francofonia
Nigéria
Praia (concelho de Cabo Verde)
São Vicente (concelho de Cabo Verde)
Santa Maria (Cabo Verde)
Sal (concelho de Cabo Verde)
Santa Catarina (concelho de Cabo Verde)
Porto Novo (Cabo Verde)
Porto Novo (concelho de Cabo Verde)
Pedra Badejo
Santa Cruz (concelho de Cabo Verde)
São Filipe (Fogo)
São Filipe (concelho de Cabo Verde)
Tarrafal (Santiago)
Tarrafal (concelho de Cabo Verde)
Sal Rei
Boa Vista (concelho de Cabo Verde)
Ponta do Sol (Cabo Verde)
Ribeira Grande (concelho de Cabo Verde)
Política de Cabo Verde
Palácio Presidencial de Cabo Verde
Índice de Democracia
Presidente de Cabo Verde
Chefe de estado
Sufrágio universal
Primeiro-ministro
Assembleia Nacional de Cabo Verde
União Caboverdiana Independente e Democrática
Missões diplomáticas de Cabo Verde
Movimento Não Alinhado
Estado
Angola
China
Alemanha
Espanha
Rússia
Luxemburgo
Embaixada
Países lusófonos
Organizações internacionais
União Europeia
Acordo de Cotonou
Divisão administrativa de Cabo Verde
Concelho
Brava (concelho de Cabo Verde)
Maio (concelho de Cabo Verde)
Ribeira Brava (concelho de Cabo Verde)
Tarrafal de São Nicolau (concelho de Cabo Verde)
Mosteiros (concelho de Cabo Verde)
Santa Catarina do Fogo (concelho de Cabo Verde)
Paul (concelho de Cabo Verde)
São Domingos (Santiago)
São Miguel (concelho de Cabo Verde)
Ribeira Grande de Santiago (concelho de Cabo Verde)
São Lourenço dos Órgãos (concelho de Cabo Verde)
São Salvador do Mundo (concelho de Cabo Verde)
Economia de Cabo Verde
Exportação
Organização Mundial do Comércio
País subdesenvolvido
Resort
Aeroporto Internacional Amílcar Cabral
Aeroporto de São Pedro
Mortalidade infantil
SIDA
HIV
Nações Unidas
Expectativa de vida
Tunísia
Líbia
Banco Mundial
UNICEF
Países menos desenvolvidos
Jardim de infância
Educação em Portugal
Bacharelato
África do Sul
Ensino primário
Ensino superior
Doutoramento
Universidade de Cabo Verde
Avião
Transporte público
Ônibus
Táxi
Aeroporto Internacional Nelson Mandela
Aeroporto Internacional Aristides Pereira
Basalto
Balsa
Palmeira (Cabo Verde)
Cultura de Cabo Verde
Imperialismo europeu
Cesária Évora
Música de Cabo Verde
Morna
Funaná
Coladeira
Sara Tavares
Lura
Mayra Andrade
Bana (cantor)
Guarda-costas
B. Leza
Travadinha
Tchindas
Carnaval
Los Angeles
Cachupa
Peixe
Milho
Arroz
Batata
Cebola
Tomate
Mandioca
Repolho
Couve
Feijões
Fruta
Papaia
Manga (fruta)
Abacate
Pastel
Seleção Cabo-Verdiana de Basquetebol
Afrobasket
FIBA
Seleção Egípcia de Basquetebol
Walter Tavares
NBA
Real Madrid Baloncesto
Windsurf
Kiteboarding
Futebol
Seleção Cabo-Verdiana de Futebol
Federação Cabo-Verdiana de Futebol
Campeonato Africano das Nações
Campeonato Africano das Nações de 2013
Campeonato Africano das Nações de 2015
Jogos Olímpicos de Verão
Estádio Nacional de Cabo Verde
1 de Janeiro
13 de Janeiro
20 de Janeiro
1 de Maio
19 de Maio
1 de Junho
15 de Agosto
1 de Novembro
25 de Dezembro
Constituição Política da República de Cabo Verde
Lista de países
Português cabo-verdiano
Dicionário Houaiss
Social Science Research Network
Fundo Monetário Internacional
Relatório de Desenvolvimento Humano
International Standard Book Number
Departamento de Estado dos Estados Unidos
Peace Corps
Variety
International Standard Serial Number
PubMed Identifier
Digital object identifier
Wikimedia
Wikivoyage
Cabo Verde
Forças Armadas de Cabo Verde
Lista de partidos políticos de Cabo Verde
Lista de cidades e vilas em Cabo Verde
Bolsa de Valores de Cabo Verde
Turismo em Cabo Verde
Futebol em Cabo Verde
Argélia
Benim
Botsuana
Burquina Fasso
Burundi
Camarões
Chade
Comores
República do Congo
Costa do Marfim
Djibuti
Egito
Eritreia
Essuatíni
Etiópia
Gabão
Gâmbia
Gana
Guiné
Guiné Equatorial
Lesoto
Libéria
Madagáscar
Maláui
Mali
Marrocos
Maurícia
Mauritânia
Moçambique
Namíbia
Níger
Quénia
República Centro-Africana
República Democrática do Congo
Ruanda
São Tomé e Príncipe
Serra Leoa
Seicheles
Somália
Sudão
Sudão do Sul
Tanzânia
Togo
Uganda
Zâmbia
Zimbábue
Ilha de Alborão
Ilhéu de Alhucemas
Ceuta
Ilhas Chafarinas
Melilha
Ilhéu de Vélez de la Gomera
Maiote
Reunião (departamento)
Socotorá
Pantelária
Ilhas Pelágias
Região Autónoma da Madeira
"Santa Helena, Ascensão e Tristão da Cunha"
Saara Ocidental
Somalilândia
Banco do Geyser
Bassas da Índia
Ilha Europa
Ilhas Gloriosas
Ilha de João da Nova
Ilha Tromelin
Pan-africanismo
Afro (moeda)
Regiões da União Africana
Assembleia da União Africana
Comissão da União Africana
Parlamento Pan-africano
Banco Central Africano
Fundo Monetário Africano
Carta Africana dos Direitos Humanos e dos Povos
Alargamento da União Africana
Estados-membros da União Africana
Madagascar
Quênia
República Árabe Saaraui Democrática
Estados membros da Comunidade dos Países de Língua Portuguesa
Timor-Leste
Andorra
Argentina
Canadá
Catar
Chéquia
Chile
Conferência Ibero-americana
Eslováquia
Geórgia
Grécia
Hungria
Índia
Irlanda
Itália
Japão
Organização dos Estados Ibero-americanos
Paraguai
Peru
Reino Unido
Romênia
Sérvia
Turquia
Uruguai
Assistência Médica Internacional
Associação das Universidades de Língua Portuguesa
Associação dos Comités Olímpicos de Língua Oficial Portuguesa
Fundação Calouste Gulbenkian
Fundação Champalimaud
Fundação Luso-Americana
Fundação Luso-Brasileira
Fundação Mário Soares
Fundação Oriente
Fundação Oswaldo Cruz
Fundação Roberto Marinho
Instituto Histórico e Geográfico Brasileiro
Médicos do Mundo
Sociedade de Geografia de Lisboa
Real Gabinete Português de Leitura
Universidade Estadual de Campinas
Universidade Federal da Bahia
Universidade Federal do Rio de Janeiro
Universidade Lusófona de Humanidades e Tecnologias
Cronologia da história de Portugal
Reino de Portugal
"Reino Unido de Portugal, Brasil e Algarves"
Implantação da República Portuguesa
Guerra Colonial Portuguesa
Souira Kedima
Alcácer-Ceguer
Arzila (Marrocos)
Azamor
Mazagão (Marrocos)
Essaouira
Safim
Agadir
Tânger
Ouadane
Acra
África Ocidental Portuguesa
Ano-Bom
Arguim
Cabinda (província)
Província Ultramarina de Cabo Verde
Elmina
Bioko
Costa do Ouro (colónia de Portugal)
Guiné Portuguesa
Melinde
Mombaça
África Oriental Portuguesa
Ruínas de Quilua Quisiuani e de Songo Mnara
Fortaleza de São João Baptista de Ajudá
Província Ultramarina de São Tomé e Príncipe
Zanzibar
Ziguinchor
Barém
Ormuz
Mascate
Bandar Abbas
Soar
Ceilão Português
Laquedivas
Maldivas
Baçaim
Bombaim sob domínio português
Calecute
Cananor
Chaul
Chatigão
Cochim
Cranganor
Dadrá e Nagar-Aveli
Damão
Diu
Goa
Ugulim
Negapatão
Paliacate
Coulão
Salsete
Masulipatão
Mangalore
Surrate
Tuticorim
São Tomé de Meliapor
Ilhas Banda
Flores (Indonésia)
Macau português
Província ultramarina
Macáçar
Malaca Portuguesa
Ilhas Molucas
Amboíno
Ternate (Indonésia)
Tidore
Nagasáqui portuguesa
Tamão
Timor Português
Terra Nova
Labrador
Nova Escócia
Brasil Colônia
Barbados
Província Cisplatina
Colônia de Caiena e Guiana
Colônia do Sacramento
Atlântico Norte
Subdivisões de Portugal
Ilhas Adjacentes
Regiões autónomas de Portugal
Achada Furna
Achada Grande (Mosteiros)
Atalaia (Cabo Verde)
Bangaeira
Cabeça Fundão
Campanas
Chã das Caldeiras
Cova Figueira
Coxo
Curral Grande
Estância Roque
Fajãzinha (Cabo Verde)
Figueira Pavão
Fonsaco
Fonte Aleixo
Furna (Fogo)
Galinheiros
Lomba (Cabo Verde)
Miguel Gonçalves
Monte Grande
Monte Largo
Mosteiros (Fogo)
Patim
Ponta Verde (Cabo Verde)
Relva (Cabo Verde)
Ribeira Ilhéu
Salto (Cabo Verde)
Santo António (Cabo Verde)
São Jorge (Cabo Verde)
São Lourenço (Cabo Verde)
Vicente Dias
Socialismo
História do movimento socialista no Brasil
História do socialismo no Canadá
História do movimento socialista nos Estados Unidos
Bandeira vermelha
Socialismo africano
Socialismo árabe
Britain's Road to Socialism
Via birmanesa para o socialismo
Socialismo com características chinesas
Sionismo trabalhista
Sandinismo
Revolução Bolivariana
República Popular de Angola
República Popular do Benim
República Popular do Congo
Derg
República Democrática Popular da Etiópia
República Popular de Moçambique
República Democrática Somali
Governo Revolucionário Popular de Granada
Nicarágua
Venezuela
República Democrática do Afeganistão
Kampuchea Democrático
República Popular do Kampuchea
República Socialista Soviética da Pérsia
Governo Popular do Azerbaijão
República de Mahabad
Coreia do Norte
Laos
República Popular da Mongólia
República Popular de Tuva
Vietname
Vietnã do Norte
República do Vietname do Sul
República Democrática do Iêmen
Iêmen do Sul
Estado de Wa
República Socialista Popular da Albânia
República Soviética da Baviera
República Soviética de Bremen
República Popular da Bulgária
República Socialista da Checoslováquia
República Democrática da Finlândia
Alemanha Oriental
República Soviética Húngara
República Popular da Hungria
República Popular da Polónia
Romênia socialista
República Soviética Eslovaca
República Socialista Federativa da Iugoslávia
Base Virtual Internacional de Autoridade
