Guaraná (refrigerante)
Classificação científica
Reino (biologia)
Plantae
Divisão (biologia)
Magnoliophyta
Classe (biologia)
Magnoliopsida
Ordem (biologia)
Sapindales
Família (biologia)
Sapindaceae
Género (biologia)
Paullinia
Espécie
Nomenclatura binomial
Kunth
Liana
Amazônia
Brasil
Peru
Colômbia
Venezuela
Maués (Amazonas)
Amazonas
Bahia
Lineu
Medicina
Botânica
Alemanha
Simon Pauli
Língua tupi
Fruto
Cafeína
Xarope
Refrigerante
Semente
Olho
Maués
Índio
Saterê-mawé
Lendas sobre a origem do guaraná
Portugal
Década de 1990
Guaraná Antarctica
Xantina
Teobromina
Insônia
Irritabilidade
Taquicardia
Azia
Dependência física
Piranha
Jacaré
Tupã
Pajé
Resende (Rio de Janeiro)
Rio de Janeiro (estado)
Santa Maria (Rio Grande do Sul)
Rio Grande do Sul
Companhia Antarctica Paulista
Guaraná Champagne Antarctica
Sérvia
Leste Europeu
Bebida energética
International Standard Serial Number
Digital object identifier
PubMed Central
PubMed Identifier
Encyclopædia Britannica
Taxonomia
Ecocrop
Enciclopédia da Vida
Organização Europeia e Mediterrânica para a Proteção das Plantas
Global Biodiversity Information Facility
INaturalist
International Plant Names Index
ITIS
National Center for Biotechnology Information
The Plant List
Tropicos
Departamento de Agricultura dos Estados Unidos
UNII
