Sistema de numeração
Comunidade dos Países de Língua Portuguesa
Europa continental
América Latina
Brasil
Língua inglesa
Língua árabe
Etimologicamente
Ásia Oriental
Ásia Meridional
Milhão
1000000000000
Geneviève Guitel
Exponenciação
Notação científica
Número
Um
Dez
Cem
Mil
Dez mil
Cem mil
Um milhão
1 000 000 000
1 000 000 000 000
1000000000000000
Nomes dos números
Sistema Internacional de Unidades
Portugal
International Standard Book Number
