Lema
19 de dezembro
1912
Localização geográfica
Curitiba
Brasil
Professor
Reitor
Aluno
Graduação
Pós-graduação
Jandaia do Sul
Matinhos
Palotina
Pontal do Paraná
Toledo (Paraná)
Azul
Branco
Conselho de Reitores das Universidades Brasileiras
Rede Nacional de Extensão
Orçamento
Universidade
Paraná
Licenciatura
Bacharelato
Tecnólogo
Mestrado
Doutoramento
Vestibular
Sistema de cotas
Escola pública
Negros
Pardos
José Francisco da Rocha Pombo
Federalismo no Brasil
Erva mate
Guerra do Contestado
Lei Rivadávia
Victor Ferreira do Amaral
Nilo Cairo da Silva
Casa Miró
Direito
Engenharia
Medicina
Cirurgia
Comércio
Odontologia
Farmácia
Bioquímica
Oscar Joseph de Plácido e Silva
Flávio Suplicy de Lacerda
Lista de ministros da Educação do Brasil
Organização do Estado na Constituição do Brasil
Praça Santos Andrade
Baeta de Faria
Rua das Flores (Curitiba)
Arquitetura do neoclassicismo
Editora UFPR
Hospital de Clínicas da UFPR
Lista de reitores da Universidade Federal do Paraná
Faculdade de Direito da Universidade Federal do Paraná
Hospital de Clínicas da Universidade Federal do Paraná
Hospital e Maternidade Victor Ferreira do Amaral
Diretório Central dos Estudantes da Universidade Federal do Paraná
Centro Acadêmico Hugo Simas
Universidade Federal do Acre
Universidade Federal de Rondônia
Universidade Federal de Roraima
Universidade Federal do Amapá
Universidade Federal do Amazonas
Universidade Federal do Pará
Universidade Federal do Oeste do Pará
Universidade Federal do Tocantins
Universidade Federal Rural da Amazônia
Universidade Federal do Sul e Sudeste do Pará
Universidade Federal do Norte do Tocantins
Universidade do Estado do Amazonas
Universidade Estadual do Amapá
Universidade do Estado do Pará
Universidade Estadual de Roraima
Universidade Estadual do Tocantins
Universidade de Gurupi
Universidade Federal da Bahia
Universidade Federal do Recôncavo da Bahia
Universidade da Integração Internacional da Lusofonia Afro-Brasileira
Universidade Federal da Paraíba
Universidade Federal do Cariri
Universidade Federal de Alagoas
Universidade Federal de Campina Grande
Universidade Federal de Pernambuco
Universidade Federal de Sergipe
Universidade Federal do Ceará
Universidade Federal do Maranhão
Universidade Federal do Oeste da Bahia
Universidade Federal do Piauí
Universidade Federal do Rio Grande do Norte
Universidade Federal do Sul da Bahia
Universidade Federal do Vale do São Francisco
Universidade Federal Rural de Pernambuco
Universidade Federal Rural do Semi-Árido
Universidade Federal do Delta do Parnaíba
Universidade Federal do Agreste de Pernambuco
Universidade Estadual de Alagoas
Universidade Estadual de Ciências da Saúde de Alagoas
Universidade do Estado da Bahia
Universidade Estadual de Feira de Santana
Universidade Estadual de Santa Cruz
Universidade Estadual do Sudoeste da Bahia
Universidade Estadual do Ceará
Universidade Estadual Vale do Acaraú
Universidade Regional do Cariri
Universidade Estadual do Maranhão
Universidade Estadual da Região Tocantina do Maranhão
Universidade Estadual da Paraíba
Universidade de Pernambuco
Universidade Estadual do Piauí
Universidade do Estado do Rio Grande do Norte
Universidade de Brasília
Universidade Federal de Goiás
Universidade Federal de Jataí
Universidade Federal de Catalão
Universidade Federal da Grande Dourados
Universidade Federal de Mato Grosso do Sul
Universidade Federal de Mato Grosso
Universidade Federal de Rondonópolis
Universidade Estadual de Goiás
Universidade do Estado de Mato Grosso
Universidade Estadual de Mato Grosso do Sul
Universidade do Distrito Federal Jorge Amaury
Universidade de Rio Verde
Universidade Federal de Alfenas
Universidade Federal de Itajubá
Universidade Federal de Juiz de Fora
Universidade Federal de Lavras
Universidade Federal de Minas Gerais
Universidade Federal de Ouro Preto
Universidade Federal de São Carlos
Universidade Federal de São João del-Rei
Universidade Federal de São Paulo
Universidade Federal de Uberlândia
Universidade Federal de Viçosa
Universidade Federal do ABC
Universidade Federal do Espírito Santo
Universidade Federal do Estado do Rio de Janeiro
Universidade Federal do Rio de Janeiro
Universidade Federal do Triângulo Mineiro
Universidade Federal dos Vales do Jequitinhonha e Mucuri
Universidade Federal Fluminense
Universidade Federal Rural do Rio de Janeiro
Universidade do Estado de Minas Gerais
Universidade Estadual de Montes Claros
Universidade do Estado do Rio de Janeiro
Universidade Estadual do Norte Fluminense Darcy Ribeiro
Universidade de São Paulo
Universidade Estadual de Campinas
Universidade Estadual Paulista
Universidade Virtual do Estado de São Paulo
Universidade Aberta Capixaba
Universidade de Taubaté
Universidade Municipal de São Caetano do Sul
Universidade Federal da Fronteira Sul
Universidade Federal da Integração Latino-Americana
Universidade Federal de Ciências da Saúde de Porto Alegre
Universidade Federal de Pelotas
Universidade Federal de Santa Catarina
Universidade Federal de Santa Maria
Universidade Federal do Pampa
Universidade Federal do Rio Grande
Universidade Federal do Rio Grande do Sul
Universidade Tecnológica Federal do Paraná
Universidade Estadual de Londrina
Universidade Estadual de Maringá
Universidade Estadual do Paraná
Universidade Estadual de Ponta Grossa
Universidade Estadual do Centro-Oeste
Universidade Estadual do Norte do Paraná
Universidade Estadual do Oeste do Paraná
Universidade Estadual do Rio Grande do Sul
Universidade do Estado de Santa Catarina
Universidade Regional de Blumenau
Lista de instituições comunitárias de ensino superior do Brasil
Lista de universidades privadas do Brasil
Estádio Mário Celso Petraglia
Autódromo Internacional de Curitiba
Complexo Poliesportivo Pinheirão
Estádio Janguito Malucelli
Estádio Major Antônio Couto Pereira
Estádio Durival Britto e Silva
Jockey Club do Paraná
Estádio Érton Coelho de Queiroz
Edifício
Monumento
Palácio 29 de Março
Armazém Santa Ana
Bondinho da rua XV de Novembro
Casa Culpi
Castelo do Batel
Centro Histórico de Curitiba
Curitiba Trade Center
Farol do Saber
Fonte de Jerusalém
Memorial a Nossa Senhora da Luz dos Pinhais
Memorial Árabe
Memorial Ucraniano
Mercado Municipal de Curitiba
Paço da Liberdade
Palácio Avenida
Palácio Belvedere (Curitiba)
Palácio das Araucárias
Palácio Iguaçu
Palácio Rio Branco (Curitiba)
Relógio das Flores
Suíte Vollard
Torre Panorâmica de Curitiba
Club Athletico Paranaense
Coritiba Foot Ball Club
J.Malucelli Futebol S/A
Paraná Clube
Carnaval de Curitiba
Feira do Largo da Ordem
Festival de Teatro de Curitiba
Festival Internacional de Cinema em Super 8 de Curitiba
Festival de Ópera do Paraná
Parada da Diversidade de Curitiba
Centro Universitário Internacional
FATEC
Pontifícia Universidade Católica do Paraná
UniBrasil
Centro Universitário Curitiba
Sociedade Educacional de Santa Catarina
Universidade Cruzeiro do Sul
Universidade Positivo
Universidade Tuiuti do Paraná
Instituto Federal do Paraná
Escola de Música e Belas-Artes do Paraná
Faculdade de Artes do Paraná
Hospital do Idoso Zilda Arns
Hospital Erasto Gaertner
Santa Casa de Misericórdia de Curitiba
Logradouro
Avenida Iguaçu
Avenida João Gualberto
Avenida Paraná
Avenida Senador Salgado Filho
