Nações Unidas
Taiwan
Estado da Palestina
Vaticano
Antárctica
Rússia
Crimeia
União Soviética
Antártida
Território Antártico Britânico
Dependência de Ross
Terra Adélia
Ilha de Pedro I
Território Antártico Australiano
Terra da Rainha Maud
Território Antártico Chileno
Antártida Argentina
Terra de Marie Byrd
Canadá
América
China
Hong Kong
Macau
Índia
Aksai Chin
Ásia
Estados Unidos
Alasca
Havaí
"Washington, D.C."
Brasil
Hemisfério Sul
Lusofonia
Portugal
Austrália
União Europeia
Caxemira Livre (Paquistão)
Arunachal Pradesh
Territórios do Norte
Iacútia
Argentina
Malvinas
Geórgia do Sul
Sandwich do Sul
Ilhas Órcades do Sul
Antártica
Cazaquistão
País sem costa marítima
Argélia
Sudão do Sul
Sudão
África
República Democrática do Congo
Gronelândia
Dinamarca
Arábia Saudita
México
Indonésia
Líbia
Irã
Irão
Mongólia
Amazonas
Alaska
Peru
Chade
Níger
Angola
Mali
África do Sul
Ilhas do Príncipe Eduardo
Colômbia
Ilha de San Andrés (Colômbia)
Nicarágua
Etiópia
Bolívia
Mauritânia
Egito
Triângulo de Hala'ib
Tanzânia
Ilha de Mafia
Pemba (Tanzânia)
Zanzibar
Nigéria
Venezuela
Guiana
Paquistão
Namíbia
Moçambique
Turquia
Chile
Ilha de Páscoa
Sala y Gómez
Zâmbia
Myanmar
Afeganistão
Somália
República Centro-Africana
Madagáscar
Botswana
Quénia
Ucrânia
Europa
França
França Metropolitana
Iémen
Perim
Socotorá
Iémen do Norte
Iémen do Sul
Tailândia
Espanha
Ilhas Baleares
Ilhas Canárias
Ceuta
Melilla
Ilhas Chafarinas
Ilhote de Alhucemas
Ilhote de Vélez de la Gomera
Turquemenistão
Camarões
Papua-Nova Guiné
Suécia
Gotlândia
Olândia
Uzbequistão
Marrocos
Saara Ocidental
Iraque
Paraguai
Zimbabwe
Noruega
Svalbard
Jan Mayen
Bouvet
Ilha Pedro I
Japão
Riukyu
Ilhas Daito
Ilhas Ogasawara
Okinotorishima
Ilhas Curilas
Alemanha
República do Congo
Finlândia
Åland
Vietname
Malásia
Costa do Marfim
Polónia
Omã
Itália
Filipinas
Equador
Galápagos
Burquina Fasso
Nova Zelândia
Ilhas Antípodas
Ilhas Auckland
Ilhas Bounty
Ilha Campbell (Nova Zelândia)
Ilhas Chatham
Ilhas Kermadec
Gabão
Guiné
Reino Unido
Irlanda do Norte
Rockall
Jersey
Guernsey
Ilha de Man
Territórios britânicos ultramarinos
Território Britânico da Antártica
Inglaterra
Escócia
País de Gales
Uganda
Gana
Romênia
Laos
Bielorrússia
Quirguistão
Senegal
Síria
Colinas de Golã
Camboja
Uruguai
Suriname
América do Sul
Tunísia
Altamira
Nepal
Bangladesh
Tajiquistão
Somalilândia
Grécia
Países do Reino Unido
Coreia do Norte
Malawi
Eritreia
Benim
Honduras
Libéria
Bulgária
Cuba
Guatemala
Islândia
Coreia do Sul
Hungria
Açores
Região Autónoma da Madeira
Guiana Francesa
Jordânia
Sérvia
Kosovo
Azerbaijão
Nakichevan
Nagorno-Karabakh
Áustria
Emirados Árabes Unidos
Chéquia
Panamá
Serra Leoa
Irlanda
Geórgia
Ossétia do Sul
Abecásia
Sri Lanka
Lituânia
Letónia
Togo
Croácia
Bósnia e Herzegovina
Costa Rica
Ilha do Coco
Eslováquia
República Dominicana
Estónia
Mar Báltico
Ilhas Faroé
Países Baixos
Reino dos Países Baixos
Suíça
Butão
Pescadores
Matsu
Guiné-Bissau
Moldávia
Bélgica
Lesoto
Arménia
Ilhas Salomão
Albânia
Guiné Equatorial
Burundi
Haiti
Ruanda
Macedónia do Norte
Djibuti
Belize
El Salvador
Israel
Eslovénia
Nova Caledônia
Fiji
Kuwait
Essuatíni
Timor-Leste
Bahamas
Montenegro
Vanuatu
Ilhas Malvinas
Gâmbia
Catar
Jamaica
Líbano
Chipre
República Turca de Chipre do Norte
Bases Britânicas Soberanas
Acrotíri e Deceleia
Porto Rico
Terras Austrais e Antárticas Francesas
Ilhas Åland
Cisjordânia
Faixa de Gaza
Brunei
Trindade e Tobago
Ilhas Geórgia do Sul e Sandwich do Sul
Cabo Verde
Polinésia Francesa
Chipre do Norte
Samoa
Luxemburgo
Reunião (França)
Região Autónoma de Portugal
Comores
Mayotte
Maurícia
Agalega
Cargados Carajos
Rodrigues (ilha)
Guadalupe
La Désirade
Marie Galante
Îles des Saintes
Ilhas Feroe
Martinica
Região Administrativa Especial
República Popular da China
São Tomé e Príncipe
Madeira (Portugal)
Dominica
Tonga
Kiribati
Ilhas Gilbert
Espórades Equatoriais
Ilhas Phoenix
Estados Federados da Micronésia
Pohnpei
Chuuk
Yap
Kosrae
Bahrein
Oriente Médio
Singapura
Guam
Santa Lúcia
Marianas Setentrionais
Palau
Seicheles
Andorra
Curaçau
Curaçao
Antígua e Barbuda
Redonda
Barbados
Turcas e Caicos
Ilha Heard e Ilhas McDonald
"Santa Helena, Ascensão e Tristão da Cunha"
Ilha de Santa Helena
Ilha de Ascensão
Tristão da Cunha
Monte Athos
São Vicente e Granadinas
Ilhas Virgens Americanas
Granada (país)
Malta
Maldivas
Bonaire
Wallis e Futuna
Ilhas Caimã
São Cristóvão e Neves
Niue
Acrotíri e Decelia
Svalbard e Jan Mayen
Saint Pierre e Miquelon
Ilhas Cook
Samoa Americana
Ilhas Marshall
Atol de Bikini
Enewetak
Kwajalein
Majuro
Rongelap
Aruba
Liechtenstein
Ilhas Virgens Britânicas
Ilha Christmas
Monserrate (ilha)
Anguila
San Marino
Território Britânico do Oceano Índico
São Martinho (França)
Bermudas
Ilha Bouvet
Ilhas Pitcairn
Ilhas Menores Distantes dos Estados Unidos
Ilha Baker
Ilha Howland
Ilha Jarvis
Atol Johnston
Recife Kingman
Atol Midway
Ilha Navassa
Atol Palmyra
Ilha Wake
Ilha Norfolk
São Martinho
São Martinho (Países Baixos)
Tuvalu
Nauru
São Bartolomeu (Antilhas Francesas)
Santo Eustáquio (Países Baixos)
Ilhas Cocos (Keeling)
Saba
Toquelau
Gibraltar
Ilhas Ashmore e Cartier
Ilhas do Mar de Coral
Mónaco
Lista de países por IDH
Lista de países por população
IBGE
Lista de Estados soberanos
Happy Planet Index
Índice de Desempenho Ambiental
Lista de países por emissões de dióxido de carbono per capita
Lista de países por risco de desastre natural
Lista de países por código do COI
Lista de códigos de país da FIFA
Lista de códigos de país FIPS
ISO 3166-1
Prefixo naval
Lista de códigos telefónicos
Lista de TLDs
Lista de países por esperança média de vida à nascença
Lista de Estados soberanos e territórios dependentes por taxa de fecundidade
Lista de países por população imigrante
Lista de países por índice de mortalidade
Lista de países por índice de mortalidade infantil
Lista de países por taxa de natalidade
Lista de países por crescimento populacional
Lista de países por densidade populacional
Lista de países por principais grupos religiosos
Lista de países por população budista
Igreja Católica no mundo
Lista de países por população muçulmana
Protestantes por país
Lista de países por irreligião
Lista de países e territórios por índice de urbanização
Índice Composto de Capacidade Nacional
Índice de Capital Humano
Índice de Competitividade Mundial
Índice Internacional de Direitos de Propriedade
Lista de países por igualdade de riqueza
Lista de países por dívida externa
Lista de países por dívida pública
Lista de países por exportações
Lista de países por importações
Lista de países por índice de inflação
Índice de Inovação Global
Índice de Liberdade Econômica
Lista de países pelo número de milionários
Lista de países por número de bilionários
Lista de moedas
Lista das maiores perdas financeiras mundiais
Índice de Prosperidade Legatum
Lista de países por riqueza total
Lista de países por salário mínimo
Lista dos países que mais utilizam a tecnologia
Lista de países por carga tributária
Lista de países por consumo de álcool
Lista de países por consumo de cerveja por pessoa
Idade legal para consumo de bebidas alcoólicas
Consumo anual de cannabis por país
Lista de países por uso de canábis na vida adulta
Lista de países por número de celulares em uso
Lista de países por penetração de smartphones
Lista de países por número de assinaturas de Internet de banda larga
Lista de países por número de usuários de Internet
Lista de países por velocidades de conexão de Internet
Lista de países pelo consumo total de energia per capita
Lista de países por consumo de eletricidade
Lista de países por produção de eletricidade
Lista de países por produção de eletricidade renovável
Lista de países por exportação de gás natural
Lista de países por produção de gás natural
Lista de países por reservas comprovadas de gás natural
Lista de países por exportação de petróleo
Lista de países por produção de petróleo
Lista de países por reservas de petróleo
Lista de países por crescimento do PIB
Lista de países por taxa de crescimento real de PIB
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Lista de países por PIB (Paridade do Poder de Compra)
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por produção de alumínio
Lista de países por produção de antimônio
Lista de países por produção de bauxita
Lista de países por produção de bismuto
Lista de países por produção de carvão
Lista de países por reservas de carvão
Lista de países por produção de chumbo
Lista de países por produção de cobre
Lista de países por produção de crômio
Lista de países por produção de diamante
Lista de países por produção de estanho
Lista de países por produção de ferro
Lista de países por produção de lítio
Lista de países por produção de magnésio
Lista de países por produção de manganês
Lista de países por produção de mercúrio
Lista de países por produção de níquel
Lista de países por produção de ouro
Lista de países por produção de platina
Lista de países por produção de prata
Lista de países por produção de urânio
Lista de países por produção de zinco
Lista de países por número de aeroportos
Lista de países por mercados automotivos
Lista de países por veículos per capita
Lista de países por produção de veículos automóveis
Lista de países por número de heliportos
Lista de países por dimensão da malha ferroviária
Estatísticas totais de metropolitanos por país
Lista de capitais nacionais
Lista de Estados soberanos e territórios dependentes por continente
Lista de países por extensão total de contorno
Lista de fronteiras terrestres internacionais por comprimento
Lista de países que possuem fronteiras terrestres com apenas um país
Lista das extensões litorâneas dos países
Lista de países por ponto mais alto
Lista de pontos mais altos por país
Lista de países por ponto mais a sul
Lista de países por ponto mais a norte
Lista de países por quantidade de armas de fogo
Lista de artilharia por país
Lista de batalhas
Lista de veículos blindados de combate por país
Índice Global da Paz
Lista de forças de operações especiais
Lista de países por gastos militares
Lista de países por índice de poder militar
Lista de países por número de tropas em atividade
BRICS
Lista de membros da Commonwealth
Lista de membros do Comitê Olímpico Internacional
Estados-membros da Comunidade dos Países de Língua Portuguesa
Estados-membros do Estatuto de Roma
Lista de membros da Federação Internacional de Futebol
Lista de países-membros do G20
Estados-membros da Liga Árabe
Estados-membros do Mercosul
Lista de Estados monárquicos atuais por membresia internacional
Estados-membros da Organização dos Estados Americanos
Estados-membros da Organização Internacional do Trabalho
Estados-membros das Nações Unidas
Estados-membros da OTAN
Lista de Estados-membros da Sociedade das Nações
Estados-membros da União de Nações Sul-Americanas
Estados-membros da União Africana
Estados-membros da União Europeia
Lista de chefes de Estado e de governo atuais
Lista das constituições nacionais
Índice de Percepção de Corrupção
Índice de democracia
Quadro de divisões administrativas por país
Lista de chefes de Estado
Lista de países por orçamento governamental
Lista de parlamentos por país
Lista de partidos políticos por país
Lista de serviços de inteligência
Lista de países por sistema de governo
Lista de sistemas de votação por país
Lista de países por tamanho do setor público
Lista de países por consumo de antidepressivos
Lista de países por taxa de prevalência de HIV/AIDS em adultos
Lista de países por taxa de prevalência de obesidade em adultos
Índice de Qualidade de Vida
Lista de países por taxa de suicídio
Símbolo nacional
Etimologia dos nomes dos países
Lista de gentílicos
Lista de grafias alternativas para topónimos relativos a países
Lista de hinos nacionais e regionais
Lista de lemas nacionais
