Latitudes dos cavalos
Estados Unidos
Sul da Califórnia
Vietnamitas
Frutas cítricas
Manga (fruta)
Pistache
Lichia
Abacate
Subtrópico
Brasil
Porto Alegre
Curitiba
São Paulo (cidade)
Florianópolis
Clima subtropical úmido
Zona térmica
Clima
Classificação climática de Köppen-Geiger
Clima tropical
Clima equatorial
Clima de monção
Clima tropical de savana
Clima árido
Clima semiárido
Clima temperado
Clima subtropical húmido
Clima oceânico
Clima mediterrânico
Clima continental
Clima continental húmido
Clima subártico
Clima glacial
Tundra
Clima alpino
Geografia
