Adjetivo
Substantivo
País
Estado
Continente
Regiões
Província
Cidade
Aldeia
Vila
Povoado
Tribo
Etnia
Raça
Nação
Etimologia
Toponímia
Lisboa
Nova Iorque
Buenos Aires
Buenos Aires (província)
Inglaterra
Paris
Língua portuguesa
Sufixo
Estonianos
Mónaco
Azeris
Cartago (município)
Espírito Santo (estado)
Rio de Janeiro (estado)
Rio Grande do Sul
Gaúcho
Rio Grande do Norte
Potiguar
Alfacinha
Jerusalém
Salvador (Bahia)
Rússia
Suécia
Grécia
Latim
São Paulo (cidade)
Wikilivros
Ciberdúvidas da Língua Portuguesa
Wikcionário
Exônimo
Lista de gentílicos
Lista de gentílicos da Alemanha
Lista de gentílicos do Brasil
Lista de gentílicos do Egito
Lista de gentílicos de Espanha
Lista de gentílicos da França
Lista de gentílicos da Itália
Lista de gentílicos de Portugal
Lista de gentílicos do Uruguai
