William-Adolphe Bouguereau
Igreja Católica
Igreja Ortodoxa
Igreja Anglicana
Igreja Metodista
Igreja Luterana
Cristianismo
2 de novembro
3 de novembro
Novembro
Estação de Todos os Santos
Dia das Bruxas
Dia de Todos-os-Santos
Odilo de Cluny
Papa
Papa Silvestre II
Papa João XVII
Papa Leão IX
Comunidade
Século XIII
Festa de Todos os Santos
Doutrina católica
Livro de Tobias
Livro de Jó
Evangelho segundo Mateus
II Macabeus
Guanajuato
México
Reforma Protestante
Santo
Dia dos Mortos
Festa do dia dos mortos
Wikcionário
Missas dos Fiéis Defuntos
Purgatório
Comunhão dos Santos
Dia de Todos os Santos
Véspera de Todos os Santos
Samhain
Fantasma
Jack-o'-lantern
Jejum
Travessuras ou Gostosuras
Dia do Saci
Chuseok
Festival Qingming
Fogueira
Fogo-fátuo
Kaddish
Krampus
Namahage
Noite de Santa Valburga
Superstição
Yizkor
Festival dos fantasmas
