Latim
Norma jurídica
Processo legislativo
Código de Hammurabi
Hamurabi
Shamash
Civilização
Egito Antigo
Ma'at
Retórica
Igualdade social
Suméria
Ur-Namu
Código de Ur-Namu
Casuística
Estela
Código de Hamurabi
Antigo Testamento
História de Atenas
Escravidão
Constituição
Democracia
Império Romano
Teodósio II
Justiniano I
Jurisprudência
Idade Média
Brocardo
Nacionalismo
Códigos Napoleônicos
Ciência política
Lei do Brasil
Lei de Portugal
Ordenamento jurídico
International Standard Book Number
Wikiquote
Wikcionário
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Gemeinsame Normdatei
Dicionário Histórico da Suíça
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
