Peru (ave)
Bandeira do Peru
Brasão de armas do Peru
Himno Nacional del Perú
Lima
Língua castelhana
Língua quíchua
Língua aimará
Gentílico
República
Estado unitário
Semipresidencialismo
Lista de presidentes do Peru
Dina Boluarte
Vice-presidente
Presidente do Conselho de Ministros do Peru
Gustavo Adrianzén
Congresso da República do Peru
Independência
Espanha
28 de julho
1821
9 de dezembro
1824
20 de setembro
1822
14 de agosto
1879
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Brasil
Bolívia
Chile
Colômbia
Equador
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhão
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB nominal
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Novo sol
ISO 4217
Fuso horário
Tempo Universal Coordenado
ISO 3166-1
Lista de TLDs
Lista de códigos telefónicos
Português europeu
Português brasileiro
Quíchua
América do Sul
Litoral
Oceano Pacífico
Geografia
Planície
Pacífico
Andes
Floresta amazônica
Civilização de Caral
Império Inca
América pré-colombiana
Vice-reinado do Peru
Império Espanhol
Independência do Peru
Exército da Espanha
Batalha de Ayacucho
Política
Caudilhismo
Guerra do Pacífico
Augusto B. Leguía y Salcedo
Golpe de Estado
Governo Revolucionário da Força Armada
Conflito armado no Peru
Sendero Luminoso
Movimento Revolucionário Túpac Amaru
Presidencialismo
Democracia
Ameríndio
Europeu
Africano
Asiático
País em desenvolvimento
Pobreza
Arte
Culinária do Peru
Literatura
Música
Agricultura
Pesca
Manufatura
Panamá
Novo Mundo
Francisco Pizarro
Vice-Reino do Peru
História do Peru
Civilizações andinas
Caral
Linhas de Nazca
Civilização de Nazca
Machu Picchu
Patrimônio Mundial
UNESCO
Humana
Américas
Irrigação
Terraceamento
Pecuária
Camelidae
Reciprocidade
Mercado
Dinheiro
Cultura de Huari
Século XVIII
Lambayeque (região)
Cultura chimu
Chincha
Cupisnique
Cultura Chavín
Cultura de Paracas
Mochica
Nazca
Chimu
Século XV
Incas
Estado
Império inca
Rio Maule
Argentina
Cusco
Militar
Varíola
Huayna Capac
Guerra civil
Atahualpa
Huáscar
Conquista do Império Inca
Colonização espanhola da América
Ouro
Prata
Imperador Inca
Batismo
Catolicismo
Família Real Espanhola
Francisco de Toledo
Década de 1570
Mineração
Trabalho forçado
Europa
Filipinas
Decreto
Legislação
Túpac Amaru II
José de San Martín
Independência da América Espanhola
Elite (sociologia)
Simón Bolívar
Congresso do Panamá
Confederação Peru-Boliviana
Pisco (cidade)
Guayaquil
José de la Riva Agüero
Presidente do Peru
Trujillo (Peru)
José Bernardo de Tagle
Combate Naval de Angamos
Guerra do Pacífico (século XIX)
Ramón Castilla
Guano
Arica (província)
Departamento de Tarapacá (Peru)
Tratado de Ancón
Universidade Nacional Maior de São Marcos
Biblioteca Nacional do Peru
Santiago do Chile
Protocolo do Rio
Grande Depressão
Forças Armadas do Peru
Juan Velasco Alvarado
Golpe militar
Fernando Belaúnde Terry
Francisco Morales Bermúdez
Terrorismo
Polícia Nacional do Peru
Guerra de Paquisha
Guerra das Malvinas
Mario Vargas Llosa
Alberto Fujimori
Aliança Popular Revolucionária Americana
Terapia de choque (economia)
Neoliberalismo
Vladimiro Montesinos
Cleptocracia
Corrupção política
Direitos humanos
Consenso de Washington
Serviço de inteligência
Crise constitucional no Peru em 1992
Assembleia constituinte
Constituição
Maioria absoluta
Recessão
Pedro Pablo Kuczynski
Martín Vizcarra
Salvador del Solar
Manuel Merino
Geografia do Peru
Parque Nacional Manú
Amazônia peruana
Alpamayo
Cordilheira Branca
Ica (região)
Cordilheira dos Andes
Altiplano andino
Ponto culminante
Huascarán
Altitude
Floresta Amazônica
Rio Amazonas
Lago Titicaca
Rio Ucayali
Rio Marañón
Rio Içá
Rio Javari
Rio Huallaga
Rio Urubamba
Rio Mantaro
Classificação climática de Köppen
Clima tropical
Corrente de Humboldt
Verão
Inverno
Biodiversidade
Endemismo
Demografia do Peru
Lista de áreas metropolitanas mais populosas do Peru
Crescimento demográfico
Multirracial
Universidade de Brasília
Ameríndios
Doenças infecciosas
Cajamarca
Espanhóis
Africanos
Miscigenação
Itália
França
Reino Unido
Alemanha
Negros
Chineses
Etnia
Brancos
CIA World Factbook
Indígena
Quíchuas
Aimarás
Bacia do rio Amazonas
Catedral de Lima
Palácio Arquiepiscopal de Lima
Igreja Católica
Protestantismo
Irreligião
Clero
Leigo
Estipêndio
Vaticano
Educação
Imigração
Religião
Arequipa
Chiclayo
Piura
Iquitos
Cuzco
Chimbote
Huancayo
Língua espanhola
Idioma
Alfabetização
Ensino primário
Ensino secundário
Educação obrigatória
Lima (região)
Juliaca
Puno (região)
Arequipa (região)
Ica
La Libertad (região)
Pucallpa
Ucayali (região)
Cajamarca (região)
Loreto (região)
Sullana
Piura (região)
Chincha Alta
Cusco (região)
Huánuco
Huánuco (região)
Junín (região)
Tumbes
Tumbes (região)
Ancash (região)
Ayacucho
Ayacucho (região)
Tacna
Tacna (região)
Puno
Política do Peru
Congresso do Peru
Palácio do Governo do Peru
Democracia representativa
Sistema multipartidário
Chefe de Estado
Chefe de governo
Primeiro-ministro do Peru
Unicameral
Poder executivo
Poder legislativo
Poder judiciário
Eleição direta
Voto compulsório
Alan García
Partido Aprista Peruano
Ollanta Humala
Partido Nacionalista Peruano
Mig-29
Comandante em chefe
Conscrição
Serviço militar
Comunidade Andina de Nações
Organizações internacionais
Organização dos Estados Americanos
Nações Unidas
Subdivisões do Peru
Amazonas (região)
Apurímac
Huancavelica (região)
Província de Lima
Província Constitucional de Callao
Moquegua (região)
Pasco (região)
San Martín (região)
Regiões do Peru
Lima (província)
ONG
Amazonas (Peru)
Apurímac (região)
El Callao
Liberdade (região)
Madre de Deus (região)
Economia do Peru
Exportação
San Marcos (distrito)
Huari (província)
Mina (mineração)
Cobre
Zinco
Chumbo
Estanho
Boro
Molibdênio
Abacate
Mirtilo
Alcachofra
Aspargos
Café
Cacau
Batata
Abacaxi
Uva
Carne de frango
Serviços
Imposto
Livre comércio
Estados Unidos
Têxteis
República Popular da China
Centro financeiro
San Isidro (distrito)
Callao
Exportações
Importações
Dívida externa
Reforma agrária
Países desenvolvidos
Protecionismo
Investimento direto estrangeiro
Organização das Nações Unidas para Alimentação e Agricultura
Insegurança alimentar
Desigualdades sociais
Mudança climática
Direito à educação
Ensino público
Jardim de infância
Universidade pública
Universidade Nacional de Santo Agostinho
Universidade privada
Pontifícia Universidade Católica do Peru
Chinchaypujio (distrito)
Saúde universal
Organização Mundial da Saúde
Organização Pan-Americana da Saúde
Esperança de vida
Mortalidade infantil
Instituto Nacional de Estatística e Informação (Peru)
Neoplasma
Gripe
Pneumonia
Coronariopatias
Doença cerebrovascular
Aeroporto Internacional Jorge Chávez
Callao (distrito)
Rodovia Pan-Americana
Estrada do Pacífico
Aeroporto Internacional Alejandro Velasco Astete
Aeroporto Internacional Rodríguez Ballón
Callao (região)
Ilo (cidade)
Cultura do Peru
Lista de monumentos e lugares do Peru
Escola de Cuzco
Cultura da Espanha
Estilo barroco
Indigenismo
Ecletismo
Culinária de Espanha
Cebiche
Prêmio Nobel de Literatura
Literatura do Peru
Era pré-colombiana
Crónica (historiografia)
Costumbrismo
Romantismo
José María Arguedas
César Vallejo
Modernismo
Boom Latino-americano
Quena
Guitarra
Harpa
Charango
Cajón
Huaino
Palácio de Torre Tagle
Arquitetura do Renascimento
Barroco
Basílica Menor e Convento de São Francisco o Grande
Neoclassicismo
Funcionalismo (arquitetura)
Praça de San Martín (Lima)
Estádio Nacional do Peru
Copa América de 2004
Futebol
Seleção Peruana de Futebol
Copa do Mundo FIFA
Copa do Mundo FIFA de 1930
Copa do Mundo FIFA de 1970
Copa do Mundo FIFA de 1978
Copa do Mundo FIFA de 1982
Copa do Mundo FIFA de 2018
Copa América
Universitario de Deportes
Alianza Lima
Sporting Cristal
Cienciano
Copa Sul-Americana
Libertadores
Cruzeiro Esporte Clube
Voleibol
Jogos Olímpicos de 1988
Jogos Olímpicos de 1948
Jogos Panamericanos
Tênis
Luis Horna
1 de janeiro
Semana Santa
1 de maio
Dia do Trabalho
Dia das Mães
7 de junho
Bandeira
Dia dos Pais
29 de junho
28 de Julho
29 de julho
30 de agosto
Rosa de Lima
8 de outubro
1 de novembro
Dia de todos os santos
2 de novembro
Dia dos Fiéis Defuntos
8 de dezembro
Imaculada Conceição
25 de dezembro
Natal
Lista de Estados soberanos
Lista de Estados soberanos e territórios dependentes da América
Fundo Monetário Internacional
Relatório de Desenvolvimento Humano
International Standard Serial Number
Correio Braziliense
International Standard Book Number
Wayback Machine
Portable document format
CEPAL
Leslie Bethell
José Carlos Mariátegui
Wikimedia
Encyclopædia Britannica
Hino nacional do Peru
Esporte do Peru
Educação no Peru
Transportes do Peru
Turismo no Peru
Mercado Comum do Sul
Cidadania do Mercosul
Cronologia do Mercado Comum do Sul
Bandeira do Mercado Comum do Sul
Direito do Mercado Comum do Sul
Relações externas do Mercado Comum do Sul
Estados-membros do Mercosul
Paraguai
Uruguai
Venezuela
Comissão de Comércio do Mercosul
Conselho do Mercado Comum
Comissão de Representantes Permanentes do Mercosul
Fundo para a Convergência Estrutural do Mercosul
Reuniões do Conselho do Mercado Comum
Foro Consultivo Econômico-Social
Grupo Mercado Comum
Parlamento do Mercosul
Presidência Rotativa Pro-tempore do Mercosul
Secretaria do Mercosul
Boletim Oficial do Mercosul
Tribunal Permanente de Revisão do Mercosul
Palacete Villa Rosalba
Alto Representante-Geral do MERCOSUL
Comissão Parlamentar Conjunta
Tratado de Assunção
Declaração de Iguaçu
"Tratado de Integração, Cooperação e Desenvolvimento"
Protocolo de Olivos
Protocolo de Ouro Preto
Protocolo Constitutivo do Parlamento do Mercosul
Protocolo de Ushuaia
Integração sul-americana
Associação Mercosul de Normalização
Nomenclatura Comum do Mercosul
Placas de identificação de veículos no Mercosul
Sistema de Pagamentos em Moeda Local
Foro Empresarial União Europeia-Mercosul
Mercocidades
América
