Órbita terrestre alta
Órbita terrestre média
Órbita terrestre baixa
URSS
4 de agosto
1957
Lista de agências espaciais
Órbita geoestacionária
Órbita geossíncrona
Órbita heliossíncrona
Órbita Molniya
Satélite miniaturizado
Picossatélite
Nanossatélite
Microssatélite (astronomia)
Estação espacial
Homo sapiens
Órbita
Terra
Corpo celeste
Detrito espacial
Gravidade
Isaac Newton
Ficção científica
União Soviética
Sputnik 1
Guerra Fria
Corrida espacial
Satélite de comunicação
Satélite astronômico
Satélite militar
Satélite meteorológico
Energia
Painel solar fotovoltaico
Antena
Comunicação
Dados
Telecomunicações
Altitude
Luz solar
Estrela
Lua
Sistema solar
Astronáutica
Engenharia aeroespacial
Espaço sideral
Telescópio
Bases de lançamentos espaciais
Sistema de lançamento descartável
Delta II
Foguete espacial
Nave espacial
Veículo de lançamento
Base de lançamento espacial
Foguete multiestágios
Estágio (astronáutica)
Cápsula espacial
Linha do Equador
Rotação da Terra
Latitude
Estação da Força Aérea de Cabo Canaveral
Sul dos Estados Unidos
Centro Espacial de Kourou
Guiana Francesa
Centro de Lançamento de Alcântara
Brasil
Paralelo
Rússia
Estados Unidos
China
França
Índia
Japão
Coreia do Norte
Israel
Irã
Coreia do Sul
Amazonia 1
Lei da gravitação universal
Leis de Kepler
Velocidade orbital
Período orbital
Experimento mental
Projétil
Órbita circular
Elipse
Johannes Kepler
Sol
Perigeu
Apogeu
Elementos orbitais
Campo gravitacional
Arrasto
Semieixo maior
Excentricidade orbital
Inclinação
Ascensão reta
Geoide
Aceleração gravitacional
Atmosfera terrestre
Radiação eletromagnética
Pressão de radiação
Colisão entre satélites de 2009
Hidrazina
Rota no solo
Longitude
Estação Espacial Internacional
Seno
Projeção de Mercator
Reentrada atmosférica
Equador
Pontos de Lagrange
Solar and Heliospheric Observatory
Órbita semissíncrona
Sistema de navegação por satélite
Sistema de Posicionamento Global
GLONASS
BeiDou
Galileo
União Europeia
Hemisfério norte
Hemisfério sul
Órbita inclinada
Regiões polares
Órbita polar
Área de cobertura (satélite)
Terra (satélite)
Equador (geografia)
Colômbia
Exploração espacial
Linha do tempo da exploração espacial
Dia do Cosmonauta
Edward Everett Hale
Júlio Verne
De la Terre à la Lune
Autour de la Lune
Columbíade
Apollo 11
H. G. Wells
Konstantin Tsiolkovsky
Invenção
Robert Goddard
Patente
História dos foguetes
Hermann Oberth
Forças Armadas dos Estados Unidos
Retransmissor
Moeda comemorativa
Comité de Dados para a Ciência e Tecnologia
Ano Internacional da Geofísica
Superfície terrestre
Diâmetro
Crise do Sputnik
Míssil balístico
Sputnik 2
Laika
Cães do programa espacial soviético
Animais no espaço
Departamento de Defesa dos Estados Unidos
Programa Explorer
Explorer I
Cinturão de Van Allen
Programa Samos
Missile Defense Alarm System
Corona (satélites)
Sensor
Infravermelho
Testes nucleares
SCORE
Natal
NASA
AT&T
Radio Corporation of America
Telstar
Chamada telefônica
Europa
América do Norte
Reino Unido
Ariel 1
Canadá
Alouette (satélites artificiais)
COMSAT
Syncom
Jogos Olímpicos de Verão de 1964
Intelsat
Consórcio
Intelsat I
Ao vivo
Molniya (satélite)
Intersputnik
Alunissagem
Astronauta
Alemanha
Azur (satélite)
Dong Fang Hong 1
Ōsumi (satélite)
Países Baixos
Espanha
Indonésia
Constelação de satélites
Sistema de posicionamento global
DTH
Década de 1980
Companhia
Monopólio
CNN
América Latina
BrasilSat A1
Bielorrússia
México
Suécia
Mir
Satélite geoestacionário
AsiaSat 1
Kosmos-2251
Iridium 33
Sibéria
Telescópio Espacial Hubble
Sistema operacional
Giroscópio
Meteorito
Lixo espacial
Radiação solar
Atmosfera da Terra
Onda de rádio
Antena parabólica
Telemetria
Energia solar
Energia renovável
Bateria recarregável
Energia nuclear
Sonda espacial
Satélites de comunicação
Rádio (telecomunicações)
Televisão
Telefone
Avião
Navio
Ondas eletromagnéticas
Curvatura da Terra
Iridium
Teledesic
Meteorologia
Tempestade
Frente fria
Ciclone tropical
Supercélula
Atmosfera
Alouette
Satélite de Pesquisas da Atmosfera Superior
Comprimentos de onda
Espectro visível
Raios X
Raios gama
Buraco negro
Quasar
Telescópio espacial Hubble
Ultravioleta
Observatório de raios Gama Compton
Observatório de raios-X Chandra
Telescópio espacial Spitzer
Radiação infravermelha
Grandes Observatórios Astronómicos
Salyut
Skylab
Agência Espacial Canadiana
ESA
JAXA
Agência Espacial Federal Russa
INPE
Tiangong 1
Acoplamento (astronáutica)
Submarino
Satélite de reconhecimento
Serviço de inteligência
Radar
Arma antissatélite
Arma espacial
Telecomunicação
Indústria espacial
Dólar dos Estados Unidos
Transmissão de dados
Televisão por assinatura
País em desenvolvimento
Televisão digital
Américas
Ásia oriental
Internet via satélite
Broadcasting
Dish Network
DirecTV
Demanda
Países em desenvolvimento
SES
Luxemburgo
Eutelsat
Telesat
Sensoriamento remoto
DigitalGlobe
Google Earth
Globalstar
Orbcomm
Inmarsat
Iniciativa Estratégica de Defesa
Polyus
Força armada
Stockholm International Peace Research Institute
Bélgica
Organização das Nações Unidas
Tratado do Espaço Sideral
Astropolítica
George W. Bush
Ataques de 11 de setembro de 2001
Teste de míssil antissatélite chinês de 2007
Pôr do sol
Nascer do sol
Magnitude (astronomia)
Flare de satélite
Luna 9
Programa Luna
Lunar Orbiter 1
Satélite natural
Apollo 8
Agência Espacial Europeia
Chang'e 2
Lunar Reconnaissance Orbiter
Gravity Recovery and Interior Laboratory
Vênus (planeta)
Venera 9
Programa Vênera
Venera 10
Pioneer Venus 1
Projeto Pioneer Venus
Magellan
Venus Express
Akatsuki (sonda)
Mercúrio (planeta)
Sonda MESSENGER
Mariner 10
Exploração de Marte
Mariner 9
Marte 2
Marte 3
Clima de Marte
Mars Global Surveyor
Mars Reconnaissance Orbiter
Mars Express
2001 Mars Odyssey
Galileu (sonda espacial)
Júpiter (planeta)
Satélites de Júpiter
Ulysses (sonda espacial)
NEAR Shoemaker
Asteroide
433 Eros
Hayabusa
25143 Itokawa
Cassini-Huygens
Saturno (planeta)
Titã (satélite)
Satélites de Saturno
Juno (sonda espacial)
Dawn (sonda espacial)
4 Vesta
Planeta anão
Ceres (planeta anão)
Elevador espacial
Sistema de varredura mecânica
Transporte espacial
Turismo espacial
Instituto Federal de Tecnologia de Zurique
Ediouro
Scientific American Brasil
International Standard Serial Number
BBC
Wikimedia
Cartografia
Aerofotogrametria
Aerofotografia
Análise espacial
Cartografia celeste
Cosmografia
Engenharia geográfica
Estereoscopia
Fotogrametria
Geodésia
Geoprocessamento
Geoposicionamento
Georreferenciamento
Hipsometria
Mapeamento digital
Selenografia
Azimute
Coordenadas geográficas
Distorção (cartografia)
Elevação
Fuso horário
Localização
Linha do equador
Meridiano de Greenwich
Meridiano (geografia)
Topografia
Colatitude
Curva de nível
Declinação magnética
Isolinha
Levantamento hidrográfico
Levantamento topográfico
Nível
Nível do mar
Nível topográfico
Nivelamento
Campo magnético terrestre
Norte cartográfico
Norte verdadeiro
Perfil topográfico
Pico ultraproeminente
Poligonal topográfica
Ponto cardeal
Pontos subcolaterais
Proeminência topográfica
Rede geodésica
Relevo
Triangulação geodésica
Universal Transversa de Mercator
Vértice geodésico
Authagraph
Bússola
Estação total
Estereoscópio
Rosa dos ventos
Sextante
Teodolito
Mapa
Carta de Cassini
Carta de uso e ocupação do solo
Carta geológica
Carta marina
Carta náutica
Carta topográfica
Cartograma
Escala cartográfica
Mapa coroplético
Mapa dasimétrico
Mapa de fluxo
Mapa Dymaxion
Mapa econômico
Mapa em alto relevo
Mapa invertido
Mapa meteorológico
Mapa mudo
Mapa político
Mapa temático
Mapa-múndi
OpenStreetMap
Planisfério de Cantino
Planisfério de Cavério
Planisfério de Contarini
Projeção cartográfica
Projeção azimutal
Projeção azimutal de Lambert
Projeção azimutal equidistante
Projeção cilíndrica
Projeção cilíndrica de Lambert
Projeção cilíndrica equidistante
Projeção cônica
Projeção cônica conforme de Lambert
Projeção cônica equidistante meridiana
Projeção conforme
Projeção de Albers
Projeção de Bonne
Projeção de Bottomley
Projeção de Eckert IV
Projeção de Gall-Peters
Projeção transversa de Mercator
Projeção de Miller
Projeção de Mollweide
Projeção de Robinson
Projeção de Werner
Projeção Dymaxion
Projeção equivalente
Projeção estereográfica
Projeção gnomônica
Projeção ortográfica
Projeção quincuncial de Peirce
Projeção Winke tripel
Projeção ortogonal
Geoscience Australia
Instituto Nacional de Pesquisas Espaciais
Instituto Geográfico Nacional da Espanha
Instituto Geográfico Português
Lidar
Ordnance Survey
SRTM
Swisstopo
Agrimensura
Climatologia
Hidrografia
Navegação
Orientação
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
American Astronomical Society
