Palácio do Planalto
1 de janeiro
2023
Brasil
Brasília
Distrito Federal do Brasil
Catedral Metropolitana de Brasília
Palácio do Congresso Nacional
Palácio Itamaraty
Lista de presidentes do Brasil
Presidente do Brasil
Luiz Inácio Lula da Silva
Lista de vice-presidentes do Brasil
Vice-presidente do Brasil
Geraldo Alckmin
Rodrigo Pacheco
Senado Federal
Arthur Lira
Câmara dos Deputados do Brasil
Rosa Weber
Supremo Tribunal Federal
Gleisi Hoffmann
Partido dos trabalhadores
Rosângela da Silva
Posse de Jair Bolsonaro
Congresso Nacional do Brasil
Governo Lula (2023–presente)
Eleição presidencial no Brasil em 2022
Jair Bolsonaro
Ranieri Mazzilli
Manifestações golpistas no Brasil após as eleições de 2022
Rolls-Royce Silver Wraith
TV Globo
Sistema Brasileiro de Televisão
RecordTV
Rede Bandeirantes
TV Cultura
CNN Brasil
TV Brasil
RedeTV!
BandNews TV
TV Canção Nova
Rede Vida
GloboNews
TV Jovem Pan News
TV Câmara
TV Senado
Record News
Rosângela Lula da Silva
Lu Alckmin
Rolls-Royce presidencial
Pelé
Papa Bento XVI
Hino Nacional Brasileiro
Luciano Bivar
Augusto Aras
José Sarney
Dilma Rousseff
Tribunal Superior Eleitoral
Alexandre de Moraes
Superior Tribunal de Justiça
Maria Thereza de Assis Moura
Tribunal Superior do Trabalho
Raoni Metuktire
Ivan Baron
Faixa presidencial do Brasil
Governo Jair Bolsonaro
Bolsa Família
Conselho Nacional do Meio Ambiente
Eixo Monumental
Aíla
Alessandra Leão
BaianaSystem
Chico César
Daniel Ganjaman
Drik Barbosa
Duda Beat
Ellen Oléria
Fernanda Takai
Fernanda Abreu
MC Fioti
"Francisco, el Hombre"
Gaby Amarantos
Geraldo Azevedo
GOG
Jaloo
Jards Macalé
Johnny Hooker
Kaê Guajajara
Kleber Lucas
José Paes de Lira
Luedji Luna
Leonardo Gonçalves
Leoni
Marcelo Jeneci
Margareth Menezes
Maria Rita
Marissol Mwaba
Martinho da Vila
Odair José
Otto (cantor)
Pabllo Vittar
Paula Lima
Paulo Miklos
Rael
Rappin' Hood
Flávio Renegado
Salgadinho (cantor)
Teresa Cristina (cantora)
Thalma de Freitas
Tulipa Ruiz
Valesca Popozuda
Zélia Duncan
Família Paraíso
Campeões de Bilheteria
Jornal Nacional
31 de dezembro
Fantástico
William Bonner
Renata Lo Prete
Eduardo Oinegue
Datena
Canal Livre
Cerimônia de abertura dos Jogos Olímpicos de Verão de 2016
América do Sul
Venezuela
Nicolás Maduro
Dina Boluarte
Peru
África do Sul
Alemanha
Frank-Walter Steinmeier
Angola
João Lourenço
Arábia Saudita
Faisal bin Farhan Al Saud
Argélia
Argentina
Alberto Fernández
Azerbaijão
Bolívia
Luis Arce
Evo Morales
Cabo Verde
José Maria Neves
Catar
Khalid ibn Khalifa ibn Abdul Aziz Al Thani
Camarões
Chile
Gabriel Boric
China
Wang Qishan
Colômbia
Gustavo Petro
Coreia do Sul
Partido do Poder Popular (Coreia do Sul)
Costa Rica
Cuba
Salvador Valdés Mesa
Equador
Guillermo Lasso
El Salvador
Emirados Árabes Unidos
Reem Al Hashimy
Espanha
Filipe VI de Espanha
Estados Unidos
Deb Haaland
França
Gabão
Guatemala
Guiana
Irfaan Ali
Guiné
Bernard Goumou
Guiné-Bissau
Umaro Sissoco Embaló
Guiné Equatorial
Haiti
Honduras
Xiomara Castro
Irã
Irão
Mohammad Bagher Ghalibaf
Japão
Jamaica
Lesoto
Mali
Choguel Kokalla Maïga
Marrocos
Aziz Akhannouch
México
Beatriz Gutiérrez Müller
Moçambique
Esperança Bias
Nicarágua
Estado da Palestina
Riyad al-Maliki
Panamá
José Gabriel Carrizo
Paraguai
Mario Abdo Benítez
Alberto Otárola
Portugal
Marcelo Rebelo de Sousa
Quénia
República Dominicana
Reino Unido
Rússia
Valentina Matvienko
São Tomé e Príncipe
São Vicente e Granadinas
Ralph Gonsalves
Sérvia
Suriname
Chan Santokhi
Timor-Leste
José Ramos-Horta
Turquia
Mevlüt Çavuşoğlu
Ucrânia
União Europeia
Elisa Ferreira
Uruguai
Luis Lacalle Pou
José Mujica
Jorge Rodríguez Gómez
Zimbabwe
ALADI
Banco Interamericano de Desenvolvimento
Ilan Goldfajn
Comunidade dos Países de Língua Portuguesa
Zacarias da Costa
Organização do Tratado de Cooperação Amazônica
UOL
Nova guinada à esquerda
Campanha presidencial de Lula em 2022
Lista de membros do gabinete de Lula (2023–presente)
Ataques de 8 de janeiro em Brasília
Intervenção federal no Distrito Federal em 2023
Operação Lesa Pátria
Enchentes no Rio Grande do Sul em 2024
Atentado em Brasília em 2024
Política ambiental do governo Lula (2023–presente)
Exploração de petróleo na foz do Amazonas
Novo arcabouço fiscal
Desenrola Brasil
Concurso Público Nacional Unificado
Nova Indústria Brasil
Programa de Aceleração do Crescimento
Reforma tributária do Brasil
Pé-de-Meia
Programa Brasil Saudável
Lista de viagens presidenciais de Luiz Inácio Lula da Silva
Lista de chefes de Estado e de governo recebidos por Luiz Inácio Lula da Silva
Lista de embaixadores indicados por Luiz Inácio Lula da Silva (2023–presente)
Cúpula Sul-Americana de 2023
Cúpula entre Brasil e China em 2023
19.ª reunião de cúpula do G20
Governo Lula (2003–2011)
Crise humanitária ianomâmi em 2022-2023
Faz o L
São Paulo (estado)
Posse de Luiz Inácio Lula da Silva em 2003
Posse de Luiz Inácio Lula da Silva em 2007
Carta ao povo brasileiro
Estatuto do Desarmamento
Referendo no Brasil em 2005
Transposição do rio São Francisco
Nova classe média
Brasil como superpotência emergente
Luz para Todos
Fome Zero
Programa Universidade para Todos
"Minha Casa, Minha Vida"
Escândalo do mensalão
Apagão aéreo de 2006
Nações G4
BRICS
Comunidade de Estados Latino-Americanos e Caribenhos
União de Nações Sul-Americanas
Missão das Nações Unidas para a estabilização no Haiti
Programa de Desenvolvimento de Submarinos
Copa do Mundo FIFA de 2014
Jogos Olímpicos de Verão de 2016
Ataques às sedes dos Três Poderes do Brasil em 2023
Histórico eleitoral de Luiz Inácio Lula da Silva
Eleições estaduais em São Paulo em 1986
Eleição presidencial no Brasil em 1989
Eleição presidencial no Brasil em 1994
Eleição presidencial no Brasil em 1998
Eleição presidencial no Brasil em 2002
Eleição presidencial no Brasil em 2006
Lula Lá
Fundo de Financiamento ao Estudante do Ensino Superior
Empresa Brasil de Comunicação
Lei Maria da Penha
Farmácia Popular
Marisa Letícia Lula da Silva
Eurídice Ferreira de Melo
Marcos Lula
Fábio Luís Lula da Silva
Resistência (cadela)
"Lula, o Filho do Brasil"
"Lula, o Filho do Brasil (filme)"
Entreatos
A História de Lula: O Filho do Brasil
Villares Metals S/A
Sindicato dos Metalúrgicos do ABC
Greves de 1978-1980 no ABC Paulista
Foto de Lula apontando o próprio umbigo
Partido dos Trabalhadores
Central Única dos Trabalhadores
Instituto Lula
Diretas Já
Assembleia Nacional Constituinte de 1987
Posições políticas de Luiz Inácio Lula da Silva
Prêmios e honrarias recebidos por Luiz Inácio Lula da Silva
Operação Lava Jato
Operação Aletheia
Prisão de Luiz Inácio Lula da Silva
Lula Livre
Lulismo
Efeito Lula
Fernando Henrique Cardoso
Posse do presidente do Brasil
Proclamação da República do Brasil
Posse de Prudente de Morais
Revolução de 1930
Posse de Getúlio Vargas em 1930
Segunda República Brasileira
Golpe de Estado no Brasil em 1937
Posse de Getúlio Vargas em 1951
Posse de Nereu Ramos
Posse de Juscelino Kubitschek
Posse de Castelo Branco
Posse de João Figueiredo
Posse de José Sarney
Posse de Fernando Collor
Posse de Itamar Franco
Posse de Fernando Henrique Cardoso em 1995
Posse de Fernando Henrique Cardoso em 1999
Posse de Dilma Rousseff em 2011
Posse de Dilma Rousseff em 2015
Posse de Michel Temer
