Perdigão
Tipos de empresas
Marca
Indústria alimentícia
1934
Videira (Santa Catarina)
Itajaí
Santa Catarina
Brasil
Mundo
BRF
Chester (marca)
Caminhão
BR-116
Jequié
Bahia
Alimento
Frigorífico
Batavo S/A
Sadia
Subsidiária
País
Fundos de pensão
Ação (finanças)
B3 (bolsa de valores)
Parmalat
Paraná
Goiás
Mato Grosso
Rio Grande do Sul
Europa
Oriente Médio
Holanda
Unilever
Avipal
Cotochés
Brasil Foods
Ave
Suíno
Carne
Massa
Pizza
Vegetal
Bovino
Margarina
Videira
Perdiz
Perdigão (empresa)
Panamá
Mossack Fonseca
Panama Papers
Offshore (paraíso fiscal)
International Standard Serial Number
Digital object identifier
Revista Superinteressante
Lorival Nogueira Luz Júnior
Pedro Parente
Qualy
Elegê
OneFoods
Federal Foods
Atílio Fontana
Operação Carne Fraca
Operação Zelotes
