Backbone (canção)
Endereço IP
Rede de computadores
Língua portuguesa
Telecomunicações
Comutação
Dados
Voz
Imagem
Texto
Internet
Ponto de acesso
Asynchronous Transfer Mode
Frame Relay
Hardware
Fibra óptica
Micro-onda
Laser
SONET
SDH
Rede de transporte
Balanceamento de carga
Distrito Federal (Brasil)
Modem
Concentrador
Comutador (redes)
Bridge (redes de computadores)
Roteador
