Portugal
Lista de línguas por total de falantes
Línguas indo-europeias
Família linguística
Línguas românicas
Línguas românicas ocidentais
Línguas ibero-românicas
Línguas ibero-ocidentais
Galego-português
Português
Academia de Ciências de Lisboa
ISO 639
Língua portuguesa
Gramática da língua portuguesa
Ortografia da língua portuguesa
União Europeia
Parlamento Europeu
Comissão Europeia
Espanha
Comunidade autónoma
Estremadura (Espanha)
Andaluzia
Galiza
Reintegracionismo
Lei Valentín Paz-Andrade
Instituto Camões
Brasil
Lisboa
Coimbra
Manuel de Paiva Boléo
Gonçalves Viana
Leite de Vasconcelos
Luís Filipe Lindley Cintra
Portugal Continental
Castro Laboreiro
Minho
Granjal
Viseu
Baixo Minho (província)
Douro Litoral
Porto
Vila Praia de Âncora
Viana do Castelo
Leiria
Serpa
Beja
Alentejo
Beira Baixa
Distrito de Castelo Branco
Distrito de Portalegre
Castelo de Vide
Barlavento
Algarve
Porches
Câmara de Lobos
Ponta Garça
Ilha de São Miguel
Lindley Cintra
Emigração
Europa
Suíça
Alemanha
França
Luxemburgo
Reino Unido
América do Norte
Estados Unidos
Canadá
África do Sul
Venezuela
Argentina
Austrália
Acordo Ortográfico de 1990
Reforma Ortográfica de 1911
Acordo Ortográfico de 1945
Mapa
Cronologia
Rio Tejo
Formas nominais do verbo
Língua galega
Mirandês
Galego-asturiano
Gerúndio
Baixo Alentejo (província)
Açores
Madeira (Portugal)
José Saramago
Binormativismo
Comunidade dos Países de Língua Portuguesa
Dialeto
Lusofonia
PALOP
Português angolano
Português brasileiro
Português de Moçambique
Ethnologue
International Standard Book Number
Wayback Machine
Celso Cunha
História da língua portuguesa
Língua galego-portuguesa
Reforma Ortográfica de 1907
Acordo Ortográfico de 1931
Formulário Ortográfico de 1943
Reforma Ortográfica de 1971
Reforma Ortográfica de 1973
Geografia da língua portuguesa
Lista de países onde o português é língua oficial
Lista de organizações internacionais que têm o português como língua oficial
Países Africanos de Língua Oficial Portuguesa
Língua portuguesa em África
Língua portuguesa na Espanha
Alfabeto português
Aportuguesamento
Uso do hífen conforme o Acordo Ortográfico de 1990
Fonologia da língua portuguesa
Processo do vocalismo átono do português europeu
Declinação na língua portuguesa
Léxico da língua portuguesa
Versões da língua portuguesa
Antroponímia da língua portuguesa
Lista de exónimos portugueses
Literatura lusófona
Diferenças entre o castelhano e o português
Diferenças entre o galego e o português
Dialetos da língua portuguesa
Dialeto açoriano
Dialeto alentejano
Dialeto algarvio
Dialeto barranquenho
Dialeto estremenho
Dialeto madeirense
Dialeto transmontano
Xalimego
Judeu-português
Português oliventino
Português de Angola
Dialeto benguelense
Dialeto luandense
Dialeto sulista (Angola)
Dialeto huambense
Português cabo-verdiano
Português da Guiné-Bissau
Português da Guiné Equatorial
Português de São Tomé e Príncipe
Dialeto baiano
Dialeto brasiliense
Dialeto caipira
Dialeto carioca
Dialeto da costa norte
Dialeto florianopolitano
Dialeto fluminense
Dialeto gaúcho
Dialeto nordestino
Dialeto mineiro
Dialeto neutro
Amazofonia
Dialeto paulistano
Dialeto recifense
Dialeto rurbano
Dialeto da serra amazônica
Dialeto sertanejo
Dialeto sulista (Brasil)
Português uruguaio
Português de Goa
Português de Macau
Português de Timor-Leste
Crioulos de base portuguesa
Pajubá
Llanito
Portinglês
Portunhol
