Néstor Kirchner
Hugo Chávez
9 de dezembro
2005
Mercosul
Montevidéu
Luiz Inácio Lula da Silva
Brasília
Língua castelhana
José Sérgio Gabrielli
Petrobras
Puerto Ordaz
Roraima
Amazonas
Marabá
Pará
Manaus
Gasoduto Urucu-Coari-Manaus
Fortaleza
Salvador (Bahia)
Bahia
GASENE
São Paulo (estado)
Rio Grande do Sul
Uruguai
Buenos Aires
Argentina
Cavalo-vapor
Gás
Petróleos de Venezuela
Caixa Econômica Federal
União de Nações Sul-Americanas
Anel Energético Sul-Americano
Iniciativa para Integração da Infraestrutura Sul-Americana
Estados-membros da União de Nações Sul-Americanas
Bolívia
Brasil
Chile
Colômbia
Equador
Guiana
Paraguai
Peru
Suriname
Venezuela
México
Panamá
Bandeira da União de Nações Sul-Americanas
Banco do Sul
Conselho de Defesa Sul-Americano
Conselho Energético Sul-Americano
Conselho de Saúde Sul-Americano
Instituto Sul-Americano de Governo em Saúde
Parlamento Sul-Americano
Presidente da União de Nações Sul-Americanas
Secretário-geral da União de Nações Sul-Americanas
Declaração de Cusco
Tratado Constitutivo da Unasul
Cúpula Sul-Americana
4.ª Cúpula da Unasul
Cúpula América do Sul - África
Cúpula América do Sul - Países Árabes
II Cúpula América do Sul - Países Árabes
Integração sul-americana
Iniciativa para a Integração da Infraestrutura Regional Sul-Americana
Corredor bioceânico
Estrada do Pacífico
Ferrovia Transoceânica
Rodovia Pan-Americana
Gás de Camisea
Gasoduto Transcaribenho
