Escultura
Alfredo Ceschiatti
Palácio do Supremo Tribunal Federal
Praça dos Três Poderes
Brasília
Distrito Federal (Brasil)
Monumento
Mitologia greco-romana
Poder Judiciário do Brasil
Artes plásticas
Minas Gerais
Granito
Petrópolis
Oscar Niemeyer
Escola Nacional de Belas Artes
Rio de Janeiro
Catedral Metropolitana de Brasília
Palácio da Alvorada
Vandalismo
Invasões na Praça dos Três Poderes em 2023
8 de janeiro
2023
"Perdeu, mané"
Luís Roberto Barroso
Jair Bolsonaro
Eleição presidencial no Brasil em 2022
13 de novembro
2024
Terrorismo de direita
Supremo Tribunal Federal
Palácio do Planalto
Câmara dos Deputados do Brasil
Wiki Loves Monuments
Imparcialidade
Direito
Litígio
Simbologia
Justiça (mitologia)
Dice (filha de Zeus)
Zeus
Têmis
Maat
Estalinismo
Arte abstrata
Art déco
Classicismo
A Liberdade guiando o povo
