Século
Século XVIII
Século XIX
Século XX
Década
Década de 1770
Década de 1780
Década de 1790
Década de 1800
Década de 1810
Década de 1820
Década de 1830
Década de 1840
Década de 1850
Década de 1860
Década de 1870
Ano
1820
1821
1822
1823
1824
1826
1827
1828
1829
1830
Wikimedia
Calendário gregoriano
Ab urbe condita
Calendário arménio
Calendário bahá'í
Calendário budista
Calendário chinês
18 de fevereiro
Calendário copta
Calendário etíope
Calendário hindu
Vikram Samvat
Calendário nacional indiano
Cáli Iuga
Calendário Holoceno
Calendário islâmico
Calendário judaico
Calendário persa
21 de março
Calendário rúnico
Calendário solar tailandês
Numeração romana
Ano comum
Calendário Gregoriano
Era de Cristo
Letra dominical
Sábado
Miradouro das Veredas
Monte Brasil
Portugal
Jöns Jacob Berzelius
Elemento (química)
Titânio
Georg Simon Ohm
Alemanha
Lei de Ohm
Corrente elétrica
Volt
Ampere
Torre sineira
Igreja de São Jorge (Velas)
Velas
Noudar
Barrancos
9 de Março
Guerra da Independência do Brasil
México
Independência do Brasil
6 de agosto
Bolívia
Espanha
25 de agosto
Uruguai
Independência
Império do Brasil
29 de agosto
Brasil
27 de setembro
Ferrovia
Stockton and Darlington Railway
6 de setembro
Terra Chã
Angra do Heroísmo
Freguesia
João VI de Portugal
1 de dezembro
Nicolau I da Rússia
Rússia
10 de dezembro
Províncias Unidas do Rio da Prata
Argentina
28 de Janeiro
Benedetto Cairoli
1889
19 de Março
José Antônio Pereira
Campo Grande (Mato Grosso do Sul)
1900
16 de Abril
Jacob Brønnum Scavenius Estrup
Dinamarca
1913
23 de Abril
Emil Welti
Presidente da Confederação suíça
1869
1899
5 de Maio
Wilhelm Hertenstein
1888
26 de Junho
Francisco Otaviano
2 de Julho
Émile Ollivier
21 de julho
Práxedes Mateo Sagasta
1903
31 de Julho
August Beer
Matemática
Alemães
1863
16 de Setembro
Simeon Bavier
1882
1896
25 de Setembro
Joachim Heer
1877
1879
28 de setembro
Rafael Wenceslao Núñez
Lista de presidentes da Colômbia
1894
10 de Novembro
Johann Jakob Scherer
1875
1878
2 de Dezembro
Pedro II do Brasil
1891
4 de Janeiro
Fernando I das Duas Sicílias
Reino das Duas Sicílias
1751
27 de Abril
Vivant Denon
1747
22 de Maio
Laskarina Bouboulina
6 de Outubro
Bernard Germain Lacépède
1756
13 de Outubro
Maximiliano I José da Baviera
Baviera
14 de Novembro
Jean Paul
1763
1 de Dezembro
Alexandre I da Rússia
1777
29 de dezembro
Jacques-Louis David
1825 na arte
1825 no Brasil
1825 na ciência
1825 na literatura
1825 na música
