Milho Verde
Classificação científica
Reino (biologia)
Plantae
Divisão (biologia)
Magnoliophyta
Classe (biologia)
Liliopsida
Ordem (biologia)
Poales
Família (biologia)
Poaceae
Panicoideae
Tribo (biologia)
Maydeae
Género (biologia)
Zea
Espécie
Nomenclatura binomial
Carolus Linnaeus
MHNT
Cereal
Alimento
Ração animal
Ciência
México
Tonelada
Arroz
Trigo
Estados Unidos
Latim vulgar
Mil
Língua castelhana
Milhete
Panicum miliaceum
Língua taína
Hispaniola
Século XX
António Galvão
1563
Maisena
Século XVIII
Língua tupi
Angiospermas
Bambu
Raiz
Espiga
Cariopse
Ervilha
Milho branco
Pericarpo
Fibra
Carboidrato
Proteína
Vitamina
Complexo B
Açúcar
Sais minerais
Ferro
Fósforo
Potássio
Zinco
Ácido fítico
Oaxaca
Teosinto
Proceedings of the National Academy of Sciences
Golfo do México
Vale de Oaxaca
Tehuacán
Antes da era comum
Mesoamérica
Novo Mundo
Povos ameríndios
Caribe
Olmecas
Civilização maia
Asteca
Inca
Arte
Religião
Indígenas americanos
Século XV
Intercâmbio colombiano
América do Sul
Brasil
Roça
Década de 1950
Velho Mundo
Broa
Dinastia afonsina
Setaria italica
Idade do Ferro
Sorghum bicolor
Gabriel Soares de Souza
Cerveja
Quetzalcóatl
Peru (ave)
Macaco
Astecas
Toltecas
Larva
Abelha
Mictlantecuhtli
Pênis
Adão e Eva
Formiga
Mingau
América do Norte
Europeu
Floresta tropical
Antilhas
Chicha
Farinha de milho
Bolo
Pão
Pipoca
Kaingang
São Paulo (estado)
Rio Grande do Sul
Moela
Ave
Caiabi
Mato Grosso
Mandioca-doce
Amendoim
Farinha
Batata-doce
Mandioca
Peixe
Caça
Pamonha
Paraná
Araweté
Pará
Paçoca
Cauim
Guaranis
Curau
Banana
Castanha
Carne
Caiapós-xicrins
Venezuela
Floresta
Árvore
Vigilante
Flecha
Botocudo
Minas Gerais
Abóbora
Xavantes
Palmito
Inseto
Feijão
Ontário
Canadá
Pudim
Sopa
Cinza
Madeira
Farelo
Girassol
Noz
Baga
Molho
Xarope
Creek
Ano-novo
Hurões
Lago Ontário
Putrefação
Canjica
Sal
Pinole
Erva
Tempero
Bebida alcoólica
Iroqueses
Nova York
Quebec
Índios pueblo
Novo México
Arizona
Tortilha
Wampanoag
Nova Inglaterra
Palha
Esteira (artesanato)
Cesto
Boneca
Combustível
Dardo
Chocalho
Abnaki
Chippewa
Oklahoma
Panqueca
Hopis
Zimbro
Keres
Wisconsin
Banha
Urso
Iowa
Navajos
Utah
Endosperma
Ojibwa
Ontario
Nebraska
Zuni
Cereal matinal
Corn flakes
Xarope de milho
Adoçante
Empresa Brasileira de Pesquisa Agropecuária
Cuscuz
Polenta
Angu
Biscoito
Glúten
Espessante
Álcool
Gasolina
Barbara McClintock
Prêmio Nobel
Medicina
Transposão
Transgênico
Banco de sementes
Genética
Andes
Amazônia
Silagem
Colmo
Quaresma
Santa Catarina
Londrina
Irati (Paraná)
Pato Branco
Quadra (São Paulo)
Tatuí
Itapetininga
Transgênicos
Monsanto (empresa)
Herbicida
Glifosato
Syngenta
BASF
Bayer
DuPont
Novartis
Argentina
Honduras
Mecanização
Plantio direto
Minnesota
Região Sudeste do Brasil
Adubação
Praga (agricultura)
Erva daninha
Irrigação
Saca
Alqueire
Segunda Guerra Mundial
Trator
Colheitadeira
Indiana
República Popular da China
Índia
França
Indonésia
África do Sul
4 de Julho
Rotação de culturas
Soja
Organização das Nações Unidas para Alimentação e Agricultura
China
Ucrânia
Romênia
Avaré
Goiás
Mato Grosso do Sul
Revolução verde
Bovinocultura
Avicultura
Suinocultura
Piscicultura
Agronegócio
Agricultura familiar
Portugal
Hectare
Minho (província)
Açores
Espigueiro
África
Phuzamandla
Massa (alimento)
Organização das Nações Unidas para Agricultura e Alimentação
International Standard Serial Number
Digital object identifier
Wikimedia
Commodity
Algodão
Aveia
Azeite
Azeite de dendê
Batata
Borracha natural
Café
Centeio
Cevada
Chá
Colza
Grão de cacau
Linhaça
Óleo de algodão
Óleo de amendoim
Óleo de soja
Suco de laranja
Almíscar
Âmbar cinza
Cabra
Casimira
Cavalo
Bos taurus
Lã
Leite
Manteiga
Marfim
Osso
Ovelha
Pena
Pele
Porifera
Sebo (culinária)
Seda
Carvão
Petróleo
Etanol
Gás natural
Propano
Tório
Urânio
Aço
Alumínio
Liga de alumínio
Cobalto
Cobre
Chumbo
Estanho
Molibdênio
Níquel
Ouro
Paládio
Platina
Prata
Contrato de futuros
Mercados futuros
Comoditização
Mercantilização do útero
Valor (economia)
Valor de troca
Preço
Valor de uso
Utilidade (economia)
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gran Enciclopedia Aragonesa
Gemeinsame Normdatei
Dicionário Histórico da Suíça
JSTOR
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Taxonomia
Australian Plant Name Index
Ecocrop
Enciclopédia da Vida
Organização Europeia e Mediterrânica para a Proteção das Plantas
EUNIS
Flora of North America
Flora of China
Global Biodiversity Information Facility
Reais Jardins Botânicos de Kew
INaturalist
International Plant Names Index
ITIS
União Internacional para a Conservação da Natureza
National Biodiversity Network
National Center for Biotechnology Information
The Plant List
Tela Botanica
Tropicos
Departamento de Agricultura dos Estados Unidos
World Checklist of Selected Plant Families
Medical Subject Headings
Sistema Unificado de Linguagem Médica
