Classificação científica
Reino (biologia)
Animal
Filo
Chordata
Classe (biologia)
Mammalia
Ordem (biologia)
Primate
Haplorrhini
Simiiformes
Étienne Geoffroy Saint-Hilaire
Cebidae
Pitheciidae
Atelidae
Clado
Primatas
Continente
América
América do Sul
América Central
Rinário
Catarrhini
Pré-molar
Preensibilidade
Género (biologia)
Espécie
Cebuella pygmaea
Muriqui-do-sul
Narina
Tarsiiformes
Osso jugal
Osso parietal
Cebus
Alouatta
Atelinae
Habitat
Tato
Polegar
Sapajus
Bugio
Visão tricromática
Cromossomo X
Autossomo
Macho
Fêmea
Cacajao calvus
Callitrichidae
Callicebus
Macaco-da-noite
Poliandria
Ateles
Dimorfismo sexual
Dicromatismo sexual
Omnívoro
Frutas
Noz
Insetos
Flor
Ovo
Aranha
Mamíferos
Gorila
Chimpanzé
Bonobo
Gibão
Orangotango
Homo sapiens
Anthropoidea
Strepsirrhini
Muriqui
Lagothrix
Oreonax flavicauda
Cebinae
Macaco-prego
Saimiri
Callitrichinae
Callithrix
Mico (gênero)
Mico-leão
Callibella humilis
Callimico goeldii
Saguinus
Pitheciinae
Pithecia
Cuxiú
Cacajao
Filogenia
Fóssil
Eoceno
Paleogeografia
Paleoclimatologia
Biogeografia
Oligoceno
Paleoceno
Mar de Tétis
Bacia do rio Amazonas
George Gaylord Simpson
Cretáceo
Oceano Pacífico
Caviomorpha
Nicho ecológico
Extinção
Sagui
Callithrix aurita
Neotrópico
Mico-estrela
Mata Atlântica
Bioma
Sagui-da-serra-escuro
Sagui-da-serra
Mico-leão-dourado
Fruta
Inseto
Endemismo
Híbrido (biologia)
Biodiversidade
Lista de primatas do Brasil
Lista de primatas da América Central
International Standard Book Number
OCLC
Digital object identifier
International Standard Serial Number
PubMed Identifier
Eutheria
Euarchontoglires
Lêmure
Cheirogaleidae
Lemuridae
Lepilemuridae
Indriidae
Aie-aie
Loriformes
Lorisidae
Galagonidae
Tarsius
Cercopithecidae
Hominidae
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Número de controle da Biblioteca do Congresso
Taxonomia
Animal Diversity Web
Enciclopédia da Vida
Fossilworks Paleobiology Database
National Center for Biotechnology Information
Medical Subject Headings
Sistema Unificado de Linguagem Médica
