Produto interno bruto
Fundo Monetário Internacional
Valor de mercado
Paridade do poder de compra
Estados Unidos
Economia dos Estados Unidos
Dólar dos Estados Unidos
Lista de países por população
Investimento
Desemprego
Pirâmide etária
Inovação tecnológica
Tuvalu
Gilded Age
Império Britânico
Dinastia Qing
China
Economia de mercado
Privatização
Desregulamentação
Índia
Supranacionalismo
União Europeia
Brasil
Geoesquema das Nações Unidas
Banco Mundial
Nações Unidas
Produto Mundial Bruto
América
Ásia
Alemanha
Europa
Japão
Reino Unido
França
Itália
Canadá
Rússia
México
Austrália
Oceania
Coreia do Sul
Espanha
Indonésia
Arábia Saudita
Países Baixos
Turquia
Taiwan
Suíça
Polónia
Argentina
Suécia
Bélgica
Tailândia
Israel
República da Irlanda
Noruega
Nigéria
Africa
Emirados Árabes Unidos
Egito
Áustria
Bangladesh
Malásia
Singapura
Irã
Vietname
África do Sul
Filipinas
Dinamarca
Paquistão
Hong Kong
Colômbia
Chile
Roménia
Chéquia
Iraque
Finlândia
Portugal
Nova Zelândia
Peru
Cazaquistão
Grécia
Catar
Ucrânia
Argélia
Hungria
Kuwait
Marrocos
Angola
Porto Rico
Equador
Quénia
Eslováquia
República Dominicana
Etiópia
Omã
Cuba
Guatemala
Bulgária
Luxemburgo
Venezuela
Bielorrússia
Uzbequistão
Tanzânia
Gana
Turquemenistão
Sri Lanka
Uruguai
Panamá
Azerbaijão
Croácia
Costa do Marfim
Costa Rica
Lituânia
República Democrática do Congo
Sérvia
Eslovénia
Myanmar
Uganda
Jordânia
Tunísia
Camarões
Bahrein
Bolívia
Sudão
Paraguai
Líbia
Letónia
Estónia
Nepal
Zimbabwe
El Salvador
Papua-Nova Guiné
Honduras
Trindade e Tobago
Camboja
Islândia
Iémen
Senegal
Zâmbia
Chipre
Geórgia
Bósnia e Herzegovina
Macau
Gabão
Haiti
Afeganistão
Guiné
Territórios palestinos
Brunei
Mali
Burquina Fasso
Albânia
Líbano
Botswana
Moçambique
Arménia
Benim
Malta
Guiné Equatorial
Laos
Jamaica
Coreia do Norte
Mongólia
Nicarágua
Síria
Madagascar
Guiana
Níger
Congo
Macedónia do Norte
Moldávia
Chade
Bahamas
Namíbia
Ruanda
Malawi
Maurícia
Mauritânia
Tajiquistão
Quirguistão
Nova Caledônia
Kosovo
Somália
Togo
Bermudas
Liechtenstein
Mónaco
Ilhas Cayman
Montenegro
Maldivas
Guam
Barbados
Polinésia Francesa
Fiji
Sudão do Sul
Essuatíni
Serra Leoa
Libéria
Djibouti
Burundi
Aruba
Andorra
Gronelândia
Suriname
Butão
Belize
Lesoto
Curaçau
República Centro-Africana
Timor-Leste
Eritreia
Gâmbia
Cabo Verde
Seicheles
Santa Lúcia
Zanzibar
Antígua e Barbuda
Guiné-Bissau
San Marino
Ilhas Salomão
Ilhas Virgens Britânicas
Comores
Granada (país)
Marianas Setentrionais
São Cristóvão e Nevis
Vanuatu
São Vicente e Granadinas
Ilhas Turks e Caicos
São Martinho (Países Baixos)
Samoa
Samoa Americana
Domínica
São Tomé e Príncipe
Tonga
Estados Federados da Micronésia
Ilhas Cook
Ilhas Marshall
Anguila
Palau
Kiribati
Nauru
Montserrat
Lista de países por PIB nominal per capita
Lista de países por PIB (nominal) passado e futuro
Lista de países por PIB (nominal) per capita passado e futuro
Lista de países por PIB (Paridade do Poder de Compra)
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por crescimento do PIB
Lista de países por Índice de Desenvolvimento Humano
Regiões administrativas especiais da China
Rial iraniano
International Standard Book Number
República da Crimeia
Sevastopol
Saara Ocidental
Abkházia
Ossétia do Sul
Transnístria
About.com
National Bureau of Economic Research
International Monetary Fund
National Public Radio
Houston Chronicle
Hearst Corporation
BlackRock
Fortune (magazine)
New York City
United States
Oxford University Press
Dani Rodrik
Listas de países e territórios
Lista de países por estimativas do produto interno bruto nominal
Lista de países por estimativas do produto interno bruto nominal per capita
Lista de regiões por PIB passado
Lista de países por estimativas do produto interno bruto em paridade de poder de compra
Lista de países por estimativas do produto interno bruto em paridade de poder de compra e per capita
Lista de países por taxa de crescimento real de PIB
Produto nacional bruto
Lista de países da África por PIB
Lista de países da África por PIB (PPC)
Lista de países da América por PIB nominal
Lista de países da América Latina por PIB nominal
Lista de países da América Latina e Caribe por crescimento do PIB
Lista de países e territórios da América Latina e Caribe por PIB (PPC)
Lista de países da América do Sul por PIB (PPC)
Lista de países da América do Sul por PIB per capita
Lista de países da Ásia por PIB nominal
Lista de países da Oceania por PIB nominal
Lista de estados e territórios da Austrália por PIB
Lista de unidades federativas do Brasil por PIB
Lista de unidades federativas do Brasil por PIB per capita
Lista de províncias e territórios do Canadá por PIB
Lista de estados da Nigéria por PIB
Lista de estados dos Estados Unidos por PIB
Primeiro Mundo
Segundo Mundo
Terceiro Mundo
Quarto Mundo
Micronacionalismo
Teoria dos três mundos
País desenvolvido
País em desenvolvimento
País subdesenvolvido
Países recentemente industrializados
Países pobres altamente endividados
Liberdade econômica
Índice de Liberdade Econômica
Índice de Desenvolvimento Humano
Índice de pobreza humana
Lista de países por índice de pobreza
Terceiro-mundismo
BRIC
G20
Grupo dos 77
Lista de Estados soberanos
Happy Planet Index
Índice de Desempenho Ambiental
Lista de países por emissões de dióxido de carbono per capita
Lista de países por risco de desastre natural
Lista de países por código do COI
Lista de códigos de país da FIFA
Lista de códigos de país FIPS
ISO 3166-1
Prefixo naval
Lista de códigos telefónicos
Lista de TLDs
Lista de países por esperança média de vida à nascença
Lista de Estados soberanos e territórios dependentes por taxa de fecundidade
Lista de países por população imigrante
Lista de países por índice de mortalidade
Lista de países por índice de mortalidade infantil
Lista de países por taxa de natalidade
Lista de países por crescimento populacional
Lista de países por densidade populacional
Lista de países por principais grupos religiosos
Lista de países por população budista
Igreja Católica no mundo
Lista de países por população muçulmana
Protestantes por país
Lista de países por irreligião
Lista de países e territórios por índice de urbanização
Índice Composto de Capacidade Nacional
Índice de Capital Humano
Índice de Competitividade Mundial
Índice Internacional de Direitos de Propriedade
Lista de países por igualdade de riqueza
Lista de países por dívida externa
Lista de países por dívida pública
Lista de países por exportações
Lista de países por importações
Lista de países por índice de inflação
Índice de Inovação Global
Lista de países pelo número de milionários
Lista de países por número de bilionários
Lista de moedas
Lista das maiores perdas financeiras mundiais
Índice de Prosperidade Legatum
Lista de países por riqueza total
Lista de países por salário mínimo
Lista dos países que mais utilizam a tecnologia
Lista de países por carga tributária
Lista de países por consumo de álcool
Lista de países por consumo de cerveja por pessoa
Idade legal para consumo de bebidas alcoólicas
Consumo anual de cannabis por país
Lista de países por uso de canábis na vida adulta
Lista de países por número de celulares em uso
Lista de países por penetração de smartphones
Lista de países por número de assinaturas de Internet de banda larga
Lista de países por número de usuários de Internet
Lista de países por velocidades de conexão de Internet
Lista de países pelo consumo total de energia per capita
Lista de países por consumo de eletricidade
Lista de países por produção de eletricidade
Lista de países por produção de eletricidade renovável
Lista de países por exportação de gás natural
Lista de países por produção de gás natural
Lista de países por reservas comprovadas de gás natural
Lista de países por exportação de petróleo
Lista de países por produção de petróleo
Lista de países por reservas de petróleo
Lista de países por produção de alumínio
Lista de países por produção de antimônio
Lista de países por produção de bauxita
Lista de países por produção de bismuto
Lista de países por produção de carvão
Lista de países por reservas de carvão
Lista de países por produção de chumbo
Lista de países por produção de cobre
Lista de países por produção de crômio
Lista de países por produção de diamante
Lista de países por produção de estanho
Lista de países por produção de ferro
Lista de países por produção de lítio
Lista de países por produção de magnésio
Lista de países por produção de manganês
Lista de países por produção de mercúrio
Lista de países por produção de níquel
Lista de países por produção de ouro
Lista de países por produção de platina
Lista de países por produção de prata
Lista de países por produção de urânio
Lista de países por produção de zinco
Lista de países por número de aeroportos
Lista de países por mercados automotivos
Lista de países por veículos per capita
Lista de países por produção de veículos automóveis
Lista de países por número de heliportos
Lista de países por dimensão da malha ferroviária
Estatísticas totais de metropolitanos por país
Lista de países e territórios por área
Lista de capitais nacionais
Lista de Estados soberanos e territórios dependentes por continente
Lista de países por extensão total de contorno
Lista de fronteiras terrestres internacionais por comprimento
Lista de países que possuem fronteiras terrestres com apenas um país
Lista das extensões litorâneas dos países
Lista de países por ponto mais alto
Lista de pontos mais altos por país
Lista de países por ponto mais a sul
Lista de países por ponto mais a norte
Lista de países por quantidade de armas de fogo
Lista de artilharia por país
Lista de batalhas
Lista de veículos blindados de combate por país
Índice Global da Paz
Lista de forças de operações especiais
Lista de países por gastos militares
Lista de países por índice de poder militar
Lista de países por número de tropas em atividade
BRICS
Lista de membros da Commonwealth
Lista de membros do Comitê Olímpico Internacional
Estados-membros da Comunidade dos Países de Língua Portuguesa
Estados-membros do Estatuto de Roma
Lista de membros da Federação Internacional de Futebol
Lista de países-membros do G20
Estados-membros da Liga Árabe
Estados-membros do Mercosul
Lista de Estados monárquicos atuais por membresia internacional
Estados-membros da Organização dos Estados Americanos
Estados-membros da Organização Internacional do Trabalho
Estados-membros das Nações Unidas
Estados-membros da OTAN
Lista de Estados-membros da Sociedade das Nações
Estados-membros da União de Nações Sul-Americanas
Estados-membros da União Africana
Estados-membros da União Europeia
Lista de chefes de Estado e de governo atuais
Lista das constituições nacionais
Índice de Percepção de Corrupção
Índice de democracia
Quadro de divisões administrativas por país
Lista de chefes de Estado
Lista de países por orçamento governamental
Lista de parlamentos por país
Lista de partidos políticos por país
Lista de serviços de inteligência
Lista de países por sistema de governo
Lista de sistemas de votação por país
Lista de países por tamanho do setor público
Lista de países por consumo de antidepressivos
Lista de países por taxa de prevalência de HIV/AIDS em adultos
Lista de países por taxa de prevalência de obesidade em adultos
Índice de Qualidade de Vida
Lista de países por taxa de suicídio
Símbolo nacional
Etimologia dos nomes dos países
Lista de gentílicos
Lista de grafias alternativas para topónimos relativos a países
Lista de hinos nacionais e regionais
Lista de lemas nacionais
Lista de línguas oficiais
Lista de países que mudaram de nome
Legislação sobre o aborto
Lista dos arranha-céus mais altos do mundo
Lista de países por data de independência ou criação
Diferenças globais entre gêneros
Direitos LGBT no mundo
Índice de educação
Lista de países por índice de alfabetização
Programa Internacional de Avaliação de Alunos
Índice de Proficiência em Inglês da EF
Direito de morrer
Índice Global de Escravidão
Cronologia da abolição da escravidão e servidão
Relatório Mundial da Felicidade
Lista de países por taxa de homicídio intencional
Índice de Liberdade de Imprensa
Freedom in the World
Lista de sítios do Patrimônio Mundial da UNESCO por país
Pena de morte por país
Lista das pessoas mais velhas do mundo
Lista de países por laureados com Nobel per capita
