10 de setembro
1808
Corte portuguesa
Rio de Janeiro
Jornal
Brasil
Impressão Régia
Correio Braziliense (1808)
Londres
Imprensa no Brasil
Transferência da corte portuguesa para o Brasil
Manuel Ferreira de Araújo Guimarães
Guerras Napoleónicas
Espanha
29 de dezembro
1821
Independência do Brasil
Diário Fluminense
Pedro I do Brasil
Diário do Governo
Pedro II do Brasil
Diário Oficial
Revista de História da Biblioteca Nacional
