Suíça
Bandeira da Suécia
Brasão de armas da Suécia
Lista de lemas do monarca da Suécia
Hino nacional da Suécia
Hino real
Kungssången
União Europeia
Estocolmo
Língua sueca
Língua finlandesa
Língua meänkieli
Línguas lapônicas
Romani
Iídiche
Gentílico
Monarquia constitucional
Parlamentarismo
Estado unitário
Monarca da Suécia
Carlos XVI Gustavo da Suécia
Presidente do Parlamento da Suécia
Andreas Norlén
Primeiro-ministro da Suécia
Ulf Kristersson
Parlamento da Suécia
Independência
União de Kalmar
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Finlândia
Noruega
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhões
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Coroa Sueca
ISO 4217
Fuso horário
Central European Time
Tempo Universal Coordenado
Horário de verão
Central European Summer Time
ISO 3166-1
Lista de TLDs
.se
Lista de códigos telefónicos
Países nórdicos
Península Escandinava
Europa Setentrional
Mar Báltico
Dinamarca
Estreito de Öresund
Categate
Quilômetro quadrado
Cidade
Capital
Política da Suécia
Economia da Suécia
Monarquia
Monarquia hereditária
Governo
Monarca
Índice de democracia
Islândia
The Economist
Social
Desigualdade de renda
Organização das Nações Unidas
Organização para a Cooperação e Desenvolvimento Económico
ONU
Lista de países por IDH ajustado à desigualdade
País
Idade Média
Império Sueco
Império Russo
Reinos Unidos da Suécia e Noruega
Paz
País neutro
Guerra
Organização do Tratado do Atlântico Norte
Invasão da Ucrânia pela Rússia em 2022
História da Suécia
Reino da Suécia (conceito histórico)
Pré-História da Suécia
Pré-história Nórdica
Uppsala
Idade da Pedra
Glaciação
Idade do Bronze
Pré-história da Suécia
Suécia na Idade Média
Reino da Suécia (1523-1611)
Era Viking
Uppland
Birka
Sigtuna
Vikings
Países bálticos
Rússia
Mar Negro
Gustavo I Vasa
Gustavo I da Suécia
Guerra dos 30 anos
Gustavo Adolfo II da Suécia
Grande Guerra do Norte
Suécia na primeira metade do século XIX
Modernização da Suécia
Suécia em 1905-1914
Suécia moderna do pós-guerra
Segunda Guerra Mundial
Campanha Contra a Noruega
União pessoal
Primeira Guerra Mundial
Guerra de Inverno
Guerra Fria
Dissolução da União Soviética
Invasão da Ucrânia pela Rússia (2022–presente)
Bolha imobiliária
PIB
Competitividade
Estado de bem-estar social
Privatização
Referendo
Europa
Tecnologia
Iraque
Afeganistão
OTAN
Kosovo
Bósnia e Herzegovina
Chipre
Geografia da Suécia
Classificação de Köppen
Latitude
Clima temperado
Corrente do Golfo
Árvore
Pinheiro
Vidoeiro
Clima subártico
Círculo Polar Ártico
Sol
Golfo de Bótnia
Escandinávia
Agricultura
Vale do Mälaren
Öresund
Gotlândia
Olândia
Kebnekaise
Kiruna
Estação do ano
Clima oceânico
Clima continental úmido
Clima sub-ártico
Inverno
Canadá
Estados Unidos
Verão
Temperatura
°C
Neve
Calor
Vuoggatjålme
Mm
Precipitação (meteorologia)
Panorama
Alpes Escandinavos
Flora da Suécia
Fauna da Suécia
Flora
Fauna
Fagus
Carvalho
Tília
Freixo
Bordo
Acer (botânica)
Orquídea
Ursidae
Lince
Lobo
Cervidae
Alce
Raposa
Roedores
Demografia da Suécia
