Paris
Cemitério de Montmartre
François Debret
Alma mater
Lycée Louis-le-Grand
École Nationale des Ponts et Chaussées
Pintor
Engenheiro
Ilustrador
Prix de Roma
Neoclassicismo
18 de abril
1768
28 de junho
1848
Pintura
Desenho
Professor
Franceses
Missão Artística Francesa
Rio de Janeiro
Academia Imperial de Belas Artes
Viagem Pitoresca e Histórica ao Brasil
Natureza
Homem
Sociedade
Século XIX
Bandeira do Brasil
Parlamento
Arquitetura
Instituto de França
Jacques-Louis David
Academia Real de Pintura e Escultura
Revolução Francesa
Fortificação
Prêmio de Roma
Salão de Paris
Erasístrato
Napoleão Bonaparte
Estúdio
Catumbi
Grandjean de Montigny
Rússia
Czar
Alexandre I da Rússia
Joachim Lebreton
Le Havre
Estados Unidos
João VI de Portugal
"Escola Real de Ciências, Artes e Ofícios"
Pintura histórica
Rodolfo Amoedo
Pedro I do Brasil
Ordem de Cristo
Gala
Diploma
Insígnia
Cenografia
Teatro
Manuel de Araújo Porto-Alegre
Augusto Müller
Cavalo
Cotidiano
Rio de Janeiro (estado)
Litografia
Historiografia
Índios
Escravos
Museu Nacional de Belas Artes (Brasil)
Índio
José Bonifácio de Andrada e Silva
Independência do Brasil
Estado do Brasil
Império do Brasil
Ordem e Progresso
Escudo francês moderno
Esfera armilar
Casa de Bragança
Casa de Habsburgo
Maria Leopoldina de Áustria
Denis Diderot
Iluminismo
Século XVIII
Autorretrato
Aquarela
Naturalista
Prússia
Georg Heinrich von Langsdorff
Rugendas
D. Pedro I
Ordem Militar de Cristo
Jonas de Moraes Correia Filho
Gustavo Barroso
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Museu Britânico
Biblioteca Nacional da França
Consortium of European Research Libraries
Discogs
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Real dos Países Baixos
Rijksbureau voor Kunsthistorische Documentatie
Sistema Universitário de Documentação
Enciclopédia Treccani
Itaú Cultural
Universidade Federal de Santa Catarina
Biblioteca Nacional de Portugal
Union List of Artist Names
Open Library
Biblioteca Nacional da Polónia
Rijksmuseum
