Língua catalã
Catalunha
Base Virtual Internacional de Autoridade
Biblioteca da Catalunha
Gran Enciclopèdia Catalana
2004
2002
2003
2007
2014
2015
Reus
Museu Nacional de Arte da Catalunha
Universidade Autônoma de Barcelona
Universidade de Barcelona
Universidade de Lérida
Universidade de Valência
Universidade Jaime I
Universidade Politécnica da Catalunha
Universidade Pompeu Fabra
Universidade Rovira i Virgili
